time,player1,player2,result
1,6783,15744,1
1,6783,12785,1
1,6783,68698,1
1,6783,85453,1
1,6783,10077,1
1,6783,89532,1
1,6783,5576,1
1,6783,9345,1
1,6783,5467,1
1,6783,64952,1
1,6783,83096,1
1,6783,81334,1
1,6783,11879,1
1,6783,39450,1
1,6783,11385,1
1,6783,7646,1
1,6783,58503,1
1,6783,7730,1
1,6783,45907,1
1,6783,17285,1
1,6783,29235,1
1,6783,39179,1
1,6783,25176,1
1,6783,22170,1
1,6783,21841,1
1,6783,54913,1
1,6783,21847,1
1,6783,7757,1
1,6783,64750,1
1,6783,18592,1
1,6783,72769,1
1,6783,39485,1
1,6783,6246,1
1,6783,106450,1
1,6783,39687,1
1,6783,6386,1
1,6783,17348,1
1,6783,21852,1
1,6783,7915,1
1,6783,83987,1
1,6783,12804,1
1,6783,86516,1
1,6783,15747,1
1,6783,39683,1
1,6783,71982,1
1,15744,12785,1
1,15744,68698,1
1,15744,85453,1
1,15744,10077,1
1,15744,89532,1
1,15744,5576,1
1,15744,9345,1
1,15744,5467,1
1,15744,64952,1
1,15744,83096,1
1,15744,81334,1
1,15744,11879,1
1,15744,39450,1
1,15744,11385,1
1,15744,7646,1
1,15744,58503,1
1,15744,7730,1
1,15744,45907,1
1,15744,17285,1
1,15744,29235,1
1,15744,39179,1
1,15744,25176,1
1,15744,22170,1
1,15744,21841,1
1,15744,54913,1
1,15744,21847,1
1,15744,7757,1
1,15744,64750,1
1,15744,18592,1
1,15744,72769,1
1,15744,39485,1
1,15744,6246,1
1,15744,106450,1
1,15744,39687,1
1,15744,6386,1
1,15744,17348,1
1,15744,21852,1
1,15744,7915,1
1,15744,83987,1
1,15744,12804,1
1,15744,86516,1
1,15744,15747,1
1,15744,39683,1
1,15744,71982,1
1,12785,68698,1
1,12785,85453,1
1,12785,10077,1
1,12785,89532,1
1,12785,5576,1
1,12785,9345,1
1,12785,5467,1
1,12785,64952,1
1,12785,83096,1
1,12785,81334,1
1,12785,11879,1
1,12785,39450,1
1,12785,11385,1
1,12785,7646,1
1,12785,58503,1
1,12785,7730,1
1,12785,45907,1
1,12785,17285,1
1,12785,29235,1
1,12785,39179,1
1,12785,25176,1
1,12785,22170,1
1,12785,21841,1
1,12785,54913,1
1,12785,21847,1
1,12785,7757,1
1,12785,64750,1
1,12785,18592,1
1,12785,72769,1
1,12785,39485,1
1,12785,6246,1
1,12785,106450,1
1,12785,39687,1
