time,player1,player2,result
112,15744,7776,1
112,15744,6783,1
112,15744,29235,1
112,15744,89532,1
112,15744,22170,1
112,15744,80643,1
112,15744,17285,1
112,15744,68698,1
112,15744,10077,1
112,15744,39450,1
112,15744,5467,1
112,15744,45790,1
112,15744,7757,1
112,15744,30090,1
112,15744,64750,1
112,15744,64952,1
112,15744,18592,1
112,15744,45907,1
112,15744,39687,1
112,15744,12674,1
112,15744,21841,1
112,15744,72769,1
112,15744,85453,1
112,15744,7646,1
112,15744,6386,1
112,15744,70028,1
112,15744,47942,1
112,15744,25176,1
112,15744,9345,1
112,7776,6783,1
112,7776,29235,1
112,7776,89532,1
112,7776,22170,1
112,7776,80643,1
112,7776,17285,1
112,7776,68698,1
112,7776,10077,1
112,7776,39450,1
112,7776,5467,1
112,7776,45790,1
112,7776,7757,1
112,7776,30090,1
112,7776,64750,1
112,7776,64952,1
112,7776,18592,1
112,7776,45907,1
112,7776,39687,1
112,7776,12674,1
112,7776,21841,1
112,7776,72769,1
112,7776,85453,1
112,7776,7646,1
112,7776,6386,1
112,7776,70028,1
112,7776,47942,1
112,7776,25176,1
112,7776,9345,1
112,6783,29235,1
112,6783,89532,1
112,6783,22170,1
112,6783,80643,1
112,6783,17285,1
112,6783,68698,1
112,6783,10077,1
112,6783,39450,1
112,6783,5467,1
112,6783,45790,1
112,6783,7757,1
112,6783,30090,1
112,6783,64750,1
112,6783,64952,1
112,6783,18592,1
112,6783,45907,1
112,6783,39687,1
112,6783,12674,1
112,6783,21841,1
112,6783,72769,1
112,6783,85453,1
112,6783,7646,1
112,6783,6386,1
112,6783,70028,1
112,6783,47942,1
112,6783,25176,1
112,6783,9345,1
112,29235,89532,1
112,29235,22170,1
112,29235,80643,1
112,29235,17285,1
112,29235,68698,1
112,29235,10077,1
112,29235,39450,1
112,29235,5467,1
112,29235,45790,1
112,29235,7757,1
112,29235,30090,1
112,29235,64750,1
112,29235,64952,1
112,29235,18592,1
112,29235,45907,1
112,29235,39687,1
112,29235,12674,1
112,29235,21841,1
112,29235,72769,1
112,29235,85453,1
112,29235,7646,1
112,29235,6386,1
112,29235,70028,1
112,29235,47942,1
112,29235,25176,1
112,29235,9345,1
112,89532,22170,1
112,89532,80643,1
112,89532,17285,1
112,89532,68698,1
112,89532,10077,1
112,89532,39450,1
112,89532,5467,1
112,89532,45790,1
112,89532,7757,1
112,89532,30090,1
112,89532,64750,1
112,89532,64952,1
112,89532,18592,1
112,89532,45907,1
112,89532,39687,1
112,89532,12674,1
112,89532,21841,1
112,89532,72769,1
112,89532,85453,1
112,89532,7646,1
112,89532,6386,1
112,89532,70028,1
112,89532,47942,1
112,89532,25176,1
112,89532,9345,1
112,22170,80643,1
112,22170,17285,1
112,22170,68698,1
112,22170,10077,1
112,22170,39450,1
112,22170,5467,1
112,22170,45790,1
112,22170,7757,1
112,22170,30090,1
112,22170,64750,1
112,22170,64952,1
112,22170,18592,1
112,22170,45907,1
112,22170,39687,1
112,22170,12674,1
112,22170,21841,1
112,22170,72769,1
112,22170,85453,1
112,22170,7646,1
112,22170,6386,1
112,22170,70028,1
112,22170,47942,1
112,22170,25176,1
112,22170,9345,1
112,80643,17285,1
112,80643,68698,1
112,80643,10077,1
112,80643,39450,1
112,80643,5467,1
112,80643,45790,1
112,80643,7757,1
112,80643,30090,1
112,80643,64750,1
112,80643,64952,1
112,80643,18592,1
112,80643,45907,1
