time,player1,player2,result
112,5695,41322,1
112,5695,16392,1
112,5695,11378,1
112,5695,49385,1
112,5695,39974,1
112,5695,39836,1
112,5695,11818,1
112,5695,30249,1
112,5695,39908,1
112,5695,7503,1
112,5695,10141,1
112,5695,11092,1
112,5695,11402,1
112,5695,41870,1
112,5695,49390,1
112,5695,55495,1
112,5695,47188,1
112,5695,30058,1
112,5695,67535,1
112,5695,15838,1
112,5695,12814,1
112,5695,17043,1
112,5695,40710,1
112,5695,47630,1
112,5695,6186,1
112,5695,56550,1
112,5695,22522,1
112,5695,55820,1
112,5695,7747,1
112,5695,29442,1
112,5695,31810,1
112,5695,49411,1
112,5695,76425,1
112,5695,63982,1
112,5695,50736,1
112,5695,80947,1
112,5695,10536,1
112,5695,39827,1
112,5695,45915,1
112,5695,51605,1
112,5695,39264,1
112,5695,7742,1
112,5695,88417,1
112,5695,39733,1
112,5695,49237,1
112,5695,97196,1
112,5695,24199,1
112,5695,46198,1
112,5695,45919,1
112,5695,11333,1
112,5695,113034,1
112,41322,16392,1
112,41322,11378,1
112,41322,49385,1
112,41322,39974,1
112,41322,39836,1
112,41322,11818,1
112,41322,30249,1
112,41322,39908,1
112,41322,7503,1
112,41322,10141,1
112,41322,11092,1
112,41322,11402,1
112,41322,41870,1
112,41322,49390,1
112,41322,55495,1
112,41322,47188,1
112,41322,30058,1
112,41322,67535,1
112,41322,15838,1
112,41322,12814,1
112,41322,17043,1
112,41322,40710,1
112,41322,47630,1
112,41322,6186,1
112,41322,56550,1
112,41322,22522,1
112,41322,55820,1
112,41322,7747,1
112,41322,29442,1
112,41322,31810,1
112,41322,49411,1
112,41322,76425,1
112,41322,63982,1
112,41322,50736,1
112,41322,80947,1
112,41322,10536,1
112,41322,39827,1
112,41322,45915,1
112,41322,51605,1
112,41322,39264,1
112,41322,7742,1
112,41322,88417,1
112,41322,39733,1
112,41322,49237,1
112,41322,97196,1
112,41322,24199,1
112,41322,46198,1
112,41322,45919,1
112,41322,11333,1
112,41322,113034,1
112,16392,11378,1
112,16392,49385,1
112,16392,39974,1
112,16392,39836,1
112,16392,11818,1
112,16392,30249,1
112,16392,39908,1
112,16392,7503,1
112,16392,10141,1
112,16392,11092,1
112,16392,11402,1
112,16392,41870,1
112,16392,49390,1
112,16392,55495,1
112,16392,47188,1
112,16392,30058,1
112,16392,67535,1
112,16392,15838,1
112,16392,12814,1
112,16392,17043,1
112,16392,40710,1
112,16392,47630,1
112,16392,6186,1
112,16392,56550,1
112,16392,22522,1
112,16392,55820,1
112,16392,7747,1
112,16392,29442,1
112,16392,31810,1
112,16392,49411,1
112,16392,76425,1
112,16392,63982,1
112,16392,50736,1
112,16392,80947,1
112,16392,10536,1
112,16392,39827,1
112,16392,45915,1
112,16392,51605,1
112,16392,39264,1
112,16392,7742,1
112,16392,88417,1
112,16392,39733,1
112,16392,49237,1
112,16392,97196,1
112,16392,24199,1
112,16392,46198,1
112,16392,45919,1
112,16392,11333,1
112,16392,113034,1
112,11378,49385,1
112,11378,39974,1
112,11378,39836,1
112,11378,11818,1
112,11378,30249,1
112,11378,39908,1
112,11378,7503,1
112,11378,10141,1
112,11378,11092,1
112,11378,11402,1
112,11378,41870,1
112,11378,49390,1
112,11378,55495,1
112,11378,47188,1
112,11378,30058,1
112,11378,67535,1
112,11378,15838,1
112,11378,12814,1
112,11378,17043,1
112,11378,40710,1
112,11378,47630,1
112,11378,6186,1
112,11378,56550,1
112,11378,22522,1
112,11378,55820,1
112,11378,7747,1
112,11378,29442,1
112,11378,31810,1
112,11378,49411,1
112,11378,76425,1
112,11378,63982,1
112,11378,50736,1
112,11378,80947,1
112,11378,10536,1
112,11378,39827,1
112,11378,45915,1
112,11378,51605,1
112,11378,39264,1
112,11378,7742,1
112,11378,88417,1
112,11378,39733,1
112,11378,49237,1
112,11378,97196,1
112,11378,24199,1
112,11378,46198,1
112,11378,45919,1
112,11378,11333,1
112,11378,113034,1
112,49385,39974,1
112,49385,39836,1
112,49385,11818,1
112,49385,30249,1
112,49385,39908,1
112,49385,7503,1
112,49385,10141,1
112,49385,11092,1
112,49385,11402,1
112,49385,41870,1
112,49385,49390,1
112,49385,55495,1
112,49385,47188,1
112,49385,30058,1
112,49385,67535,1
112,49385,15838,1
112,49385,12814,1
112,49385,17043,1
112,49385,40710,1
112,49385,47630,1
112,49385,6186,1
112,49385,56550,1
112,49385,22522,1
112,49385,55820,1
112,49385,7747,1
112,49385,29442,1
112,49385,31810,1
112,49385,49411,1
112,49385,76425,1
112,49385,63982,1
112,49385,50736,1
112,49385,80947,1
112,49385,10536,1
112,49385,39827,1
112,49385,45915,1
112,49385,51605,1
112,49385,39264,1
112,49385,7742,1
112,49385,88417,1
112,49385,39733,1
112,49385,49237,1
112,49385,97196,1
112,49385,24199,1
112,49385,46198,1
112,49385,45919,1
112,49385,11333,1
112,49385,113034,1
112,39974,39836,1
112,39974,11818,1
112,39974,30249,1
112,39974,39908,1
112,39974,7503,1
112,39974,10141,1
112,39974,11092,1
112,39974,11402,1
112,39974,41870,1
112,39974,49390,1
112,39974,55495,1
112,39974,47188,1
112,39974,30058,1
112,39974,67535,1
112,39974,15838,1
112,39974,12814,1
112,39974,17043,1
112,39974,40710,1
112,39974,47630,1
112,39974,6186,1
112,39974,56550,1
112,39974,22522,1
112,39974,55820,1
112,39974,7747,1
112,39974,29442,1
112,39974,31810,1
112,39974,49411,1
112,39974,76425,1
112,39974,63982,1
112,39974,50736,1
112,39974,80947,1
112,39974,10536,1
112,39974,39827,1
112,39974,45915,1
112,39974,51605,1
112,39974,39264,1
112,39974,7742,1
112,39974,88417,1
112,39974,39733,1
112,39974,49237,1
112,39974,97196,1
112,39974,24199,1
112,39974,46198,1
112,39974,45919,1
112,39974,11333,1
112,39974,113034,1
112,39836,11818,1
112,39836,30249,1
112,39836,39908,1
112,39836,7503,1
112,39836,10141,1
112,39836,11092,1
112,39836,11402,1
112,39836,41870,1
112,39836,49390,1
112,39836,55495,1
112,39836,47188,1
112,39836,30058,1
112,39836,67535,1
112,39836,15838,1
112,39836,12814,1
112,39836,17043,1
112,39836,40710,1
112,39836,47630,1
112,39836,6186,1
112,39836,56550,1
112,39836,22522,1
112,39836,55820,1
112,39836,7747,1
112,39836,29442,1
112,39836,31810,1
112,39836,49411,1
112,39836,76425,1
112,39836,63982,1
112,39836,50736,1
112,39836,80947,1
112,39836,10536,1
112,39836,39827,1
112,39836,45915,1
112,39836,51605,1
112,39836,39264,1
112,39836,7742,1
112,39836,88417,1
112,39836,39733,1
112,39836,49237,1
112,39836,97196,1
112,39836,24199,1
112,39836,46198,1
112,39836,45919,1
112,39836,11333,1
112,39836,113034,1
112,11818,30249,1
112,11818,39908,1
112,11818,7503,1
112,11818,10141,1
112,11818,11092,1
112,11818,11402,1
112,11818,41870,1
112,11818,49390,1
112,11818,55495,1
112,11818,47188,1
112,11818,30058,1
112,11818,67535,1
112,11818,15838,1
112,11818,12814,1
112,11818,17043,1
112,11818,40710,1
112,11818,47630,1
112,11818,6186,1
112,11818,56550,1
112,11818,22522,1
112,11818,55820,1
112,11818,7747,1
112,11818,29442,1
112,11818,31810,1
112,11818,49411,1
112,11818,76425,1
112,11818,63982,1
112,11818,50736,1
112,11818,80947,1
112,11818,10536,1
112,11818,39827,1
112,11818,45915,1
112,11818,51605,1
112,11818,39264,1
112,11818,7742,1
112,11818,88417,1
112,11818,39733,1
112,11818,49237,1
112,11818,97196,1
112,11818,24199,1
112,11818,46198,1
112,11818,45919,1
112,11818,11333,1
112,11818,113034,1
112,30249,39908,1
112,30249,7503,1
112,30249,10141,1
112,30249,11092,1
112,30249,11402,1
112,30249,41870,1
112,30249,49390,1
112,30249,55495,1
112,30249,47188,1
112,30249,30058,1
112,30249,67535,1
112,30249,15838,1
112,30249,12814,1
112,30249,17043,1
112,30249,40710,1
112,30249,47630,1
112,30249,6186,1
112,30249,56550,1
112,30249,22522,1
112,30249,55820,1
112,30249,7747,1
112,30249,29442,1
112,30249,31810,1
112,30249,49411,1
112,30249,76425,1
112,30249,63982,1
112,30249,50736,1
112,30249,80947,1
112,30249,10536,1
112,30249,39827,1
112,30249,45915,1
112,30249,51605,1
112,30249,39264,1
112,30249,7742,1
112,30249,88417,1
112,30249,39733,1
112,30249,49237,1
112,30249,97196,1
112,30249,24199,1
112,30249,46198,1
112,30249,45919,1
112,30249,11333,1
112,30249,113034,1
112,39908,7503,1
112,39908,10141,1
112,39908,11092,1
112,39908,11402,1
112,39908,41870,1
112,39908,49390,1
112,39908,55495,1
112,39908,47188,1
112,39908,30058,1
112,39908,67535,1
112,39908,15838,1
112,39908,12814,1
112,39908,17043,1
112,39908,40710,1
112,39908,47630,1
112,39908,6186,1
112,39908,56550,1
112,39908,22522,1
112,39908,55820,1
112,39908,7747,1
112,39908,29442,1
112,39908,31810,1
112,39908,49411,1
112,39908,76425,1
112,39908,63982,1
112,39908,50736,1
112,39908,80947,1
112,39908,10536,1
112,39908,39827,1
112,39908,45915,1
112,39908,51605,1
112,39908,39264,1
112,39908,7742,1
112,39908,88417,1
112,39908,39733,1
112,39908,49237,1
112,39908,97196,1
112,39908,24199,1
112,39908,46198,1
112,39908,45919,1
112,39908,11333,1
112,39908,113034,1
112,7503,10141,1
112,7503,11092,1
112,7503,11402,1
112,7503,41870,1
112,7503,49390,1
112,7503,55495,1
112,7503,47188,1
112,7503,30058,1
112,7503,67535,1
112,7503,15838,1
112,7503,12814,1
112,7503,17043,1
112,7503,40710,1
112,7503,47630,1
112,7503,6186,1
112,7503,56550,1
112,7503,22522,1
112,7503,55820,1
112,7503,7747,1
112,7503,29442,1
112,7503,31810,1
112,7503,49411,1
112,7503,76425,1
112,7503,63982,1
112,7503,50736,1
112,7503,80947,1
112,7503,10536,1
112,7503,39827,1
112,7503,45915,1
112,7503,51605,1
112,7503,39264,1
112,7503,7742,1
112,7503,88417,1
112,7503,39733,1
112,7503,49237,1
112,7503,97196,1
112,7503,24199,1
112,7503,46198,1
112,7503,45919,1
112,7503,11333,1
112,7503,113034,1
112,10141,11092,1
112,10141,11402,1
112,10141,41870,1
112,10141,49390,1
112,10141,55495,1
112,10141,47188,1
112,10141,30058,1
112,10141,67535,1
112,10141,15838,1
112,10141,12814,1
112,10141,17043,1
112,10141,40710,1
112,10141,47630,1
112,10141,6186,1
112,10141,56550,1
112,10141,22522,1
112,10141,55820,1
112,10141,7747,1
112,10141,29442,1
112,10141,31810,1
112,10141,49411,1
112,10141,76425,1
112,10141,63982,1
112,10141,50736,1
112,10141,80947,1
112,10141,10536,1
112,10141,39827,1
112,10141,45915,1
112,10141,51605,1
112,10141,39264,1
112,10141,7742,1
112,10141,88417,1
112,10141,39733,1
112,10141,49237,1
112,10141,97196,1
112,10141,24199,1
112,10141,46198,1
112,10141,45919,1
112,10141,11333,1
112,10141,113034,1
112,11092,11402,1
112,11092,41870,1
112,11092,49390,1
112,11092,55495,1
112,11092,47188,1
112,11092,30058,1
112,11092,67535,1
112,11092,15838,1
112,11092,12814,1
112,11092,17043,1
112,11092,40710,1
112,11092,47630,1
112,11092,6186,1
112,11092,56550,1
112,11092,22522,1
112,11092,55820,1
112,11092,7747,1
112,11092,29442,1
112,11092,31810,1
112,11092,49411,1
112,11092,76425,1
112,11092,63982,1
112,11092,50736,1
112,11092,80947,1
112,11092,10536,1
112,11092,39827,1
112,11092,45915,1
112,11092,51605,1
112,11092,39264,1
112,11092,7742,1
112,11092,88417,1
112,11092,39733,1
112,11092,49237,1
112,11092,97196,1
112,11092,24199,1
112,11092,46198,1
112,11092,45919,1
112,11092,11333,1
112,11092,113034,1
112,11402,41870,1
112,11402,49390,1
112,11402,55495,1
112,11402,47188,1
112,11402,30058,1
112,11402,67535,1
112,11402,15838,1
112,11402,12814,1
112,11402,17043,1
112,11402,40710,1
112,11402,47630,1
112,11402,6186,1
112,11402,56550,1
112,11402,22522,1
112,11402,55820,1
112,11402,7747,1
112,11402,29442,1
112,11402,31810,1
112,11402,49411,1
112,11402,76425,1
112,11402,63982,1
112,11402,50736,1
112,11402,80947,1
112,11402,10536,1
112,11402,39827,1
112,11402,45915,1
112,11402,51605,1
112,11402,39264,1
112,11402,7742,1
112,11402,88417,1
112,11402,39733,1
112,11402,49237,1
112,11402,97196,1
112,11402,24199,1
112,11402,46198,1
112,11402,45919,1
112,11402,11333,1
112,11402,113034,1
112,41870,49390,1
112,41870,55495,1
112,41870,47188,1
112,41870,30058,1
112,41870,67535,1
112,41870,15838,1
112,41870,12814,1
112,41870,17043,1
112,41870,40710,1
112,41870,47630,1
112,41870,6186,1
112,41870,56550,1
112,41870,22522,1
112,41870,55820,1
112,41870,7747,1
112,41870,29442,1
112,41870,31810,1
112,41870,49411,1
112,41870,76425,1
112,41870,63982,1
112,41870,50736,1
112,41870,80947,1
112,41870,10536,1
112,41870,39827,1
112,41870,45915,1
112,41870,51605,1
112,41870,39264,1
112,41870,7742,1
112,41870,88417,1
112,41870,39733,1
112,41870,49237,1
112,41870,97196,1
112,41870,24199,1
112,41870,46198,1
112,41870,45919,1
112,41870,11333,1
112,41870,113034,1
112,49390,55495,1
112,49390,47188,1
112,49390,30058,1
112,49390,67535,1
112,49390,15838,1
112,49390,12814,1
112,49390,17043,1
112,49390,40710,1
112,49390,47630,1
112,49390,6186,1
112,49390,56550,1
112,49390,22522,1
112,49390,55820,1
112,49390,7747,1
112,49390,29442,1
112,49390,31810,1
112,49390,49411,1
112,49390,76425,1
112,49390,63982,1
112,49390,50736,1
112,49390,80947,1
112,49390,10536,1
112,49390,39827,1
112,49390,45915,1
112,49390,51605,1
112,49390,39264,1
112,49390,7742,1
112,49390,88417,1
112,49390,39733,1
112,49390,49237,1
112,49390,97196,1
112,49390,24199,1
112,49390,46198,1
112,49390,45919,1
112,49390,11333,1
112,49390,113034,1
112,55495,47188,1
112,55495,30058,1
112,55495,67535,1
112,55495,15838,1
112,55495,12814,1
112,55495,17043,1
112,55495,40710,1
112,55495,47630,1
112,55495,6186,1
112,55495,56550,1
112,55495,22522,1
112,55495,55820,1
112,55495,7747,1
112,55495,29442,1
112,55495,31810,1
112,55495,49411,1
112,55495,76425,1
112,55495,63982,1
112,55495,50736,1
112,55495,80947,1
112,55495,10536,1
112,55495,39827,1
112,55495,45915,1
112,55495,51605,1
112,55495,39264,1
112,55495,7742,1
112,55495,88417,1
112,55495,39733,1
112,55495,49237,1
112,55495,97196,1
112,55495,24199,1
112,55495,46198,1
112,55495,45919,1
112,55495,11333,1
112,55495,113034,1
112,47188,30058,1
112,47188,67535,1
112,47188,15838,1
112,47188,12814,1
112,47188,17043,1
112,47188,40710,1
112,47188,47630,1
112,47188,6186,1
112,47188,56550,1
112,47188,22522,1
112,47188,55820,1
112,47188,7747,1
112,47188,29442,1
112,47188,31810,1
112,47188,49411,1
112,47188,76425,1
112,47188,63982,1
112,47188,50736,1
112,47188,80947,1
112,47188,10536,1
112,47188,39827,1
112,47188,45915,1
112,47188,51605,1
112,47188,39264,1
112,47188,7742,1
112,47188,88417,1
112,47188,39733,1
112,47188,49237,1
112,47188,97196,1
112,47188,24199,1
112,47188,46198,1
112,47188,45919,1
112,47188,11333,1
112,47188,113034,1
112,30058,67535,1
112,30058,15838,1
112,30058,12814,1
112,30058,17043,1
112,30058,40710,1
112,30058,47630,1
112,30058,6186,1
112,30058,56550,1
112,30058,22522,1
112,30058,55820,1
112,30058,7747,1
112,30058,29442,1
112,30058,31810,1
112,30058,49411,1
112,30058,76425,1
112,30058,63982,1
112,30058,50736,1
112,30058,80947,1
112,30058,10536,1
112,30058,39827,1
112,30058,45915,1
112,30058,51605,1
112,30058,39264,1
112,30058,7742,1
112,30058,88417,1
112,30058,39733,1
112,30058,49237,1
112,30058,97196,1
112,30058,24199,1
112,30058,46198,1
112,30058,45919,1
112,30058,11333,1
112,30058,113034,1
112,67535,15838,1
112,67535,12814,1
112,67535,17043,1
112,67535,40710,1
112,67535,47630,1
112,67535,6186,1
112,67535,56550,1
112,67535,22522,1
112,67535,55820,1
112,67535,7747,1
112,67535,29442,1
112,67535,31810,1
112,67535,49411,1
112,67535,76425,1
112,67535,63982,1
112,67535,50736,1
112,67535,80947,1
112,67535,10536,1
112,67535,39827,1
112,67535,45915,1
112,67535,51605,1
112,67535,39264,1
112,67535,7742,1
112,67535,88417,1
112,67535,39733,1
112,67535,49237,1
112,67535,97196,1
112,67535,24199,1
112,67535,46198,1
112,67535,45919,1
112,67535,11333,1
112,67535,113034,1
112,15838,12814,1
112,15838,17043,1
112,15838,40710,1
112,15838,47630,1
112,15838,6186,1
112,15838,56550,1
112,15838,22522,1
112,15838,55820,1
112,15838,7747,1
112,15838,29442,1
112,15838,31810,1
112,15838,49411,1
112,15838,76425,1
112,15838,63982,1
112,15838,50736,1
112,15838,80947,1
112,15838,10536,1
112,15838,39827,1
112,15838,45915,1
112,15838,51605,1
112,15838,39264,1
112,15838,7742,1
112,15838,88417,1
112,15838,39733,1
112,15838,49237,1
112,15838,97196,1
112,15838,24199,1
112,15838,46198,1
112,15838,45919,1
112,15838,11333,1
112,15838,113034,1
112,12814,17043,1
112,12814,40710,1
112,12814,47630,1
112,12814,6186,1
112,12814,56550,1
112,12814,22522,1
112,12814,55820,1
112,12814,7747,1
112,12814,29442,1
112,12814,31810,1
112,12814,49411,1
112,12814,76425,1
112,12814,63982,1
112,12814,50736,1
112,12814,80947,1
112,12814,10536,1
112,12814,39827,1
112,12814,45915,1
112,12814,51605,1
112,12814,39264,1
112,12814,7742,1
112,12814,88417,1
112,12814,39733,1
112,12814,49237,1
112,12814,97196,1
112,12814,24199,1
112,12814,46198,1
112,12814,45919,1
112,12814,11333,1
112,12814,113034,1
112,17043,40710,1
112,17043,47630,1
112,17043,6186,1
112,17043,56550,1
112,17043,22522,1
112,17043,55820,1
112,17043,7747,1
112,17043,29442,1
112,17043,31810,1
112,17043,49411,1
112,17043,76425,1
112,17043,63982,1
112,17043,50736,1
112,17043,80947,1
112,17043,10536,1
112,17043,39827,1
112,17043,45915,1
112,17043,51605,1
112,17043,39264,1
112,17043,7742,1
112,17043,88417,1
112,17043,39733,1
112,17043,49237,1
112,17043,97196,1
112,17043,24199,1
112,17043,46198,1
112,17043,45919,1
112,17043,11333,1
112,17043,113034,1
112,40710,47630,1
112,40710,6186,1
112,40710,56550,1
112,40710,22522,1
112,40710,55820,1
112,40710,7747,1
112,40710,29442,1
112,40710,31810,1
112,40710,49411,1
112,40710,76425,1
112,40710,63982,1
112,40710,50736,1
112,40710,80947,1
112,40710,10536,1
112,40710,39827,1
112,40710,45915,1
112,40710,51605,1
112,40710,39264,1
112,40710,7742,1
112,40710,88417,1
112,40710,39733,1
112,40710,49237,1
112,40710,97196,1
112,40710,24199,1
112,40710,46198,1
112,40710,45919,1
112,40710,11333,1
112,40710,113034,1
112,47630,6186,1
112,47630,56550,1
112,47630,22522,1
112,47630,55820,1
112,47630,7747,1
112,47630,29442,1
112,47630,31810,1
112,47630,49411,1
112,47630,76425,1
112,47630,63982,1
112,47630,50736,1
112,47630,80947,1
112,47630,10536,1
112,47630,39827,1
112,47630,45915,1
