time,player1,player2,result
110,11402,45915,1
110,11402,11818,1
110,11402,11143,1
110,11402,5695,1
110,11402,49390,1
110,11402,16392,1
110,11402,63162,1
110,11402,41322,1
110,11402,10536,1
110,11402,49385,1
110,11402,18719,1
110,11402,39908,1
110,11402,30058,1
110,11402,41060,1
110,11402,30433,1
110,11402,56550,1
110,11402,97196,1
110,11402,15838,1
110,11402,80795,1
110,11402,18714,1
110,11402,11315,1
110,11402,41870,1
110,11402,10539,1
110,11402,10141,1
110,11402,47630,1
110,11402,21622,1
110,11402,18442,1
110,11402,31810,1
110,11402,55495,1
110,11402,67535,1
110,11402,18417,1
110,11402,7747,1
110,11402,47188,1
110,11402,41276,1
110,11402,17043,1
110,11402,32470,1
110,11402,11979,1
110,11402,40710,1
110,11402,46686,1
110,11402,54985,1
110,11402,28500,1
110,11402,11001,1
110,11402,32766,1
110,11402,9919,1
110,11402,49277,1
110,11402,70410,1
110,11402,31824,1
110,11402,49084,1
110,11402,51350,1
110,11402,80666,1
110,11402,39201,1
110,11402,63982,1
110,11402,30249,1
110,11402,10166,1
110,11402,24199,1
110,11402,12814,1
110,11402,69143,1
110,11402,29442,1
110,11402,11162,1
110,45915,11818,1
110,45915,11143,1
110,45915,5695,1
110,45915,49390,1
110,45915,16392,1
110,45915,63162,1
110,45915,41322,1
110,45915,10536,1
110,45915,49385,1
110,45915,18719,1
110,45915,39908,1
110,45915,30058,1
110,45915,41060,1
110,45915,30433,1
110,45915,56550,1
110,45915,97196,1
110,45915,15838,1
110,45915,80795,1
110,45915,18714,1
110,45915,11315,1
110,45915,41870,1
110,45915,10539,1
110,45915,10141,1
110,45915,47630,1
110,45915,21622,1
110,45915,18442,1
110,45915,31810,1
110,45915,55495,1
110,45915,67535,1
110,45915,18417,1
110,45915,7747,1
110,45915,47188,1
110,45915,41276,1
110,45915,17043,1
110,45915,32470,1
110,45915,11979,1
110,45915,40710,1
110,45915,46686,1
110,45915,54985,1
110,45915,28500,1
110,45915,11001,1
110,45915,32766,1
110,45915,9919,1
110,45915,49277,1
110,45915,70410,1
110,45915,31824,1
110,45915,49084,1
110,45915,51350,1
110,45915,80666,1
110,45915,39201,1
110,45915,63982,1
110,45915,30249,1
110,45915,10166,1
110,45915,24199,1
