time,player1,player2,result
109,7788,11378,1
109,7788,29442,1
109,7788,32470,1
109,7788,18719,1
109,7788,41322,1
109,7788,10539,1
109,7788,30249,1
109,7788,39908,1
109,7788,11143,1
109,7788,11092,1
109,7788,10141,1
109,7788,49277,1
109,7788,67535,1
109,7788,49390,1
109,7788,7503,1
109,7788,7702,1
109,7788,63428,1
109,7788,64519,1
109,7788,45919,1
109,7788,6707,1
109,7788,25528,1
109,7788,40710,1
109,7788,30058,1
109,7788,7742,1
109,7788,18442,1
109,7788,80630,1
109,7788,47188,1
109,7788,76434,1
109,7788,11315,1
109,7788,9919,1
109,7788,30633,1
109,7788,5742,1
109,7788,10100,1
109,7788,10166,1
109,7788,55788,1
109,7788,45913,1
109,7788,46198,1
109,7788,32766,1
109,7788,12749,1
109,7788,95497,1
109,7788,49237,1
109,7788,30433,1
109,7788,10536,1
109,7788,51480,1
109,11378,29442,1
109,11378,32470,1
109,11378,18719,1
109,11378,41322,1
109,11378,10539,1
109,11378,30249,1
109,11378,39908,1
109,11378,11143,1
109,11378,11092,1
109,11378,10141,1
109,11378,49277,1
109,11378,67535,1
109,11378,49390,1
109,11378,7503,1
109,11378,7702,1
109,11378,63428,1
109,11378,64519,1
109,11378,45919,1
109,11378,6707,1
109,11378,25528,1
109,11378,40710,1
109,11378,30058,1
109,11378,7742,1
109,11378,18442,1
109,11378,80630,1
109,11378,47188,1
109,11378,76434,1
109,11378,11315,1
109,11378,9919,1
109,11378,30633,1
109,11378,5742,1
109,11378,10100,1
109,11378,10166,1
109,11378,55788,1
109,11378,45913,1
109,11378,46198,1
109,11378,32766,1
109,11378,12749,1
109,11378,95497,1
109,11378,49237,1
109,11378,30433,1
109,11378,10536,1
109,11378,51480,1
109,29442,32470,1
109,29442,18719,1
109,29442,41322,1
109,29442,10539,1
109,29442,30249,1
109,29442,39908,1
109,29442,11143,1
109,29442,11092,1
109,29442,10141,1
109,29442,49277,1
109,29442,67535,1
109,29442,49390,1
109,29442,7503,1
109,29442,7702,1
109,29442,63428,1
109,29442,64519,1
109,29442,45919,1
109,29442,6707,1
109,29442,25528,1
109,29442,40710,1
109,29442,30058,1
109,29442,7742,1
109,29442,18442,1
109,29442,80630,1
109,29442,47188,1
109,29442,76434,1
109,29442,11315,1
109,29442,9919,1
109,29442,30633,1
109,29442,5742,1
109,29442,10100,1
109,29442,10166,1
109,29442,55788,1
109,29442,45913,1
109,29442,46198,1
109,29442,32766,1
109,29442,12749,1
109,29442,95497,1
109,29442,49237,1
109,29442,30433,1
109,29442,10536,1
109,29442,51480,1
109,32470,18719,1
109,32470,41322,1
109,32470,10539,1
109,32470,30249,1
109,32470,39908,1
109,32470,11143,1
109,32470,11092,1
109,32470,10141,1
