time,player1,player2,result
114,7776,68698,1
114,7776,78775,1
114,7776,89532,1
114,7776,29235,1
114,7776,15744,1
114,7776,22170,1
114,7776,11385,1
114,7776,83096,1
114,7776,45790,1
114,7776,6783,1
114,7776,39683,1
114,7776,5372,1
114,7776,39450,1
114,7776,10077,1
114,7776,81334,1
114,7776,70413,1
114,7776,18592,1
114,7776,45907,1
114,7776,7757,1
114,7776,72769,1
114,7776,5467,1
114,7776,17285,1
114,7776,21841,1
114,7776,31827,1
114,7776,39687,1
114,7776,25951,1
114,7776,46579,1
114,7776,9345,1
114,7776,15747,1
114,7776,94265,1
114,7776,12785,1
114,7776,14196,1
114,7776,85453,1
114,7776,6386,1
114,7776,7915,1
114,7776,39533,1
114,7776,5576,1
114,7776,15946,1
114,7776,42267,1
114,7776,7525,1
114,7776,30090,1
114,7776,11879,1
114,7776,18721,1
114,68698,78775,1
114,68698,89532,1
114,68698,29235,1
114,68698,15744,1
114,68698,22170,1
114,68698,11385,1
114,68698,83096,1
114,68698,45790,1
114,68698,6783,1
114,68698,39683,1
114,68698,5372,1
114,68698,39450,1
114,68698,10077,1
114,68698,81334,1
114,68698,70413,1
114,68698,18592,1
114,68698,45907,1
114,68698,7757,1
114,68698,72769,1
114,68698,5467,1
114,68698,17285,1
114,68698,21841,1
114,68698,31827,1
114,68698,39687,1
114,68698,25951,1
114,68698,46579,1
114,68698,9345,1
114,68698,15747,1
114,68698,94265,1
114,68698,12785,1
114,68698,14196,1
114,68698,85453,1
114,68698,6386,1
114,68698,7915,1
114,68698,39533,1
114,68698,5576,1
114,68698,15946,1
114,68698,42267,1
114,68698,7525,1
114,68698,30090,1
114,68698,11879,1
114,68698,18721,1
114,78775,89532,1
114,78775,29235,1
114,78775,15744,1
114,78775,22170,1
114,78775,11385,1
114,78775,83096,1
114,78775,45790,1
114,78775,6783,1
114,78775,39683,1
114,78775,5372,1
114,78775,39450,1
114,78775,10077,1
114,78775,81334,1
114,78775,70413,1
114,78775,18592,1
114,78775,45907,1
114,78775,7757,1
114,78775,72769,1
114,78775,5467,1
114,78775,17285,1
114,78775,21841,1
114,78775,31827,1
114,78775,39687,1
114,78775,25951,1
114,78775,46579,1
114,78775,9345,1
114,78775,15747,1
114,78775,94265,1
114,78775,12785,1
114,78775,14196,1
114,78775,85453,1
114,78775,6386,1
114,78775,7915,1
114,78775,39533,1
114,78775,5576,1
114,78775,15946,1
114,78775,42267,1
114,78775,7525,1
114,78775,30090,1
114,78775,11879,1
114,78775,18721,1
114,89532,29235,1
114,89532,15744,1
114,89532,22170,1
114,89532,11385,1
114,89532,83096,1
114,89532,45790,1
114,89532,6783,1
114,89532,39683,1
114,89532,5372,1
114,89532,39450,1
114,89532,10077,1
114,89532,81334,1
114,89532,70413,1
114,89532,18592,1
114,89532,45907,1
114,89532,7757,1
114,89532,72769,1
114,89532,5467,1
114,89532,17285,1
114,89532,21841,1
114,89532,31827,1
114,89532,39687,1
114,89532,25951,1
114,89532,46579,1
114,89532,9345,1
114,89532,15747,1
114,89532,94265,1
114,89532,12785,1
114,89532,14196,1
114,89532,85453,1
114,89532,6386,1
114,89532,7915,1
114,89532,39533,1
114,89532,5576,1
114,89532,15946,1
114,89532,42267,1
114,89532,7525,1
114,89532,30090,1
114,89532,11879,1
114,89532,18721,1
114,29235,15744,1
114,29235,22170,1
114,29235,11385,1
114,29235,83096,1
114,29235,45790,1
114,29235,6783,1
114,29235,39683,1
114,29235,5372,1
114,29235,39450,1
114,29235,10077,1
114,29235,81334,1
114,29235,70413,1
114,29235,18592,1
114,29235,45907,1
114,29235,7757,1
114,29235,72769,1
114,29235,5467,1
114,29235,17285,1
114,29235,21841,1
114,29235,31827,1
114,29235,39687,1
114,29235,25951,1
114,29235,46579,1
114,29235,9345,1
114,29235,15747,1
114,29235,94265,1
114,29235,12785,1
114,29235,14196,1
114,29235,85453,1
114,29235,6386,1
114,29235,7915,1
114,29235,39533,1
114,29235,5576,1
114,29235,15946,1
114,29235,42267,1
114,29235,7525,1
114,29235,30090,1
114,29235,11879,1
114,29235,18721,1
114,15744,22170,1
114,15744,11385,1
114,15744,83096,1
114,15744,45790,1
114,15744,6783,1
114,15744,39683,1
114,15744,5372,1
114,15744,39450,1
114,15744,10077,1
114,15744,81334,1
114,15744,70413,1
114,15744,18592,1
114,15744,45907,1
114,15744,7757,1
114,15744,72769,1
114,15744,5467,1
114,15744,17285,1
114,15744,21841,1
114,15744,31827,1
114,15744,39687,1
114,15744,25951,1
114,15744,46579,1
114,15744,9345,1
114,15744,15747,1
114,15744,94265,1
114,15744,12785,1
114,15744,14196,1
114,15744,85453,1
114,15744,6386,1
114,15744,7915,1
114,15744,39533,1
114,15744,5576,1
114,15744,15946,1
114,15744,42267,1
114,15744,7525,1
114,15744,30090,1
114,15744,11879,1
114,15744,18721,1
114,22170,11385,1
114,22170,83096,1
114,22170,45790,1
114,22170,6783,1
114,22170,39683,1
114,22170,5372,1
114,22170,39450,1
114,22170,10077,1
114,22170,81334,1
114,22170,70413,1
114,22170,18592,1
114,22170,45907,1
114,22170,7757,1
114,22170,72769,1
114,22170,5467,1
114,22170,17285,1
114,22170,21841,1
114,22170,31827,1
114,22170,39687,1
114,22170,25951,1
114,22170,46579,1
114,22170,9345,1
114,22170,15747,1
114,22170,94265,1
114,22170,12785,1
114,22170,14196,1
114,22170,85453,1
114,22170,6386,1
114,22170,7915,1
114,22170,39533,1
114,22170,5576,1
114,22170,15946,1
114,22170,42267,1
114,22170,7525,1
114,22170,30090,1
114,22170,11879,1
114,22170,18721,1
114,11385,83096,1
114,11385,45790,1
114,11385,6783,1
114,11385,39683,1
114,11385,5372,1
114,11385,39450,1
114,11385,10077,1
114,11385,81334,1
114,11385,70413,1
114,11385,18592,1
114,11385,45907,1
114,11385,7757,1
114,11385,72769,1
114,11385,5467,1
114,11385,17285,1
114,11385,21841,1
114,11385,31827,1
114,11385,39687,1
114,11385,25951,1
114,11385,46579,1
114,11385,9345,1
114,11385,15747,1
114,11385,94265,1
114,11385,12785,1
114,11385,14196,1
114,11385,85453,1
114,11385,6386,1
114,11385,7915,1
114,11385,39533,1
114,11385,5576,1
114,11385,15946,1
114,11385,42267,1
114,11385,7525,1
114,11385,30090,1
114,11385,11879,1
114,11385,18721,1
114,83096,45790,1
114,83096,6783,1
114,83096,39683,1
114,83096,5372,1
114,83096,39450,1
114,83096,10077,1
114,83096,81334,1
114,83096,70413,1
114,83096,18592,1
114,83096,45907,1
114,83096,7757,1
114,83096,72769,1
114,83096,5467,1
114,83096,17285,1
114,83096,21841,1
114,83096,31827,1
114,83096,39687,1
114,83096,25951,1
114,83096,46579,1
114,83096,9345,1
114,83096,15747,1
114,83096,94265,1
114,83096,12785,1
114,83096,14196,1
114,83096,85453,1
114,83096,6386,1
114,83096,7915,1
114,83096,39533,1
114,83096,5576,1
114,83096,15946,1
114,83096,42267,1
114,83096,7525,1
114,83096,30090,1
114,83096,11879,1
114,83096,18721,1
114,45790,6783,1
114,45790,39683,1
114,45790,5372,1
114,45790,39450,1
114,45790,10077,1
114,45790,81334,1
114,45790,70413,1
114,45790,18592,1
114,45790,45907,1
114,45790,7757,1
114,45790,72769,1
114,45790,5467,1
114,45790,17285,1
114,45790,21841,1
114,45790,31827,1
114,45790,39687,1
114,45790,25951,1
114,45790,46579,1
114,45790,9345,1
114,45790,15747,1
114,45790,94265,1
114,45790,12785,1
114,45790,14196,1
114,45790,85453,1
114,45790,6386,1
