time,player1,player2,result
114,11143,41322,1
114,11143,11402,1
114,11143,5695,1
114,11143,11378,1
114,11143,16392,1
114,11143,30249,1
114,11143,10536,1
114,11143,30058,1
114,11143,18719,1
114,11143,29442,1
114,11143,39908,1
114,11143,40311,1
114,11143,10141,1
114,11143,40710,1
114,11143,22327,1
114,11143,24199,1
114,11143,28500,1
114,11143,11092,1
114,11143,21622,1
114,11143,11162,1
114,11143,49277,1
114,11143,11818,1
114,11143,32470,1
114,11143,15838,1
114,11143,7747,1
114,11143,39836,1
114,11143,14190,1
114,11143,7503,1
114,11143,30282,1
114,11143,64519,1
114,11143,6186,1
114,11143,76434,1
114,11143,14181,1
114,11143,41276,1
114,11143,11333,1
114,11143,18442,1
114,11143,7742,1
114,11143,5742,1
114,11143,25528,1
114,11143,6707,1
114,11143,17043,1
114,11143,88417,1
114,11143,12749,1
114,11143,31810,1
114,11143,9919,1
114,11143,41590,1
114,11143,31992,1
114,11143,51605,1
114,11143,63982,1
114,11143,11315,1
114,11143,30433,1
114,11143,30579,1
114,11143,44608,1
114,11143,10842,1
114,11143,45915,1
114,11143,97196,1
114,11143,39974,1
114,11143,5633,1
114,11143,46686,1
114,11143,30485,1
114,11143,50736,1
114,11143,39560,1
114,11143,39206,1
114,11143,93675,1
114,11143,5306,1
114,41322,11402,1
114,41322,5695,1
114,41322,11378,1
114,41322,16392,1
114,41322,30249,1
114,41322,10536,1
114,41322,30058,1
114,41322,18719,1
114,41322,29442,1
114,41322,39908,1
114,41322,40311,1
114,41322,10141,1
114,41322,40710,1
114,41322,22327,1
114,41322,24199,1
114,41322,28500,1
114,41322,11092,1
114,41322,21622,1
114,41322,11162,1
114,41322,49277,1
114,41322,11818,1
114,41322,32470,1
114,41322,15838,1
114,41322,7747,1
114,41322,39836,1
114,41322,14190,1
114,41322,7503,1
114,41322,30282,1
114,41322,64519,1
114,41322,6186,1
114,41322,76434,1
114,41322,14181,1
114,41322,41276,1
114,41322,11333,1
114,41322,18442,1
114,41322,7742,1
114,41322,5742,1
114,41322,25528,1
114,41322,6707,1
114,41322,17043,1
114,41322,88417,1
114,41322,12749,1
114,41322,31810,1
114,41322,9919,1
114,41322,41590,1
114,41322,31992,1
114,41322,51605,1
114,41322,63982,1
114,41322,11315,1
114,41322,30433,1
114,41322,30579,1
114,41322,44608,1
114,41322,10842,1
114,41322,45915,1
114,41322,97196,1
114,41322,39974,1
114,41322,5633,1
114,41322,46686,1
114,41322,30485,1
114,41322,50736,1
114,41322,39560,1
114,41322,39206,1
114,41322,93675,1
114,41322,5306,1
114,11402,5695,1
114,11402,11378,1
114,11402,16392,1
114,11402,30249,1
114,11402,10536,1
114,11402,30058,1
114,11402,18719,1
114,11402,29442,1
114,11402,39908,1
114,11402,40311,1
114,11402,10141,1
114,11402,40710,1
114,11402,22327,1
114,11402,24199,1
114,11402,28500,1
114,11402,11092,1
114,11402,21622,1
114,11402,11162,1
114,11402,49277,1
114,11402,11818,1
