program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
307158,5695,Javier,Gomez Noya,ESP,26,00:18:38,00:01:02,01:00:54,00:00:36,00:31:23,1,01:52:31
307158,18719,Thomas,Bishop,GBR,22,00:18:36,00:01:08,01:00:52,00:00:36,00:31:36,2,01:52:45
307158,11143,Vincent,Luis,FRA,49,00:18:35,00:01:06,01:00:53,00:00:30,00:32:05,3,01:53:08
307158,29442,Fernando,Alarza,ESP,2,00:19:08,00:01:06,01:01:32,00:00:33,00:31:03,4,01:53:18
307158,16392,Richard,Murray,RSA,4,00:19:32,00:00:59,01:01:13,00:00:30,00:31:14,5,01:53:25
307158,10536,Joao,Pereira,POR,9,00:19:05,00:01:05,01:01:35,00:00:30,00:31:25,6,01:53:38
307158,12721,Gregory,Billington,USA,18,00:18:39,00:01:04,01:00:51,00:00:31,00:32:57,7,01:54:00
307158,11402,Mario,Mola,ESP,1,00:19:12,00:01:06,01:01:26,00:00:29,00:31:55,8,01:54:06
307158,11315,Andrea,Salvisberg,SUI,12,00:18:38,00:01:07,01:00:50,00:00:30,00:33:17,9,01:54:20
307158,30433,Henri,Schoeman,RSA,3,00:18:28,00:01:06,01:01:02,00:00:30,00:33:31,10,01:54:35
307158,63162,Léo,Bergere,FRA,37,00:18:37,00:01:05,01:00:51,00:00:30,00:33:47,11,01:54:48
307158,14181,Igor,Polyanskiy,RUS,15,00:18:29,00:01:03,01:01:03,00:00:30,00:34:01,12,01:55:05
307158,45913,Marcel,Walkington,AUS,43,00:18:46,00:01:06,01:01:52,00:00:32,00:33:01,13,01:55:15
307158,49277,Marc,Austin,GBR,51,00:18:33,00:01:06,01:02:08,00:00:30,00:33:41,14,01:55:56
307158,21622,Alois,Knabl,AUT,34,00:18:34,00:01:08,01:02:05,00:00:34,00:33:44,15,01:56:02
307158,17043,Ben,Kanute,USA,31,00:18:31,00:01:04,01:00:58,00:00:30,00:35:07,16,01:56:08
307158,41276,Marco,Van Der Stel,NED,29,00:18:36,00:01:05,01:00:56,00:00:33,00:35:18,17,01:56:26
307158,47796,Ilya,Prasolov,RUS,41,00:18:47,00:01:05,01:01:55,00:00:33,00:34:34,18,01:56:51
307158,10539,Joao,Silva,POR,17,00:19:25,00:01:02,01:04:17,00:00:35,00:31:47,19,01:57:04
307158,32470,Adam,Bowden,GBR,7,00:19:42,00:01:09,01:03:51,00:00:32,00:32:03,20,01:57:15
307158,7503,Crisanto,Grajales,MEX,5,00:18:48,00:01:03,01:04:53,00:00:34,00:32:12,21,01:57:27
307158,7747,Dmitry,Polyanskiy,RUS,11,00:18:31,00:01:03,01:05:12,00:00:31,00:32:22,22,01:57:37
307158,15838,Lukas,Hollaus,AUT,36,00:19:35,00:01:05,01:04:01,00:00:28,00:32:32,23,01:57:39
307158,49084,Lukas,Pertl,AUT,40,00:19:46,00:01:04,01:03:53,00:00:27,00:32:34,24,01:57:41
307158,58385,Sylvain,Fridelance,SUI,46,00:19:17,00:01:05,01:01:25,00:00:32,00:36:10,25,01:58:27
307158,29395,Davide,Uccellari,ITA,25,00:19:16,00:01:12,01:04:17,00:00:33,00:33:33,26,01:58:50
307158,7742,Miguel,Arraiolos,POR,33,00:19:40,00:01:08,01:03:56,00:00:37,00:33:57,27,01:59:16
307158,6707,Jan,Celustka,CZE,21,00:18:39,00:01:05,01:04:59,00:00:33,00:34:26,28,01:59:41
307158,51350,Jorik,Van Egdom,NED,47,00:20:14,00:01:05,01:03:24,00:00:32,00:34:46,29,01:59:59
307158,11408,Tamás,Tóth,HUN,19,00:19:21,00:01:05,01:04:23,00:00:34,00:34:44,30,02:00:04
307158,18417,Stefan,Zachäus,LUX,23,00:19:21,00:01:03,01:01:23,00:00:30,00:38:03,31,02:00:18
307158,11979,Thomas,Springer,AUT,24,00:19:51,00:01:04,01:03:55,00:00:35,00:35:13,32,02:00:36
307158,55788,David,Luis,POR,55,00:18:36,00:01:03,01:05:08,00:00:30,00:35:44,33,02:00:59
307158,5742,Yuichi,Hosoda,JPN,44,00:19:38,00:01:07,01:04:03,00:00:36,00:36:13,34,02:01:35
307158,7702,Aurelien,Raphael,FRA,10,00:18:27,00:01:08,01:05:12,00:00:36,00:38:15,35,02:03:35
307158,11333,Ivan,Ivanov,UKR,32,00:19:19,00:01:07,01:04:20,00:00:36,00:39:10,36,02:04:29
307158,49237,Grant,Sheldon,GBR,27,00:19:46,00:01:07,00:00:00,00:00:00,00:00:00,LAP,LAP
307158,10166,Simon,De Cuyper,BEL,42,00:20:21,00:01:02,00:00:00,00:00:00,00:00:00,LAP,LAP
307158,31824,David,Castro Fajardo,ESP,28,00:19:37,00:01:30,00:00:00,00:00:00,00:00:00,LAP,LAP
307158,55511,Matthew,Baker,AUS,38,00:19:04,00:01:03,01:01:36,00:00:31,00:33:35,DSQ,DSQ
307158,49022,Menno,Koolhaas,NED,50,00:18:59,00:01:05,01:01:43,00:00:33,00:34:03,DSQ,DSQ
307158,64519,Henrik,Goesch,FIN,45,00:19:23,00:01:09,01:04:16,00:00:32,00:00:00,DNF,DNF
307158,56550,Adrien,Briffod,SUI,30,00:19:09,00:01:06,01:01:29,00:00:29,00:00:00,DNF,DNF
307158,30249,Pierre,Le Corre,FRA,6,00:18:31,00:01:06,00:00:00,00:00:00,00:00:00,DNF,DNF
307158,41322,Kristian,Blummenfelt,NOR,8,00:18:35,00:01:06,00:00:00,00:00:00,00:00:00,DNF,DNF
307158,7778,Jonathan,Zipf,GER,14,00:19:23,00:01:06,00:00:00,00:00:00,00:00:00,DNF,DNF
307158,55763,Temirlan,Temirov,KAZ,52,00:19:48,00:01:09,00:00:00,00:00:00,00:00:00,DNF,DNF
307158,49390,Dorian,Coninx,FRA,16,00:18:44,00:01:05,00:00:00,00:00:00,00:00:00,DNF,DNF
307158,10842,Lawrence,Fanous,JOR,48,00:19:23,00:01:05,00:00:00,00:00:00,00:00:00,DNF,DNF
307158,30579,Wian,Sullwald,RSA,39,00:18:36,00:01:01,00:00:00,00:00:00,00:00:00,DNF,DNF
307158,67535,Jonas,Schomburg,GER,20,00:18:33,00:01:05,00:00:00,00:00:00,00:00:00,DNF,DNF
307158,78904,Domen,Dornik,SLO,53,00:18:40,00:01:04,00:00:00,00:00:00,00:00:00,DNF,DNF
