program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
307248,7788,Alistair,Brownlee,GBR,28,00:16:38,00:01:04,00:57:23,00:00:25,00:31:23,1,01:46:51
307248,11378,Jonathan,Brownlee,GBR,26,00:16:34,00:01:06,00:57:26,00:00:25,00:31:35,2,01:47:03
307248,29442,Fernando,Alarza,ESP,1,00:16:47,00:01:05,00:58:29,00:00:25,00:30:44,3,01:47:28
307248,32470,Adam,Bowden,GBR,19,00:16:44,00:01:07,00:58:29,00:00:25,00:30:57,4,01:47:41
307248,18719,Thomas,Bishop,GBR,3,00:16:52,00:01:08,00:58:20,00:00:26,00:31:06,5,01:47:50
307248,41322,Kristian,Blummenfelt,NOR,5,00:16:47,00:01:04,00:58:27,00:00:25,00:31:26,6,01:48:06
307248,10539,Joao,Silva,POR,18,00:16:52,00:01:02,00:58:28,00:00:27,00:32:11,7,01:48:58
307248,30249,Pierre,Le Corre,FRA,29,00:16:34,00:01:05,00:58:41,00:00:26,00:32:14,8,01:48:58
307248,39908,Vicente,Hernandez,ESP,11,00:16:55,00:01:06,00:58:19,00:00:28,00:32:17,9,01:49:04
307248,11143,Vincent,Luis,FRA,6,00:16:53,00:01:05,00:58:21,00:00:27,00:32:28,10,01:49:12
307248,11092,Richard,Varga,SVK,14,00:16:33,00:01:10,00:58:38,00:00:26,00:32:34,11,01:49:19
307248,10141,Aaron,Royle,AUS,27,00:16:40,00:01:06,00:58:33,00:00:25,00:32:46,12,01:49:28
307248,49277,Marc,Austin,GBR,16,00:16:47,00:01:10,00:58:26,00:00:25,00:32:53,13,01:49:39
307248,67535,Jonas,Schomburg,GER,31,00:16:50,00:01:03,00:58:29,00:00:24,00:33:06,14,01:49:50
307248,49390,Dorian,Coninx,FRA,33,00:16:55,00:01:07,00:58:16,00:00:23,00:33:24,15,01:50:04
307248,7503,Crisanto,Grajales,MEX,7,00:17:15,00:01:08,00:59:23,00:00:28,00:32:00,16,01:50:12
307248,7702,Aurelien,Raphael,FRA,30,00:16:36,00:01:04,00:58:42,00:00:25,00:33:30,17,01:50:16
307248,63428,Antonio,Serrat Seoane,ESP,36,00:17:13,00:01:07,00:59:29,00:00:26,00:32:11,18,01:50:24
307248,64519,Henrik,Goesch,FIN,24,00:17:13,00:01:09,00:59:18,00:00:29,00:32:43,19,01:50:50
307248,45919,Declan,Wilson,AUS,15,00:16:57,00:01:05,00:58:16,00:00:24,00:34:25,20,01:51:05
307248,6707,Jan,Celustka,CZE,39,00:17:14,00:01:08,00:59:13,00:00:27,00:33:33,21,01:51:33
307248,25528,Christophe,De Keyser,BEL,20,00:17:17,00:01:11,00:59:12,00:00:24,00:33:36,22,01:51:37
307248,40710,Russell,White,IRL,38,00:16:49,00:01:03,00:59:46,00:00:27,00:33:49,23,01:51:52
307248,30058,Andreas,Schilling,DEN,8,00:16:52,00:01:08,00:59:35,00:00:28,00:33:58,24,01:51:58
307248,7742,Miguel,Arraiolos,POR,25,00:17:48,00:01:08,01:00:24,00:00:24,00:32:29,25,01:52:10
307248,18442,Peter,Denteneer,BEL,43,00:16:43,00:01:07,00:59:50,00:00:25,00:34:13,26,01:52:16
307248,80630,Jason,West,USA,40,00:18:05,00:01:14,01:00:04,00:00:29,00:32:59,27,01:52:48
307248,47188,Gordon,Benson,GBR,12,00:17:10,00:01:09,00:59:16,00:00:30,00:34:49,28,01:52:52
307248,76434,Casper,Stornes,NOR,45,00:17:20,00:01:18,01:00:40,00:00:29,00:33:12,29,01:52:58
307248,11315,Andrea,Salvisberg,SUI,4,00:16:53,00:01:11,00:59:38,00:00:31,00:35:06,30,01:53:17
307248,9919,Danilo,Pimentel,BRA,37,00:17:55,00:01:18,01:00:09,00:00:26,00:33:40,31,01:53:26
307248,30633,Gregory,Barnaby,ITA,42,00:17:47,00:01:09,01:00:23,00:00:25,00:33:49,32,01:53:31
307248,5742,Yuichi,Hosoda,JPN,23,00:17:09,00:01:13,00:59:27,00:00:28,00:35:23,33,01:53:37
307248,10100,Drew,Box,AUS,21,00:16:38,00:01:10,00:58:36,00:00:25,00:37:04,34,01:53:50
307248,10166,Simon,De Cuyper,BEL,34,00:18:04,00:01:13,01:00:02,00:00:23,00:34:28,35,01:54:07
307248,55788,David,Luis,POR,47,00:16:43,00:01:06,01:01:07,00:00:26,00:34:52,36,01:54:11
307248,45913,Marcel,Walkington,AUS,10,00:16:45,00:01:07,01:00:01,00:00:30,00:36:09,37,01:54:30
307248,46198,Eli,Hemming,USA,35,00:17:10,00:01:10,00:59:28,00:00:27,00:37:38,38,01:55:50
307248,32766,Matthias,Steinwandter,ITA,41,00:18:06,00:01:08,01:02:12,00:00:26,00:34:16,39,01:56:06
307248,12749,Ji Hwan,Kim,KOR,22,00:18:02,00:01:07,01:00:12,00:00:28,00:37:09,40,01:56:57
307248,95497,Oscar,Coggins,HKG,48,00:17:46,00:01:12,01:00:23,00:00:34,00:37:56,41,01:57:49
307248,49237,Grant,Sheldon,GBR,32,00:18:01,00:01:16,00:00:00,00:00:00,00:00:00,LAP,LAP
307248,30433,Henri,Schoeman,RSA,2,00:16:39,00:01:05,00:58:38,00:00:30,00:00:00,DNF,DNF
307248,10536,Joao,Pereira,POR,9,00:17:22,00:01:12,00:00:00,00:00:00,00:00:00,DNF,DNF
307248,51480,Raoul,Shaw,FRA,44,00:16:34,00:01:13,00:00:00,00:00:00,00:00:00,DNF,DNF
