program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
309383,15744,Ashleigh,Gentle,AUS,4,00:18:27,00:00:58,01:04:29,00:00:33,00:34:39,1,01:59:04
309383,7776,Flora,Duffy,BER,1,00:18:16,00:01:03,01:04:34,00:00:39,00:34:57,2,01:59:27
309383,6783,Andrea,Hewitt,NZL,5,00:18:19,00:01:05,01:04:32,00:00:31,00:35:24,3,01:59:48
309383,29235,Joanna,Brown,CAN,19,00:18:17,00:01:02,01:04:36,00:00:33,00:35:56,4,02:00:23
309383,89532,Kirsten,Kasper,USA,3,00:18:15,00:01:05,01:04:34,00:00:32,00:36:03,5,02:00:26
309383,22170,Rachel,Klamer,NED,6,00:18:18,00:01:07,01:04:29,00:00:37,00:36:03,6,02:00:32
309383,80643,Taylor,Knibb,USA,18,00:18:20,00:01:05,01:04:34,00:00:37,00:36:18,7,02:00:51
309383,17285,Yuko,Takahashi,JPN,10,00:18:13,00:01:02,01:04:40,00:00:28,00:36:40,8,02:01:01
309383,68698,Katie,Zaferes,USA,2,00:18:07,00:01:06,01:04:39,00:00:37,00:36:47,9,02:01:14
309383,10077,Charlotte,McShane,AUS,8,00:18:18,00:01:02,01:04:35,00:00:32,00:37:23,10,02:01:49
309383,39450,Gillian,Backhouse,AUS,7,00:18:12,00:01:06,01:04:35,00:00:33,00:37:48,11,02:02:13
309383,5467,Vendula,Frintova,CZE,14,00:18:23,00:01:06,01:07:29,00:00:32,00:36:20,12,02:03:47
309383,45790,Jolanda,Annen,SUI,9,00:18:20,00:01:03,01:07:37,00:00:40,00:37:04,13,02:04:41
309383,7757,Zsófia,Kovács,HUN,29,00:18:24,00:01:02,01:07:34,00:00:33,00:37:20,14,02:04:52
309383,30090,Lindsey,Jerdonek,USA,31,00:18:22,00:01:05,01:07:31,00:00:37,00:37:42,15,02:05:14
309383,64750,Nicole,Van Der Kaay,NZL,25,00:18:33,00:01:01,01:07:25,00:00:38,00:38:06,16,02:05:41
309383,64952,Emma,Jeffcoat,AUS,20,00:18:14,00:01:04,01:08:00,00:00:30,00:38:40,17,02:06:27
309383,18592,Yuka,Sato,JPN,12,00:18:20,00:01:03,01:07:35,00:00:33,00:39:19,18,02:06:47
309383,45907,Natalie,Van Coevorden,AUS,15,00:18:15,00:01:06,01:07:37,00:00:35,00:39:39,19,02:07:10
309383,39687,Carolina,Routier,ESP,21,00:18:14,00:01:05,01:07:41,00:00:36,00:39:43,20,02:07:16
309383,12674,Paula,Findlay,CAN,24,00:18:34,00:01:06,01:07:21,00:00:35,00:40:20,21,02:07:53
309383,21841,Simone,Ackermann,RSA,27,00:18:20,00:01:05,00:00:00,00:00:00,00:00:00,LAP,LAP
309383,72769,Claire,Michel,BEL,16,00:19:04,00:01:05,00:00:00,00:00:00,00:00:00,LAP,LAP
309383,85453,Renee,Tomlin,USA,11,00:19:27,00:00:59,00:00:00,00:00:00,00:00:00,LAP,LAP
309383,7646,Claudia,Rivas,MEX,26,00:18:25,00:01:07,00:00:00,00:00:00,00:00:00,LAP,LAP
309383,6386,Aoi,Kuramoto,JPN,22,00:19:31,00:01:05,00:00:00,00:00:00,00:00:00,LAP,LAP
309383,70028,Minami,Kubono,JPN,30,00:18:16,00:01:03,01:04:38,00:00:32,00:38:53,DSQ,DSQ
309383,47942,Melanie,Santos,POR,23,00:18:23,00:01:02,01:07:36,00:00:40,00:00:00,DNF,DNF
309383,25176,Cecilia,Perez,MEX,28,00:18:22,00:01:10,00:00:00,00:00:00,00:00:00,DNF,DNF
309383,9345,Gillian,Sanders,RSA,17,00:18:52,00:01:07,00:00:00,00:00:00,00:00:00,DNF,DNF
