program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
309472,7776,Flora,Duffy,BER,1,00:19:14,00:01:44,01:03:40,00:00:28,00:33:36,1,01:58:39
309472,68698,Katie,Zaferes,USA,4,00:19:21,00:01:38,01:03:41,00:00:23,00:34:34,2,01:59:34
309472,78775,Jessica,Learmonth,GBR,8,00:19:13,00:01:43,01:03:43,00:00:30,00:35:50,3,02:00:57
309472,89532,Kirsten,Kasper,USA,5,00:19:38,00:01:46,01:04:44,00:00:24,00:34:58,4,02:01:29
309472,29235,Joanna,Brown,CAN,7,00:19:43,00:01:43,01:04:42,00:00:29,00:35:12,5,02:01:47
309472,15744,Ashleigh,Gentle,AUS,2,00:20:04,00:01:47,01:06:03,00:00:14,00:33:54,6,02:02:00
309472,22170,Rachel,Klamer,NED,6,00:19:39,00:01:49,01:04:40,00:00:28,00:35:34,7,02:02:09
309472,11385,Jodie,Stimpson,GBR,27,00:19:41,00:01:47,01:04:40,00:00:23,00:35:52,8,02:02:20
309472,83096,Summer,Rappaport,USA,16,00:19:23,00:01:51,01:04:59,00:00:25,00:35:55,9,02:02:30
309472,45790,Jolanda,Annen,SUI,10,00:20:04,00:01:46,01:06:03,00:00:26,00:34:27,10,02:02:43
309472,6783,Andrea,Hewitt,NZL,3,00:19:47,00:01:50,01:06:15,00:00:25,00:34:49,11,02:03:05
309472,39683,Alice,Betto,ITA,18,00:19:40,00:01:49,01:04:39,00:00:28,00:36:37,12,02:03:12
309472,5372,Nicola,Spirig,SUI,49,00:20:08,00:01:47,01:05:57,00:00:23,00:35:10,13,02:03:23
309472,39450,Gillian,Backhouse,AUS,15,00:20:06,00:01:46,01:06:02,00:00:25,00:35:14,14,02:03:31
309472,10077,Charlotte,McShane,AUS,12,00:19:58,00:01:50,01:06:06,00:00:24,00:35:28,15,02:03:44
309472,81334,Taylor,Spivey,USA,11,00:19:19,00:01:49,01:05:01,00:00:27,00:37:26,16,02:04:01
309472,70413,Laura,Lindemann,GER,29,00:19:57,00:01:54,01:06:03,00:00:28,00:36:05,17,02:04:24
309472,18592,Yuka,Sato,JPN,21,00:20:07,00:01:47,01:06:02,00:00:27,00:36:29,18,02:04:49
309472,45907,Natalie,Van Coevorden,AUS,23,00:19:46,00:01:51,01:06:18,00:00:26,00:36:50,19,02:05:09
309472,7757,Zsófia,Kovács,HUN,32,00:20:02,00:01:50,01:06:05,00:00:30,00:36:54,20,02:05:20
309472,72769,Claire,Michel,BEL,19,00:20:24,00:01:43,01:08:11,00:00:28,00:34:41,21,02:05:24
309472,5467,Vendula,Frintova,CZE,20,00:20:07,00:01:48,01:08:24,00:00:27,00:35:30,22,02:06:15
309472,17285,Yuko,Takahashi,JPN,14,00:19:46,00:01:54,01:06:15,00:00:22,00:38:10,23,02:06:24
309472,21841,Simone,Ackermann,RSA,37,00:19:51,00:01:55,01:06:10,00:00:35,00:38:09,24,02:06:39
309472,31827,Anna,Godoy Contreras,ESP,40,00:20:21,00:01:44,01:08:14,00:00:27,00:36:49,25,02:07:34
309472,39687,Carolina,Routier,ESP,30,00:19:17,00:01:44,01:09:18,00:00:28,00:36:50,26,02:07:35
309472,25951,Kseniia,Levkovska,AZE,45,00:20:20,00:01:53,01:08:43,00:00:27,00:36:16,27,02:07:38
309472,46579,Anastasia,Abrosimova,RUS,39,00:20:08,00:01:48,01:08:24,00:00:23,00:37:06,28,02:07:48
309472,9345,Gillian,Sanders,RSA,24,00:21:15,00:01:48,01:07:55,00:00:23,00:36:34,29,02:07:53
309472,15747,Emma,Jackson,AUS,34,00:19:51,00:01:51,01:06:14,00:00:25,00:40:10,30,02:08:29
309472,94265,Valerie,Barthelemy,BEL,48,00:19:51,00:01:50,01:09:15,00:00:26,00:37:12,31,02:08:33
309472,12785,Juri,Ide,JPN,25,00:19:43,00:02:02,01:09:15,00:00:33,00:37:03,32,02:08:34
309472,14196,Mariya,Shorets,RUS,42,00:21:08,00:01:59,01:07:50,00:00:25,00:37:19,33,02:08:39
309472,85453,Renee,Tomlin,USA,17,00:20:21,00:01:43,01:08:14,00:00:32,00:38:11,34,02:08:59
309472,6386,Aoi,Kuramoto,JPN,33,00:20:21,00:01:48,01:08:50,00:00:31,00:37:56,35,02:09:24
309472,7915,Long,Hoi,MAC,44,00:21:13,00:01:53,01:07:54,00:00:25,00:39:27,36,02:10:50
309472,39533,Leslie,Amat Alvarez,CUB,46,00:20:32,00:01:55,00:00:00,00:00:00,00:00:00,LAP,LAP
309472,5576,Ai,Ueda,JPN,9,00:21:17,00:01:54,00:00:00,00:00:00,00:00:00,LAP,LAP
309472,15946,Elena,Danilova,RUS,36,00:21:49,00:01:52,00:00:00,00:00:00,00:00:00,LAP,LAP
309472,42267,Kaidi,Kivioja,EST,38,00:22:30,00:01:51,00:00:00,00:00:00,00:00:00,LAP,LAP
309472,7525,Elizabeth,Bravo,ECU,41,00:22:02,00:01:52,00:00:00,00:00:00,00:00:00,LAP,LAP
309472,30090,Lindsey,Jerdonek,USA,35,00:20:23,00:01:51,01:08:45,00:00:26,00:00:00,DNF,DNF
309472,11879,Lisa,Perterer,AUT,22,00:21:14,00:01:51,01:07:52,00:00:31,00:00:00,DNF,DNF
309472,18721,Lucy,Hall,GBR,26,00:19:44,00:01:43,00:00:00,00:00:00,00:00:00,DNF,DNF
