program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
309471,11143,Vincent,Luis,FRA,12,00:18:52,00:01:31,01:00:33,00:00:32,00:29:59,1,01:51:26
309471,41322,Kristian,Blummenfelt,NOR,5,00:19:16,00:01:39,01:00:00,00:00:23,00:30:12,2,01:51:28
309471,11402,Mario,Mola,ESP,1,00:19:02,00:01:32,01:00:25,00:00:27,00:30:11,3,01:51:36
309471,5695,Javier,Gomez Noya,ESP,2,00:18:49,00:01:34,01:00:38,00:00:15,00:30:27,4,01:51:41
309471,11378,Jonathan,Brownlee,GBR,6,00:18:44,00:01:34,01:00:37,00:00:23,00:30:35,5,01:51:52
309471,16392,Richard,Murray,RSA,3,00:19:08,00:01:34,01:00:19,00:00:25,00:30:43,6,01:52:06
309471,30249,Pierre,Le Corre,FRA,9,00:18:47,00:01:41,01:00:35,00:00:24,00:31:06,7,01:52:31
309471,10536,Joao,Pereira,POR,28,00:19:03,00:01:32,01:00:28,00:00:25,00:31:05,8,01:52:32
309471,30058,Andreas,Schilling,DEN,14,00:19:05,00:01:41,01:00:10,00:00:24,00:31:16,9,01:52:33
309471,18719,Thomas,Bishop,GBR,8,00:19:00,00:01:39,01:00:19,00:00:28,00:31:10,10,01:52:34
309471,29442,Fernando,Alarza,ESP,4,00:18:52,00:01:40,01:00:35,00:00:30,00:31:17,11,01:52:52
309471,39908,Vicente,Hernandez,ESP,15,00:19:10,00:01:35,01:00:17,00:00:27,00:31:39,12,01:53:07
309471,40311,Marten,Van Riel,BEL,60,00:18:50,00:01:39,01:00:27,00:00:22,00:31:58,13,01:53:15
309471,10141,Aaron,Royle,AUS,18,00:18:43,00:01:41,01:00:38,00:00:25,00:32:18,14,01:53:43
309471,40710,Russell,White,IRL,37,00:18:56,00:01:35,01:00:26,00:00:23,00:32:35,15,01:53:53
309471,22327,Matthew,Sharpe,CAN,38,00:18:54,00:01:36,01:00:34,00:00:23,00:32:38,16,01:54:03
309471,24199,Eric,Lagerstrom,USA,48,00:18:55,00:01:33,01:00:34,00:00:23,00:32:48,17,01:54:12
309471,28500,Ryan,Bailie,AUS,41,00:19:03,00:01:42,01:00:16,00:00:27,00:32:55,18,01:54:21
309471,11092,Richard,Varga,SVK,20,00:18:36,00:01:41,01:00:46,00:00:26,00:32:56,19,01:54:23
309471,21622,Alois,Knabl,AUT,30,00:18:48,00:01:37,01:00:42,00:00:27,00:33:00,20,01:54:32
309471,11162,Rostislav,Pevtsov,AZE,24,00:19:28,00:01:43,01:02:08,00:00:26,00:30:54,21,01:54:37
309471,49277,Marc,Austin,GBR,26,00:19:03,00:01:38,01:00:28,00:00:21,00:33:28,22,01:54:56
309471,11818,Ryan,Sissons,NZL,7,00:19:27,00:01:36,01:02:14,00:00:31,00:31:14,23,01:54:59
309471,32470,Adam,Bowden,GBR,22,00:18:57,00:01:35,01:02:50,00:00:28,00:31:11,24,01:55:00
309471,15838,Lukas,Hollaus,AUT,25,00:19:29,00:01:39,01:02:10,00:00:27,00:31:20,25,01:55:02
309471,7747,Dmitry,Polyanskiy,RUS,32,00:18:40,00:01:42,01:03:01,00:00:25,00:31:22,26,01:55:09
309471,39836,Simon,Viain,FRA,16,00:19:25,00:01:37,01:02:15,00:00:40,00:31:33,27,01:55:28
309471,14190,Andrey,Bryukhankov,RUS,57,00:18:59,00:01:42,01:02:35,00:00:24,00:31:54,28,01:55:32
309471,7503,Crisanto,Grajales,MEX,19,00:19:23,00:01:42,01:02:16,00:00:32,00:31:52,29,01:55:43
309471,30282,Uxio,Abuin Ares,ESP,36,00:19:08,00:01:36,01:02:33,00:00:29,00:32:04,30,01:55:47
309471,64519,Henrik,Goesch,FIN,39,00:19:21,00:01:45,01:02:12,00:00:24,00:32:08,31,01:55:48
309471,6186,Irving,Perez,MEX,29,00:19:06,00:01:38,01:02:38,00:00:27,00:32:05,32,01:55:53
309471,76434,Casper,Stornes,NOR,51,00:19:16,00:01:42,01:02:21,00:00:41,00:31:57,33,01:55:54
309471,14181,Igor,Polyanskiy,RUS,21,00:18:45,00:01:46,01:02:43,00:00:27,00:32:26,34,01:56:05
309471,41276,Marco,Van Der Stel,NED,35,00:19:00,00:01:37,01:00:21,00:00:24,00:34:53,35,01:56:13
309471,11333,Ivan,Ivanov,UKR,54,00:19:28,00:01:42,01:02:11,00:00:35,00:32:26,36,01:56:19
309471,18442,Peter,Denteneer,BEL,53,00:18:47,00:01:39,01:02:50,00:00:22,00:32:48,37,01:56:24
309471,7742,Miguel,Arraiolos,POR,46,00:19:29,00:01:37,01:02:12,00:00:26,00:32:53,38,01:56:36
309471,5742,Yuichi,Hosoda,JPN,49,00:19:28,00:01:46,01:02:13,00:00:26,00:33:07,39,01:56:58
309471,25528,Christophe,De Keyser,BEL,42,00:19:29,00:01:36,01:02:23,00:00:25,00:33:13,40,01:57:04
309471,6707,Jan,Celustka,CZE,40,00:19:23,00:01:38,01:02:14,00:00:24,00:33:31,41,01:57:08
309471,17043,Ben,Kanute,USA,31,00:18:55,00:01:32,01:00:32,00:00:23,00:35:49,42,01:57:10
309471,88417,Eder,Mejia Muñoz,MEX,44,00:18:53,00:01:47,01:02:40,00:00:26,00:33:49,43,01:57:33
