program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
309373,11378,Jonathan,Brownlee,GBR,4,00:17:53,00:00:49,00:59:18,00:00:27,00:30:45,1,01:49:10
309373,41322,Kristian,Blummenfelt,NOR,3,00:18:30,00:00:48,00:59:34,00:00:33,00:30:04,2,01:49:28
309373,30249,Pierre,Le Corre,FRA,9,00:18:06,00:00:52,00:59:56,00:00:28,00:30:09,3,01:49:28
309373,11818,Ryan,Sissons,NZL,7,00:18:28,00:00:46,00:59:39,00:00:29,00:30:12,4,01:49:33
309373,41060,Justus,Nieschlag,GER,30,00:18:04,00:00:47,00:59:08,00:00:26,00:31:13,5,01:49:36
309373,18719,Thomas,Bishop,GBR,5,00:18:25,00:00:51,00:59:40,00:00:31,00:30:15,6,01:49:39
309373,11402,Mario,Mola,ESP,1,00:18:33,00:00:47,00:59:35,00:00:28,00:30:26,7,01:49:48
309373,10141,Aaron,Royle,AUS,15,00:17:56,00:00:50,00:59:14,00:00:28,00:31:48,8,01:50:14
309373,30058,Andreas,Schilling,DEN,11,00:18:37,00:00:53,00:59:24,00:00:31,00:31:04,9,01:50:26
309373,30579,Wian,Sullwald,RSA,21,00:18:09,00:00:49,00:59:57,00:00:29,00:31:18,10,01:50:40
309373,63162,Léo,Bergere,FRA,19,00:18:34,00:00:55,00:59:22,00:00:27,00:31:26,11,01:50:43
309373,39836,Simon,Viain,FRA,20,00:18:51,00:00:51,01:00:02,00:00:29,00:30:40,12,01:50:51
309373,32470,Adam,Bowden,GBR,16,00:18:16,00:00:49,00:59:50,00:00:28,00:31:35,13,01:50:56
309373,11315,Andrea,Salvisberg,SUI,17,00:17:58,00:00:50,00:59:11,00:00:30,00:32:47,14,01:51:14
309373,67535,Jonas,Schomburg,GER,23,00:18:02,00:00:50,00:59:09,00:00:29,00:32:57,15,01:51:25
309373,39908,Vicente,Hernandez,ESP,8,00:18:39,00:00:57,01:00:10,00:00:31,00:31:25,16,01:51:41
309373,49390,Dorian,Coninx,FRA,14,00:18:02,00:00:48,00:59:11,00:00:30,00:33:22,17,01:51:51
309373,47012,Jørgen,Gundersen,NOR,48,00:18:03,00:00:52,01:00:01,00:00:30,00:32:33,18,01:51:56
309373,21622,Alois,Knabl,AUT,24,00:18:07,00:00:52,01:00:46,00:00:28,00:31:46,19,01:51:58
309373,40710,Russell,White,IRL,28,00:18:29,00:00:48,00:59:23,00:00:29,00:32:50,20,01:51:58
309373,41276,Marco,Van Der Stel,NED,29,00:18:13,00:00:48,00:59:52,00:00:31,00:32:36,21,01:51:58
309373,58385,Sylvain,Fridelance,SUI,41,00:18:17,00:00:50,00:59:49,00:00:31,00:32:46,22,01:52:11
309373,56550,Adrien,Briffod,SUI,18,00:18:25,00:00:53,00:59:37,00:00:27,00:33:17,23,01:52:37
309373,7742,Miguel,Arraiolos,POR,33,00:18:45,00:00:49,01:00:13,00:00:28,00:32:38,24,01:52:50
309373,64519,Henrik,Goesch,FIN,31,00:18:42,00:00:53,01:00:11,00:00:33,00:32:42,25,01:52:59
309373,18417,Stefan,Zachäus,LUX,38,00:18:22,00:00:57,01:00:27,00:00:29,00:32:54,26,01:53:07
309373,6707,Jan,Celustka,CZE,34,00:18:40,00:00:53,01:00:15,00:00:31,00:32:59,27,01:53:15
309373,42996,Erwin,Vanderplancke,BEL,37,00:18:42,00:00:49,01:00:16,00:00:28,00:33:07,28,01:53:19
309373,45913,Marcel,Walkington,AUS,25,00:18:09,00:00:54,01:00:45,00:00:30,00:33:14,29,01:53:29
309373,71738,Gianluca,Pozzatti,ITA,42,00:18:11,00:00:53,00:59:51,00:00:28,00:34:27,30,01:53:47
309373,7503,Crisanto,Grajales,MEX,10,00:18:51,00:00:54,01:02:38,00:00:30,00:31:30,31,01:54:21
309373,72784,Gabriel,Sandör,SWE,52,00:18:41,00:00:53,01:00:10,00:00:30,00:34:14,32,01:54:27
309373,30485,Bob,Haller,LUX,35,00:18:51,00:00:53,01:00:00,00:00:29,00:34:40,33,01:54:51
309373,6899,Ákos,Vanek,HUN,46,00:18:23,00:00:54,00:59:37,00:00:30,00:35:38,34,01:55:00
309373,95497,Oscar,Coggins,HKG,53,00:18:44,00:00:53,01:00:11,00:00:33,00:34:50,35,01:55:09
309373,51350,Jorik,Van Egdom,NED,43,00:19:12,00:00:51,01:02:21,00:00:30,00:32:19,36,01:55:11
309373,46686,Sam,Ward,NZL,39,00:18:47,00:00:53,01:02:44,00:00:31,00:32:23,37,01:55:16
309373,47796,Ilya,Prasolov,RUS,32,00:18:48,00:00:57,01:02:37,00:00:29,00:32:46,38,01:55:35
309373,55685,Itamar,Alster,ISR,55,00:18:44,00:00:49,01:00:13,00:00:31,00:35:25,39,01:55:41
309373,49022,Menno,Koolhaas,NED,45,00:18:48,00:00:53,01:02:42,00:00:28,00:33:08,40,01:55:58
309373,88417,Eder,Mejia Muñoz,MEX,40,00:18:33,00:01:03,01:02:49,00:00:31,00:33:22,41,01:56:16
309373,18576,Aleksandr,Latin,EST,47,00:18:47,00:00:54,01:02:45,00:00:30,00:33:30,42,01:56:23
309373,11293,Denis,Vasiliev,RUS,50,00:18:43,00:00:55,01:02:46,00:00:27,00:34:11,43,01:57:00
309373,18442,Peter,Denteneer,BEL,36,00:18:11,00:00:52,01:03:21,00:00:31,00:34:19,44,01:57:11
309373,49277,Marc,Austin,GBR,22,00:18:06,00:00:55,00:00:00,00:00:00,00:00:00,LAP,LAP
309373,51203,Andrey,Moiseenko,RUS,54,00:20:47,00:00:56,00:00:00,00:00:00,00:00:00,LAP,LAP
309373,29442,Fernando,Alarza,ESP,2,00:18:05,00:00:48,00:00:00,00:00:00,00:00:00,DNF,DNF
309373,30433,Henri,Schoeman,RSA,6,00:17:57,00:01:13,00:59:43,00:00:28,00:00:00,DNF,DNF
309373,11092,Richard,Varga,SVK,12,00:17:51,00:00:56,00:00:00,00:00:00,00:00:00,DNF,DNF
309373,25528,Christophe,De Keyser,BEL,27,00:18:30,00:00:48,00:00:00,00:00:00,00:00:00,DNF,DNF
309373,92397,Brandon,Copeland,AUS,44,00:18:33,00:00:54,00:00:00,00:00:00,00:00:00,DNF,DNF
309373,64938,Matevž,Planko,SLO,51,00:18:48,00:00:50,00:00:00,00:00:00,00:00:00,DNF,DNF
309373,20148,Viacheslav,Vasilev,RUS,56,00:20:35,00:00:58,00:00:00,00:00:00,00:00:00,DNF,DNF
