program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
309382,5695,Javier,Gomez Noya,ESP,3,1026,54,3504,31,00:30:56,1,6470
309382,41322,Kristian,Blummenfelt,NOR,6,1027,57,3499,28,00:31:16,2,6485
309382,16392,Richard,Murray,RSA,4,1074,55,3512,32,00:30:51,3,6522
309382,11378,Jonathan,Brownlee,GBR,7,1012,58,3514,32,00:32:10,4,6544
309382,49385,Raphael,Montoya,FRA,12,1020,59,3561,33,00:31:19,5,6551
309382,39974,Jelle,Geens,BEL,34,1046,56,3540,30,00:31:21,6,6551
309382,39836,Simon,Viain,FRA,31,1069,60,3514,31,00:31:32,7,6564
309382,11818,Ryan,Sissons,NZL,9,1062,57,3524,31,00:31:36,8,6569
309382,30249,Pierre,Le Corre,FRA,11,1019,59,3566,29,00:31:42,9,6573
309382,39908,Vicente,Hernandez,ESP,8,1052,59,3531,31,00:31:46,10,6577
309382,7503,Crisanto,Grajales,MEX,15,1071,61,3514,32,00:31:45,11,6580
309382,10141,Aaron,Royle,AUS,21,1016,58,3511,30,00:32:49,12,6582
309382,11092,Richard,Varga,SVK,17,1011,58,3515,33,00:33:01,13,6597
309382,11402,Mario,Mola,ESP,1,1066,56,3520,31,00:32:10,14,6600
309382,41870,Shachar,Sagiv,ISR,23,1068,55,3516,28,00:32:14,15,6601
309382,49390,Dorian,Coninx,FRA,18,1020,57,3564,28,00:32:21,16,6609
309382,55495,Luke,Willian,AUS,19,1057,57,3530,32,00:32:16,17,6610
309382,47188,Gordon,Benson,GBR,25,1042,61,3540,37,00:32:17,18,6615
309382,30058,Andreas,Schilling,DEN,10,1063,60,3508,32,00:32:36,19,6617
309382,67535,Jonas,Schomburg,GER,29,1028,58,3559,31,00:32:27,20,6621
309382,15838,Lukas,Hollaus,AUT,22,1077,62,3509,31,00:32:25,21,6622
309382,12814,Tony,Dodds,NZL,16,1040,59,3547,33,00:32:29,22,6626
309382,17043,Ben,Kanute,USA,24,1014,64,3506,29,00:33:36,23,6627
309382,40710,Russell,White,IRL,36,1048,57,3537,32,00:32:45,24,6636
309382,47630,Gustav,Iden,NOR,33,1082,59,3501,29,00:32:48,25,6637
309382,6186,Irving,Perez,MEX,30,1029,56,3561,33,00:32:43,26,6640
309382,56550,Adrien,Briffod,SUI,20,1059,56,3530,29,00:33:31,27,6683
309382,22522,David,Mendoza,MEX,41,1066,60,3520,38,00:33:40,28,6703
309382,55820,Alexis,Lepage,CAN,47,1033,56,3555,35,00:33:51,29,6708
309382,7747,Dmitry,Polyanskiy,RUS,32,1044,59,3546,36,00:33:55,30,6719
309382,29442,Fernando,Alarza,ESP,2,1078,62,3617,30,00:32:18,31,6723
309382,31810,Jumpei,Furuya,JPN,38,1049,56,3542,33,00:34:16,32,6735
309382,49411,Tyler,Mislawchuk,CAN,42,1030,56,3559,32,00:34:25,33,6740
309382,76425,Seth,Rider,USA,50,1017,59,3508,32,00:35:58,34,6772
309382,63982,Makoto,Odakura,JPN,39,1038,66,3543,38,00:35:10,35,6793
309382,50736,Shiruba,Taniguchi,JPN,43,1069,57,3523,34,00:35:39,36,6819
309382,80947,Hunter,Lussi,USA,51,1069,68,3513,38,00:35:39,37,6824
309382,10536,Joao,Pereira,POR,14,1035,64,3548,32,00:36:01,38,6838
309382,39827,Shogo,Ishitsuka,JPN,46,1026,60,3563,32,00:36:05,39,6843
309382,45915,Jacob,Birtwhistle,AUS,5,1080,58,3546,30,00:36:43,40,6915
309382,51605,Ryousuke,Maeda,JPN,44,1025,57,3561,33,00:43:52,41,7307
