program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
307174,6783,Andrea,Hewitt,NZL,1,593,43,1833,19,00:16:37,1,3483
307174,15744,Ashleigh,Gentle,AUS,21,600,43,1828,21,00:16:37,2,3487
307174,12785,Juri,Ide,JPN,28,602,44,1827,20,00:16:41,3,3492
307174,68698,Katie,Zaferes,USA,6,578,43,1849,22,00:16:49,4,3500
307174,85453,Renee,Tomlin,USA,17,605,42,1825,23,00:16:48,5,3501
307174,10077,Charlotte,McShane,AUS,11,590,41,1840,19,00:16:54,6,3502
307174,89532,Kirsten,Kasper,USA,12,582,42,1846,24,00:16:52,7,3504
307174,5576,Ai,Ueda,JPN,4,611,41,1819,20,00:17:02,8,3511
307174,9345,Gillian,Sanders,RSA,15,612,42,1820,22,00:17:02,9,3517
307174,5467,Vendula,Frintova,CZE,10,589,42,1841,19,00:17:09,10,3518
307174,64952,Emma,Jeffcoat,AUS,23,573,43,1854,22,00:17:10,11,3519
307174,83096,Summer,Rappaport,USA,18,568,45,1862,21,00:17:05,12,3520
307174,81334,Taylor,Spivey,USA,24,579,42,1848,22,00:17:12,13,3521
307174,11879,Lisa,Perterer,AUT,7,606,39,1827,23,00:17:10,14,3523
307174,39450,Gillian,Backhouse,AUS,5,577,42,1849,20,00:17:19,15,3525
307174,11385,Jodie,Stimpson,GBR,2,593,40,1838,23,00:17:14,16,3526
307174,7646,Claudia,Rivas,MEX,31,592,42,1838,26,00:17:17,17,3533
307174,58503,Yurie,Kato,JPN,27,605,41,1828,21,00:17:21,18,3534
307174,7730,Rebecca,Spence,NZL,9,611,43,1819,24,00:17:33,19,3548
307174,45907,Natalie,Van Coevorden,AUS,40,587,42,1842,23,00:17:43,20,3556
307174,17285,Yuko,Takahashi,JPN,8,581,45,1846,20,00:17:47,21,3557
307174,29235,Joanna,Brown,CAN,30,588,42,1842,23,00:17:56,22,3569
307174,39179,Tamsyn,Moana-Veale,AUS,43,590,41,1844,23,00:17:59,23,3575
307174,25176,Cecilia,Perez,MEX,38,589,45,1840,22,00:18:11,24,3586
307174,22170,Rachel,Klamer,NED,3,588,44,1841,20,00:18:16,25,3586
307174,21841,Simone,Ackermann,RSA,32,591,42,1840,23,00:18:30,26,3604
307174,54913,Jaz,Hedgeland,AUS,29,580,40,1853,21,00:18:38,27,3610
307174,21847,Sophie,Corbidge,NZL,42,607,41,1826,22,00:19:14,28,3648
307174,7757,Zsófia,Kovács,HUN,33,592,43,1944,24,00:18:16,29,3698
307174,64750,Nicole,Van Der Kaay,NZL,34,601,40,1929,22,00:18:33,30,3704
307174,18592,Yuka,Sato,JPN,25,594,49,1932,22,00:18:35,31,3710
307174,72769,Claire,Michel,BEL,26,605,46,2018,24,00:17:02,32,3714
307174,39485,Elise,Salt,NZL,37,610,42,1926,22,00:19:00,33,3739
307174,6246,Sarah,True,USA,20,570,43,2057,24,00:18:04,34,3777
307174,106450,Sena,Takahashi,JPN,35,596,44,2030,24,00:18:06,35,3778
307174,39687,Carolina,Routier,ESP,19,566,43,2061,22,00:18:11,36,3782
307174,6386,Aoi,Kuramoto,JPN,16,594,43,2031,23,00:18:36,37,3805
307174,17348,Yun-Jung,Jang,KOR,45,604,43,2025,23,00:19:16,38,3849
307174,21852,Deborah,Lynch,NZL,36,613,41,2057,21,00:18:56,39,3865
307174,7915,Long,Hoi,MAC,44,628,43,2095,22,00:19:03,40,3929
307174,83987,Sukhyeon,Choi,KOR,46,610,42,2127,25,00:19:24,41,3966
