program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
307249,7776,Flora,Duffy,BER,9,1073,72,3747,28,00:35:04,1,7022
307249,81334,Taylor,Spivey,USA,16,1075,70,3749,29,00:36:32,2,7112
307249,39683,Alice,Betto,ITA,17,1072,72,3749,28,00:37:37,3,7176
307249,89532,Kirsten,Kasper,USA,1,1073,72,3898,26,00:36:06,4,7233
307249,5576,Ai,Ueda,JPN,4,1157,73,3897,25,00:35:10,5,7259
307249,78775,Jessica,Learmonth,GBR,15,1067,69,3909,28,00:36:35,6,7266
307249,39450,Gillian,Backhouse,AUS,3,1112,74,3858,30,00:36:35,7,7266
307249,15744,Ashleigh,Gentle,AUS,2,1145,75,3909,30,00:35:44,8,7300
307249,10077,Charlotte,McShane,AUS,5,1140,72,3917,26,00:35:58,9,7310
307249,12785,Juri,Ide,JPN,10,1078,77,3891,29,00:37:19,10,7313
307249,31438,Non,Stanford,GBR,14,1125,74,3846,31,00:37:23,11,7317
307249,45907,Natalie,Van Coevorden,AUS,12,1081,74,3891,31,00:37:38,12,7333
307249,18592,Yuka,Sato,JPN,18,1150,72,3909,27,00:36:42,13,7358
307249,55701,Maya,Kingma,NED,36,1068,75,3748,32,00:40:46,14,7367
307249,17285,Yuko,Takahashi,JPN,6,1138,74,3914,26,00:37:15,15,7385
307249,42267,Kaidi,Kivioja,EST,31,1157,73,3898,26,00:37:42,16,7414
307249,70613,India,Lee,GBR,21,1143,74,3912,28,00:38:10,17,7446
307249,6386,Aoi,Kuramoto,JPN,23,1146,73,3910,31,00:39:10,18,7508
307249,21841,Simone,Ackermann,RSA,22,1142,75,3913,29,00:40:37,19,7594
307249,70028,Minami,Kubono,JPN,27,1146,74,3910,29,00:41:16,20,7634
307249,47942,Melanie,Santos,POR,34,1113,78,3980,53,00:41:20,21,7703
