program_id,athlete_id,athlete_name,nationality,start_number,swim,t1,bike,after_b,t2,run,total_time,athlete_first,athlete_last,position
307248,7788,Alistair Brownlee,GBR,28,998,64,3443,4505,25,1883,6411,Alistair,Brownlee,1
307248,11378,Jonathan Brownlee,GBR,26,994,66,3446,4506,25,1895,6423,Jonathan,Brownlee,2
307248,29442,Fernando Alarza,ESP,1,1007,65,3509,4581,25,1844,6448,Fernando,Alarza,3
307248,32470,Adam Bowden,GBR,19,1004,67,3509,4580,25,1857,6461,Adam,Bowden,4
307248,18719,Thomas Bishop,GBR,3,1012,68,3500,4580,26,1866,6470,Thomas,Bishop,5
307248,41322,Kristian Blummenfelt,NOR,5,1007,64,3507,4578,25,1886,6486,Kristian,Blummenfelt,6
307248,10539,Joao Silva,POR,18,1012,62,3508,4582,27,1931,6538,Joao,Silva,7
307248,30249,Pierre Le Corre,FRA,29,994,65,3521,4580,26,1934,6538,Pierre,Le Corre,8
307248,39908,Vicente Hernandez,ESP,11,1015,66,3499,4580,28,1937,6544,Vicente,Hernandez,9
307248,11143,Vincent Luis,FRA,6,1013,65,3501,4579,27,1948,6552,Vincent,Luis,10
307248,11092,Richard Varga,SVK,14,993,70,3518,4581,26,1954,6559,Richard,Varga,11
307248,10141,Aaron Royle,AUS,27,1000,66,3513,4579,25,1966,6568,Aaron,Royle,12
307248,49277,Marc Austin,GBR,16,1007,70,3506,4583,25,1973,6579,Marc,Austin,13
307248,67535,Jonas Schomburg,GER,31,1010,63,3509,4582,24,1986,6590,Jonas,Schomburg,14
307248,49390,Dorian Coninx,FRA,33,1015,67,3496,4578,23,2004,6604,Dorian,Coninx,15
307248,7503,Crisanto Grajales,MEX,7,1035,68,3563,4666,28,1920,6612,Crisanto,Grajales,16
307248,7702,Aurelien Raphael,FRA,30,996,64,3522,4582,25,2010,6616,Aurelien,Raphael,17
307248,63428,Antonio Serrat Seoane,ESP,36,1033,67,3569,4669,26,1931,6624,Antonio,Serrat Seoane,18
307248,64519,Henrik Goesch,FIN,24,1033,69,3558,4660,29,1963,6650,Henrik,Goesch,19
307248,45919,Declan Wilson,AUS,15,1017,65,3496,4578,24,2065,6665,Declan,Wilson,20
307248,6707,Jan Celustka,CZE,39,1034,68,3553,4655,27,2013,6693,Jan,Celustka,21
307248,25528,Christophe De Keyser,BEL,20,1037,71,3552,4660,24,2016,6697,Christophe,De Keyser,22
307248,40710,Russell White,IRL,38,1009,63,3586,4658,27,2029,6712,Russell,White,23
307248,30058,Andreas Schilling,DEN,8,1012,68,3575,4655,28,2038,6718,Andreas,Schilling,24
307248,7742,Miguel Arraiolos,POR,25,1068,68,3624,4760,24,1949,6730,Miguel,Arraiolos,25
307248,18442,Peter Denteneer,BEL,43,1003,67,3590,4660,25,2053,6736,Peter,Denteneer,26
307248,80630,Jason West,USA,40,1085,74,3604,4763,29,1979,6768,Jason,West,27
307248,47188,Gordon Benson,GBR,12,1030,69,3556,4655,30,2089,6772,Gordon,Benson,28
307248,76434,Casper Stornes,NOR,45,1040,78,3640,4758,29,1992,6778,Casper,Stornes,29
307248,11315,Andrea Salvisberg,SUI,4,1013,71,3578,4662,31,2106,6797,Andrea,Salvisberg,30
307248,9919,Danilo Pimentel,BRA,37,1075,78,3609,4762,26,2020,6806,Danilo,Pimentel,31
307248,30633,Gregory Barnaby,ITA,42,1067,69,3623,4759,25,2029,6811,Gregory,Barnaby,32
307248,5742,Yuichi Hosoda,JPN,23,1029,73,3567,4669,28,2123,6817,Yuichi,Hosoda,33
307248,10100,Drew Box,AUS,21,998,70,3516,4584,25,2224,6830,Drew,Box,34
307248,10166,Simon De Cuyper,BEL,34,1084,73,3602,4759,23,2068,6847,Simon,De Cuyper,35
307248,55788,David Luis,POR,47,1003,66,3667,4736,26,2092,6851,David,Luis,36
307248,45913,Marcel Walkington,AUS,10,1005,67,3601,4673,30,2169,6870,Marcel,Walkington,37
307248,46198,Eli Hemming,USA,35,1030,70,3568,4668,27,2258,6950,Eli,Hemming,38
307248,32766,Matthias Steinwandter,ITA,41,1086,68,3732,4886,26,2056,6966,Matthias,Steinwandter,39
307248,12749,Ji Hwan Kim,KOR,22,1082,67,3612,4761,28,2229,7017,Ji Hwan,Kim,40
307248,95497,Oscar Coggins,HKG,48,1066,72,3623,4761,34,2276,7069,Oscar,Coggins,41
