program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
309472,7776,Flora,Duffy,BER,1,1154,104,3820,28,00:33:36,1,7119
309472,68698,Katie,Zaferes,USA,4,1161,98,3821,23,00:34:34,2,7174
309472,78775,Jessica,Learmonth,GBR,8,1153,103,3823,30,00:35:50,3,7257
309472,89532,Kirsten,Kasper,USA,5,1178,106,3884,24,00:34:58,4,7289
309472,29235,Joanna,Brown,CAN,7,1183,103,3882,29,00:35:12,5,7307
309472,15744,Ashleigh,Gentle,AUS,2,1204,107,3963,14,00:33:54,6,7320
309472,22170,Rachel,Klamer,NED,6,1179,109,3880,28,00:35:34,7,7329
309472,11385,Jodie,Stimpson,GBR,27,1181,107,3880,23,00:35:52,8,7340
309472,83096,Summer,Rappaport,USA,16,1163,111,3899,25,00:35:55,9,7350
309472,45790,Jolanda,Annen,SUI,10,1204,106,3963,26,00:34:27,10,7363
309472,6783,Andrea,Hewitt,NZL,3,1187,110,3975,25,00:34:49,11,7385
309472,39683,Alice,Betto,ITA,18,1180,109,3879,28,00:36:37,12,7392
309472,5372,Nicola,Spirig,SUI,49,1208,107,3957,23,00:35:10,13,7403
309472,39450,Gillian,Backhouse,AUS,15,1206,106,3962,25,00:35:14,14,7411
309472,10077,Charlotte,McShane,AUS,12,1198,110,3966,24,00:35:28,15,7424
309472,81334,Taylor,Spivey,USA,11,1159,109,3901,27,00:37:26,16,7441
309472,70413,Laura,Lindemann,GER,29,1197,114,3963,28,00:36:05,17,7464
309472,18592,Yuka,Sato,JPN,21,1207,107,3962,27,00:36:29,18,7489
309472,45907,Natalie,Van Coevorden,AUS,23,1186,111,3978,26,00:36:50,19,7509
309472,7757,Zsófia,Kovács,HUN,32,1202,110,3965,30,00:36:54,20,7520
309472,72769,Claire,Michel,BEL,19,1224,103,4091,28,00:34:41,21,7524
309472,5467,Vendula,Frintova,CZE,20,1207,108,4104,27,00:35:30,22,7575
309472,17285,Yuko,Takahashi,JPN,14,1186,114,3975,22,00:38:10,23,7584
309472,21841,Simone,Ackermann,RSA,37,1191,115,3970,35,00:38:09,24,7599
309472,31827,Anna,Godoy Contreras,ESP,40,1221,104,4094,27,00:36:49,25,7654
309472,39687,Carolina,Routier,ESP,30,1157,104,4158,28,00:36:50,26,7655
309472,25951,Kseniia,Levkovska,AZE,45,1220,113,4123,27,00:36:16,27,7658
309472,46579,Anastasia,Abrosimova,RUS,39,1208,108,4104,23,00:37:06,28,7668
309472,9345,Gillian,Sanders,RSA,24,1275,108,4075,23,00:36:34,29,7673
309472,15747,Emma,Jackson,AUS,34,1191,111,3974,25,00:40:10,30,7709
309472,94265,Valerie,Barthelemy,BEL,48,1191,110,4155,26,00:37:12,31,7713
309472,12785,Juri,Ide,JPN,25,1183,122,4155,33,00:37:03,32,7714
309472,14196,Mariya,Shorets,RUS,42,1268,119,4070,25,00:37:19,33,7719
309472,85453,Renee,Tomlin,USA,17,1221,103,4094,32,00:38:11,34,7739
309472,6386,Aoi,Kuramoto,JPN,33,1221,108,4130,31,00:37:56,35,7764
309472,7915,Long,Hoi,MAC,44,1273,113,4074,25,00:39:27,36,7850
