program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
309471,11143,Vincent,Luis,FRA,12,1132,91,3633,32,00:29:59,1,6686
309471,41322,Kristian,Blummenfelt,NOR,5,1156,99,3600,23,00:30:12,2,6688
309471,11402,Mario,Mola,ESP,1,1142,92,3625,27,00:30:11,3,6696
309471,5695,Javier,Gomez Noya,ESP,2,1129,94,3638,15,00:30:27,4,6701
309471,11378,Jonathan,Brownlee,GBR,6,1124,94,3637,23,00:30:35,5,6712
309471,16392,Richard,Murray,RSA,3,1148,94,3619,25,00:30:43,6,6726
309471,30249,Pierre,Le Corre,FRA,9,1127,101,3635,24,00:31:06,7,6751
309471,10536,Joao,Pereira,POR,28,1143,92,3628,25,00:31:05,8,6752
309471,30058,Andreas,Schilling,DEN,14,1145,101,3610,24,00:31:16,9,6753
309471,18719,Thomas,Bishop,GBR,8,1140,99,3619,28,00:31:10,10,6754
309471,29442,Fernando,Alarza,ESP,4,1132,100,3635,30,00:31:17,11,6772
309471,39908,Vicente,Hernandez,ESP,15,1150,95,3617,27,00:31:39,12,6787
309471,40311,Marten,Van Riel,BEL,60,1130,99,3627,22,00:31:58,13,6795
309471,10141,Aaron,Royle,AUS,18,1123,101,3638,25,00:32:18,14,6823
309471,40710,Russell,White,IRL,37,1136,95,3626,23,00:32:35,15,6833
309471,22327,Matthew,Sharpe,CAN,38,1134,96,3634,23,00:32:38,16,6843
309471,24199,Eric,Lagerstrom,USA,48,1135,93,3634,23,00:32:48,17,6852
309471,28500,Ryan,Bailie,AUS,41,1143,102,3616,27,00:32:55,18,6861
309471,11092,Richard,Varga,SVK,20,1116,101,3646,26,00:32:56,19,6863
309471,21622,Alois,Knabl,AUT,30,1128,97,3642,27,00:33:00,20,6872
309471,11162,Rostislav,Pevtsov,AZE,24,1168,103,3728,26,00:30:54,21,6877
309471,49277,Marc,Austin,GBR,26,1143,98,3628,21,00:33:28,22,6896
309471,11818,Ryan,Sissons,NZL,7,1167,96,3734,31,00:31:14,23,6899
309471,32470,Adam,Bowden,GBR,22,1137,95,3770,28,00:31:11,24,6900
309471,15838,Lukas,Hollaus,AUT,25,1169,99,3730,27,00:31:20,25,6902
309471,7747,Dmitry,Polyanskiy,RUS,32,1120,102,3781,25,00:31:22,26,6909
309471,39836,Simon,Viain,FRA,16,1165,97,3735,40,00:31:33,27,6928
309471,14190,Andrey,Bryukhankov,RUS,57,1139,102,3755,24,00:31:54,28,6932
309471,7503,Crisanto,Grajales,MEX,19,1163,102,3736,32,00:31:52,29,6943
309471,30282,Uxio,Abuin Ares,ESP,36,1148,96,3753,29,00:32:04,30,6947
309471,64519,Henrik,Goesch,FIN,39,1161,105,3732,24,00:32:08,31,6948
309471,6186,Irving,Perez,MEX,29,1146,98,3758,27,00:32:05,32,6953
309471,76434,Casper,Stornes,NOR,51,1156,102,3741,41,00:31:57,33,6954
309471,14181,Igor,Polyanskiy,RUS,21,1125,106,3763,27,00:32:26,34,6965
309471,41276,Marco,Van Der Stel,NED,35,1140,97,3621,24,00:34:53,35,6973
309471,11333,Ivan,Ivanov,UKR,54,1168,102,3731,35,00:32:26,36,6979
309471,18442,Peter,Denteneer,BEL,53,1127,99,3770,22,00:32:48,37,6984
309471,7742,Miguel,Arraiolos,POR,46,1169,97,3732,26,00:32:53,38,6996
309471,5742,Yuichi,Hosoda,JPN,49,1168,106,3733,26,00:33:07,39,7018
309471,25528,Christophe,De Keyser,BEL,42,1169,96,3743,25,00:33:13,40,7024
309471,6707,Jan,Celustka,CZE,40,1163,98,3734,24,00:33:31,41,7028
309471,17043,Ben,Kanute,USA,31,1135,92,3632,23,00:35:49,42,7030
309471,88417,Eder,Mejia Muñoz,MEX,44,1133,107,3760,26,00:33:49,43,7053
309471,12749,Ji Hwan,Kim,KOR,50,1164,96,3747,24,00:34:04,44,7073
309471,31810,Jumpei,Furuya,JPN,34,1169,92,3735,28,00:34:33,45,7095
309471,9919,Danilo,Pimentel,BRA,55,1171,107,3768,26,00:33:59,46,7108
309471,41590,Jan,Volar,CZE,68,1174,102,3730,34,00:34:36,47,7113
309471,31992,Filipe,Azevedo,POR,62,1167,103,3733,27,00:35:01,48,7129
309471,51605,Ryousuke,Maeda,JPN,56,1159,103,3736,28,00:35:17,49,7141
309471,63982,Makoto,Odakura,JPN,45,1148,100,3757,28,00:35:35,50,7167
309471,11315,Andrea,Salvisberg,SUI,23,1131,95,3639,27,00:38:13,51,7184
309471,30433,Henri,Schoeman,RSA,11,1128,99,3777,27,00:36:06,52,7196
309471,30579,Wian,Sullwald,RSA,17,1139,94,3769,31,00:36:10,53,7201
309471,44608,Roee,Zuaretz,ISR,65,1229,102,3956,26,00:32:37,54,7268
309471,10842,Lawrence,Fanous,JOR,63,1170,106,3970,26,00:35:11,55,7381
