time,player1,player2,result
121,76434,41322,1
121,76434,47630,1
121,76434,11402,1
121,76434,12773,1
121,76434,29442,1
121,76434,49390,1
121,76434,30433,1
121,76434,28500,1
121,76434,7503,1
121,76434,46198,1
121,76434,30249,1
121,76434,39974,1
121,76434,63162,1
121,76434,30282,1
121,76434,15838,1
121,76434,30058,1
121,76434,18714,1
121,76434,11092,1
121,76434,10539,1
121,76434,40311,1
121,76434,11315,1
121,76434,40710,1
121,76434,49411,1
121,76434,10141,1
121,76434,41060,1
121,76434,55685,1
121,76434,11535,1
121,76434,6186,1
121,76434,41276,1
121,76434,78904,1
121,76434,10767,1
121,76434,63982,1
121,76434,17043,1
121,76434,67535,1
121,76434,47012,1
121,76434,46216,1
121,76434,9919,1
121,76434,69143,1
121,76434,81259,1
121,76434,18173,1
121,76434,22522,1
121,76434,55886,1
121,76434,11143,1
121,76434,16392,1
121,76434,11060,1
121,76434,30485,1
121,76434,39836,1
121,76434,31810,1
121,76434,41870,1
121,76434,31857,1
121,41322,47630,1
121,41322,11402,1
121,41322,12773,1
121,41322,29442,1
121,41322,49390,1
121,41322,30433,1
121,41322,28500,1
121,41322,7503,1
121,41322,46198,1
121,41322,30249,1
121,41322,39974,1
121,41322,63162,1
121,41322,30282,1
121,41322,15838,1
121,41322,30058,1
121,41322,18714,1
121,41322,11092,1
121,41322,10539,1
121,41322,40311,1
121,41322,11315,1
121,41322,40710,1
121,41322,49411,1
121,41322,10141,1
121,41322,41060,1
121,41322,55685,1
121,41322,11535,1
121,41322,6186,1
121,41322,41276,1
121,41322,78904,1
121,41322,10767,1
121,41322,63982,1
121,41322,17043,1
121,41322,67535,1
121,41322,47012,1
121,41322,46216,1
121,41322,9919,1
121,41322,69143,1
121,41322,81259,1
121,41322,18173,1
121,41322,22522,1
121,41322,55886,1
121,41322,11143,1
121,41322,16392,1
121,41322,11060,1
121,41322,30485,1
121,41322,39836,1
121,41322,31810,1
121,41322,41870,1
121,41322,31857,1
121,47630,11402,1
121,47630,12773,1
121,47630,29442,1
121,47630,49390,1
121,47630,30433,1
121,47630,28500,1
121,47630,7503,1
121,47630,46198,1
121,47630,30249,1
121,47630,39974,1
121,47630,63162,1
121,47630,30282,1
121,47630,15838,1
121,47630,30058,1
121,47630,18714,1
121,47630,11092,1
121,47630,10539,1
121,47630,40311,1
121,47630,11315,1
121,47630,40710,1
121,47630,49411,1
121,47630,10141,1
121,47630,41060,1
121,47630,55685,1
121,47630,11535,1
121,47630,6186,1
121,47630,41276,1
121,47630,78904,1
121,47630,10767,1
121,47630,63982,1
121,47630,17043,1
121,47630,67535,1
121,47630,47012,1
121,47630,46216,1
121,47630,9919,1
121,47630,69143,1
121,47630,81259,1
121,47630,18173,1
121,47630,22522,1
121,47630,55886,1
121,47630,11143,1
121,47630,16392,1
121,47630,11060,1
121,47630,30485,1
121,47630,39836,1
121,47630,31810,1
121,47630,41870,1
121,47630,31857,1
121,11402,12773,1
121,11402,29442,1
121,11402,49390,1
121,11402,30433,1
121,11402,28500,1
121,11402,7503,1
121,11402,46198,1
121,11402,30249,1
121,11402,39974,1
121,11402,63162,1
121,11402,30282,1
121,11402,15838,1
121,11402,30058,1
121,11402,18714,1
121,11402,11092,1
121,11402,10539,1
121,11402,40311,1
121,11402,11315,1
121,11402,40710,1
121,11402,49411,1
121,11402,10141,1
121,11402,41060,1
121,11402,55685,1
121,11402,11535,1
121,11402,6186,1
121,11402,41276,1
121,11402,78904,1
121,11402,10767,1
121,11402,63982,1
121,11402,17043,1
121,11402,67535,1
121,11402,47012,1
121,11402,46216,1
121,11402,9919,1
121,11402,69143,1
121,11402,81259,1
121,11402,18173,1
121,11402,22522,1
121,11402,55886,1
121,11402,11143,1
121,11402,16392,1
121,11402,11060,1
121,11402,30485,1
121,11402,39836,1
121,11402,31810,1
121,11402,41870,1
121,11402,31857,1
121,12773,29442,1
121,12773,49390,1
121,12773,30433,1
121,12773,28500,1
121,12773,7503,1
121,12773,46198,1
121,12773,30249,1
121,12773,39974,1
121,12773,63162,1
121,12773,30282,1
121,12773,15838,1
121,12773,30058,1
121,12773,18714,1
121,12773,11092,1
121,12773,10539,1
121,12773,40311,1
121,12773,11315,1
121,12773,40710,1
121,12773,49411,1
121,12773,10141,1
121,12773,41060,1
121,12773,55685,1
121,12773,11535,1
121,12773,6186,1
121,12773,41276,1
121,12773,78904,1
121,12773,10767,1
121,12773,63982,1
121,12773,17043,1
121,12773,67535,1
121,12773,47012,1
121,12773,46216,1
121,12773,9919,1
121,12773,69143,1
121,12773,81259,1
121,12773,18173,1
121,12773,22522,1
121,12773,55886,1
121,12773,11143,1
121,12773,16392,1
121,12773,11060,1
121,12773,30485,1
121,12773,39836,1
121,12773,31810,1
121,12773,41870,1
121,12773,31857,1
121,29442,49390,1
121,29442,30433,1
121,29442,28500,1
121,29442,7503,1
121,29442,46198,1
121,29442,30249,1
121,29442,39974,1
121,29442,63162,1
121,29442,30282,1
121,29442,15838,1
121,29442,30058,1
121,29442,18714,1
121,29442,11092,1
121,29442,10539,1
121,29442,40311,1
121,29442,11315,1
121,29442,40710,1
121,29442,49411,1
121,29442,10141,1
121,29442,41060,1
121,29442,55685,1
121,29442,11535,1
121,29442,6186,1
121,29442,41276,1
121,29442,78904,1
121,29442,10767,1
121,29442,63982,1
121,29442,17043,1
121,29442,67535,1
121,29442,47012,1
121,29442,46216,1
121,29442,9919,1
121,29442,69143,1
121,29442,81259,1
121,29442,18173,1
121,29442,22522,1
121,29442,55886,1
