time,player1,player2,result
126,15744,7795,1
126,15744,68698,1
126,15744,70413,1
126,15744,89532,1
126,15744,47942,1
126,15744,81334,1
126,15744,49545,1
126,15744,41158,1
126,15744,11385,1
126,15744,78775,1
126,15744,31438,1
126,15744,71982,1
126,15744,41079,1
126,15744,11879,1
126,15744,47631,1
126,15744,45907,1
126,15744,29235,1
126,15744,10077,1
126,15744,72769,1
126,15744,5576,1
126,15744,16368,1
126,15744,18592,1
126,15744,22170,1
126,15744,17285,1
126,15744,5467,1
126,15744,50760,1
126,15744,55701,1
126,15744,12785,1
126,15744,81882,1
126,15744,64952,1
126,15744,7646,1
126,15744,6150,1
126,15744,46579,1
126,15744,47782,1
126,15744,6783,1
126,15744,94265,1
126,15744,17670,1
126,15744,15946,1
126,15744,57913,1
126,15744,83096,1
126,15744,75945,1
126,15744,40201,1
126,15744,82885,1
126,15744,9345,1
126,15744,25951,1
126,15744,49078,1
126,15744,21852,1
126,15744,8609,1
126,15744,39450,1
126,15744,92569,1
126,15744,7915,1
126,15744,56490,1
126,15744,16889,1
126,15744,39683,1
126,15744,31827,1
126,15744,7730,1
126,7795,68698,1
126,7795,70413,1
126,7795,89532,1
126,7795,47942,1
126,7795,81334,1
126,7795,49545,1
126,7795,41158,1
126,7795,11385,1
126,7795,78775,1
126,7795,31438,1
126,7795,71982,1
126,7795,41079,1
126,7795,11879,1
126,7795,47631,1
126,7795,45907,1
126,7795,29235,1
126,7795,10077,1
126,7795,72769,1
126,7795,5576,1
126,7795,16368,1
126,7795,18592,1
126,7795,22170,1
126,7795,17285,1
126,7795,5467,1
126,7795,50760,1
126,7795,55701,1
126,7795,12785,1
126,7795,81882,1
126,7795,64952,1
126,7795,7646,1
126,7795,6150,1
126,7795,46579,1
126,7795,47782,1
126,7795,6783,1
126,7795,94265,1
126,7795,17670,1
126,7795,15946,1
126,7795,57913,1
126,7795,83096,1
126,7795,75945,1
126,7795,40201,1
126,7795,82885,1
126,7795,9345,1
126,7795,25951,1
126,7795,49078,1
126,7795,21852,1
126,7795,8609,1
126,7795,39450,1
126,7795,92569,1
126,7795,7915,1
126,7795,56490,1
126,7795,16889,1
126,7795,39683,1
126,7795,31827,1
126,7795,7730,1
126,68698,70413,1
126,68698,89532,1
126,68698,47942,1
126,68698,81334,1
126,68698,49545,1
126,68698,41158,1
126,68698,11385,1
126,68698,78775,1
126,68698,31438,1
126,68698,71982,1
126,68698,41079,1
126,68698,11879,1
126,68698,47631,1
126,68698,45907,1
126,68698,29235,1
126,68698,10077,1
126,68698,72769,1
126,68698,5576,1
126,68698,16368,1
126,68698,18592,1
126,68698,22170,1
126,68698,17285,1
126,68698,5467,1
126,68698,50760,1
126,68698,55701,1
126,68698,12785,1
126,68698,81882,1
126,68698,64952,1
126,68698,7646,1
126,68698,6150,1
126,68698,46579,1
126,68698,47782,1
126,68698,6783,1
126,68698,94265,1
126,68698,17670,1
126,68698,15946,1
126,68698,57913,1
126,68698,83096,1
126,68698,75945,1
126,68698,40201,1
126,68698,82885,1
126,68698,9345,1
126,68698,25951,1
126,68698,49078,1
126,68698,21852,1
126,68698,8609,1
126,68698,39450,1
126,68698,92569,1
126,68698,7915,1
126,68698,56490,1
126,68698,16889,1
126,68698,39683,1
126,68698,31827,1
126,68698,7730,1
126,70413,89532,1
126,70413,47942,1
126,70413,81334,1
126,70413,49545,1
126,70413,41158,1
126,70413,11385,1
126,70413,78775,1
126,70413,31438,1
126,70413,71982,1
126,70413,41079,1
126,70413,11879,1
126,70413,47631,1
126,70413,45907,1
126,70413,29235,1
126,70413,10077,1
126,70413,72769,1
126,70413,5576,1
126,70413,16368,1
126,70413,18592,1
126,70413,22170,1
126,70413,17285,1
126,70413,5467,1
126,70413,50760,1
126,70413,55701,1
126,70413,12785,1
126,70413,81882,1
126,70413,64952,1
126,70413,7646,1
126,70413,6150,1
126,70413,46579,1
126,70413,47782,1
126,70413,6783,1
126,70413,94265,1
126,70413,17670,1
126,70413,15946,1
126,70413,57913,1
126,70413,83096,1
126,70413,75945,1
126,70413,40201,1
126,70413,82885,1
126,70413,9345,1
126,70413,25951,1
126,70413,49078,1
126,70413,21852,1
126,70413,8609,1
126,70413,39450,1
126,70413,92569,1
126,70413,7915,1
126,70413,56490,1
126,70413,16889,1
126,70413,39683,1
126,70413,31827,1
126,70413,7730,1
126,89532,47942,1
126,89532,81334,1
126,89532,49545,1
126,89532,41158,1
126,89532,11385,1
126,89532,78775,1
126,89532,31438,1
126,89532,71982,1
126,89532,41079,1
126,89532,11879,1
126,89532,47631,1
126,89532,45907,1
126,89532,29235,1
126,89532,10077,1
126,89532,72769,1
126,89532,5576,1
126,89532,16368,1
126,89532,18592,1
126,89532,22170,1
126,89532,17285,1
126,89532,5467,1
126,89532,50760,1
126,89532,55701,1
126,89532,12785,1
126,89532,81882,1
126,89532,64952,1
126,89532,7646,1
126,89532,6150,1
126,89532,46579,1
126,89532,47782,1
126,89532,6783,1
126,89532,94265,1
126,89532,17670,1
126,89532,15946,1
126,89532,57913,1
126,89532,83096,1
126,89532,75945,1
126,89532,40201,1
126,89532,82885,1
126,89532,9345,1
126,89532,25951,1
126,89532,49078,1
126,89532,21852,1
126,89532,8609,1
126,89532,39450,1
126,89532,92569,1
126,89532,7915,1
126,89532,56490,1
126,89532,16889,1
126,89532,39683,1
126,89532,31827,1
126,89532,7730,1
126,47942,81334,1
126,47942,49545,1
126,47942,41158,1
126,47942,11385,1
126,47942,78775,1
126,47942,31438,1
126,47942,71982,1
126,47942,41079,1
126,47942,11879,1
126,47942,47631,1
126,47942,45907,1
126,47942,29235,1
126,47942,10077,1
126,47942,72769,1
126,47942,5576,1
126,47942,16368,1
126,47942,18592,1
126,47942,22170,1
126,47942,17285,1
126,47942,5467,1
126,47942,50760,1
126,47942,55701,1
126,47942,12785,1
126,47942,81882,1
126,47942,64952,1
126,47942,7646,1
126,47942,6150,1
126,47942,46579,1
126,47942,47782,1
126,47942,6783,1
126,47942,94265,1
126,47942,17670,1
126,47942,15946,1
126,47942,57913,1
126,47942,83096,1
126,47942,75945,1
126,47942,40201,1
126,47942,82885,1
126,47942,9345,1
126,47942,25951,1
126,47942,49078,1
126,47942,21852,1
126,47942,8609,1
126,47942,39450,1
126,47942,92569,1
126,47942,7915,1
126,47942,56490,1
126,47942,16889,1
126,47942,39683,1
126,47942,31827,1
126,47942,7730,1
126,81334,49545,1
126,81334,41158,1
126,81334,11385,1
126,81334,78775,1
126,81334,31438,1
126,81334,71982,1
126,81334,41079,1
126,81334,11879,1
126,81334,47631,1
126,81334,45907,1
126,81334,29235,1
126,81334,10077,1
126,81334,72769,1
126,81334,5576,1
126,81334,16368,1
126,81334,18592,1
126,81334,22170,1
126,81334,17285,1
126,81334,5467,1
126,81334,50760,1
126,81334,55701,1
126,81334,12785,1
126,81334,81882,1
126,81334,64952,1
126,81334,7646,1
126,81334,6150,1
126,81334,46579,1
126,81334,47782,1
126,81334,6783,1
126,81334,94265,1
126,81334,17670,1
126,81334,15946,1
126,81334,57913,1
126,81334,83096,1
126,81334,75945,1
126,81334,40201,1
126,81334,82885,1
126,81334,9345,1
126,81334,25951,1
126,81334,49078,1
126,81334,21852,1
126,81334,8609,1
126,81334,39450,1
126,81334,92569,1
126,81334,7915,1
126,81334,56490,1
126,81334,16889,1
126,81334,39683,1
126,81334,31827,1
126,81334,7730,1
126,49545,41158,1
126,49545,11385,1
126,49545,78775,1
126,49545,31438,1
126,49545,71982,1
126,49545,41079,1
126,49545,11879,1
126,49545,47631,1
126,49545,45907,1
126,49545,29235,1
126,49545,10077,1
126,49545,72769,1
126,49545,5576,1
126,49545,16368,1
126,49545,18592,1
126,49545,22170,1
126,49545,17285,1
126,49545,5467,1
126,49545,50760,1
126,49545,55701,1
126,49545,12785,1
126,49545,81882,1
126,49545,64952,1
126,49545,7646,1
126,49545,6150,1
126,49545,46579,1
126,49545,47782,1
126,49545,6783,1
126,49545,94265,1
126,49545,17670,1
126,49545,15946,1
126,49545,57913,1
126,49545,83096,1
126,49545,75945,1
126,49545,40201,1
126,49545,82885,1
126,49545,9345,1
126,49545,25951,1
126,49545,49078,1
126,49545,21852,1
126,49545,8609,1
126,49545,39450,1
126,49545,92569,1
126,49545,7915,1
126,49545,56490,1
126,49545,16889,1
126,49545,39683,1
126,49545,31827,1
126,49545,7730,1
126,41158,11385,1
126,41158,78775,1
126,41158,31438,1
126,41158,71982,1
126,41158,41079,1
126,41158,11879,1
126,41158,47631,1
126,41158,45907,1
126,41158,29235,1
126,41158,10077,1
126,41158,72769,1
126,41158,5576,1
126,41158,16368,1
126,41158,18592,1
126,41158,22170,1
126,41158,17285,1
126,41158,5467,1
126,41158,50760,1
126,41158,55701,1
126,41158,12785,1
126,41158,81882,1
126,41158,64952,1
126,41158,7646,1
126,41158,6150,1
126,41158,46579,1
126,41158,47782,1
126,41158,6783,1
126,41158,94265,1
126,41158,17670,1
126,41158,15946,1
126,41158,57913,1
126,41158,83096,1
126,41158,75945,1
126,41158,40201,1
126,41158,82885,1
126,41158,9345,1
126,41158,25951,1
126,41158,49078,1
126,41158,21852,1
126,41158,8609,1
126,41158,39450,1
126,41158,92569,1
126,41158,7915,1
126,41158,56490,1
126,41158,16889,1
126,41158,39683,1
126,41158,31827,1
126,41158,7730,1
126,11385,78775,1
126,11385,31438,1
126,11385,71982,1
126,11385,41079,1
126,11385,11879,1
126,11385,47631,1
126,11385,45907,1
126,11385,29235,1
126,11385,10077,1
126,11385,72769,1
126,11385,5576,1
126,11385,16368,1
126,11385,18592,1
126,11385,22170,1
126,11385,17285,1
126,11385,5467,1
126,11385,50760,1
126,11385,55701,1
126,11385,12785,1
126,11385,81882,1
126,11385,64952,1
126,11385,7646,1
126,11385,6150,1
126,11385,46579,1
126,11385,47782,1
126,11385,6783,1
126,11385,94265,1
126,11385,17670,1
126,11385,15946,1
126,11385,57913,1
126,11385,83096,1
126,11385,75945,1
126,11385,40201,1
126,11385,82885,1
126,11385,9345,1
126,11385,25951,1
126,11385,49078,1
126,11385,21852,1
126,11385,8609,1
126,11385,39450,1
126,11385,92569,1
126,11385,7915,1
126,11385,56490,1
