time,player1,player2,result
126,11143,11402,1
126,11143,16392,1
126,11143,30249,1
126,11143,41322,1
126,11143,30433,1
126,11143,45915,1
126,11143,11378,1
126,11143,40311,1
126,11143,49411,1
126,11143,29442,1
126,11143,7503,1
126,11143,46686,1
126,11143,41870,1
126,11143,49390,1
126,11143,46198,1
126,11143,22327,1
126,11143,39908,1
126,11143,76434,1
126,11143,55495,1
126,11143,21622,1
126,11143,10141,1
126,11143,18719,1
126,11143,7747,1
126,11143,10536,1
126,11143,31810,1
126,11143,28201,1
126,11143,39974,1
126,11143,58385,1
126,11143,11162,1
126,11143,14181,1
126,11143,11001,1
126,11143,6186,1
126,11143,11408,1
126,11143,67535,1
126,11143,11092,1
126,11143,30058,1
126,11143,56588,1
126,11143,41060,1
126,11143,6707,1
126,11143,123392,1
126,11143,56550,1
126,11143,41276,1
126,11143,30485,1
126,11143,30282,1
126,11143,69143,1
126,11143,7742,1
126,11143,55645,1
126,11143,39206,1
126,11143,10539,1
126,11143,7788,1
126,11143,40710,1
126,11143,28500,1
126,11143,15838,1
126,11143,16522,1
126,11143,5742,1
126,11143,63982,1
126,11143,12773,1
126,11143,25528,1
126,11143,51350,1
126,11143,97196,1
126,11143,78904,1
126,11143,7796,1
126,11143,85863,1
126,11143,47630,1
126,11402,16392,1
126,11402,30249,1
126,11402,41322,1
126,11402,30433,1
126,11402,45915,1
126,11402,11378,1
126,11402,40311,1
126,11402,49411,1
126,11402,29442,1
126,11402,7503,1
126,11402,46686,1
126,11402,41870,1
126,11402,49390,1
126,11402,46198,1
126,11402,22327,1
126,11402,39908,1
126,11402,76434,1
126,11402,55495,1
126,11402,21622,1
126,11402,10141,1
126,11402,18719,1
126,11402,7747,1
126,11402,10536,1
126,11402,31810,1
126,11402,28201,1
126,11402,39974,1
126,11402,58385,1
126,11402,11162,1
126,11402,14181,1
126,11402,11001,1
126,11402,6186,1
126,11402,11408,1
126,11402,67535,1
126,11402,11092,1
126,11402,30058,1
126,11402,56588,1
126,11402,41060,1
126,11402,6707,1
126,11402,123392,1
126,11402,56550,1
126,11402,41276,1
126,11402,30485,1
126,11402,30282,1
126,11402,69143,1
126,11402,7742,1
126,11402,55645,1
126,11402,39206,1
126,11402,10539,1
126,11402,7788,1
126,11402,40710,1
126,11402,28500,1
126,11402,15838,1
126,11402,16522,1
126,11402,5742,1
126,11402,63982,1
126,11402,12773,1
126,11402,25528,1
126,11402,51350,1
126,11402,97196,1
126,11402,78904,1
126,11402,7796,1
126,11402,85863,1
126,11402,47630,1
126,16392,30249,1
126,16392,41322,1
126,16392,30433,1
126,16392,45915,1
126,16392,11378,1
126,16392,40311,1
126,16392,49411,1
126,16392,29442,1
126,16392,7503,1
126,16392,46686,1
126,16392,41870,1
126,16392,49390,1
126,16392,46198,1
126,16392,22327,1
126,16392,39908,1
126,16392,76434,1
126,16392,55495,1
126,16392,21622,1
126,16392,10141,1
126,16392,18719,1
126,16392,7747,1
126,16392,10536,1
126,16392,31810,1
126,16392,28201,1
126,16392,39974,1
126,16392,58385,1
126,16392,11162,1
126,16392,14181,1
126,16392,11001,1
126,16392,6186,1
126,16392,11408,1
126,16392,67535,1
126,16392,11092,1
126,16392,30058,1
126,16392,56588,1
126,16392,41060,1
126,16392,6707,1
126,16392,123392,1
126,16392,56550,1
126,16392,41276,1
126,16392,30485,1
126,16392,30282,1
126,16392,69143,1
126,16392,7742,1
126,16392,55645,1
126,16392,39206,1
126,16392,10539,1
126,16392,7788,1
126,16392,40710,1
126,16392,28500,1
126,16392,15838,1
126,16392,16522,1
126,16392,5742,1
126,16392,63982,1
126,16392,12773,1
126,16392,25528,1
126,16392,51350,1
126,16392,97196,1
126,16392,78904,1
126,16392,7796,1
126,16392,85863,1
126,16392,47630,1
126,30249,41322,1
126,30249,30433,1
126,30249,45915,1
126,30249,11378,1
126,30249,40311,1
126,30249,49411,1
126,30249,29442,1
126,30249,7503,1
126,30249,46686,1
126,30249,41870,1
126,30249,49390,1
126,30249,46198,1
