program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
321086,7776,Flora,Duffy,BER,18,00:19:38,00:00:36,01:06:32,00:00:23,00:34:29,1,02:01:39
321086,7795,Vicky,Holland,GBR,7,00:19:57,00:00:37,01:07:37,00:00:26,00:34:46,2,02:03:25
321086,68698,Katie,Zaferes,USA,19,00:19:59,00:00:38,01:07:32,00:00:22,00:34:52,3,02:03:25
321086,89532,Kirsten,Kasper,USA,2,00:19:41,00:00:36,01:07:54,00:00:22,00:37:06,4,02:05:40
321086,17285,Yuko,Takahashi,JPN,8,00:19:56,00:00:36,01:07:37,00:00:21,00:37:19,5,02:05:51
321086,39683,Alice,Betto,ITA,24,00:19:55,00:00:38,01:07:37,00:00:23,00:37:30,6,02:06:05
321086,18592,Yuka,Sato,JPN,5,00:19:59,00:00:38,01:07:35,00:00:23,00:37:47,7,02:06:23
321086,11385,Jodie,Stimpson,GBR,25,00:20:02,00:00:39,01:07:31,00:00:25,00:37:59,8,02:06:37
321086,81334,Taylor,Spivey,USA,12,00:20:00,00:00:40,01:07:30,00:00:26,00:38:23,9,02:07:02
321086,29235,Joanna,Brown,CAN,21,00:20:33,00:00:37,01:09:17,00:00:25,00:36:43,10,02:07:38
321086,5467,Vendula,Frintova,CZE,9,00:20:33,00:00:39,01:09:18,00:00:25,00:36:42,11,02:07:39
321086,22170,Rachel,Klamer,NED,1,00:20:00,00:00:39,01:09:50,00:00:22,00:36:47,12,02:07:40
321086,72769,Claire,Michel,BEL,14,00:20:07,00:00:36,01:09:47,00:00:25,00:36:47,13,02:07:43
321086,49545,Georgia,Taylor-Brown,GBR,30,00:20:04,00:00:51,01:09:33,00:00:25,00:37:11,14,02:08:06
321086,70413,Laura,Lindemann,GER,4,00:20:32,00:00:36,01:09:20,00:00:22,00:37:39,15,02:08:32
321086,55701,Maya,Kingma,NED,17,00:19:42,00:00:39,01:07:49,00:00:25,00:40:09,16,02:08:46
321086,71982,Chelsea,Burns,USA,11,00:20:03,00:00:39,01:09:47,00:00:23,00:38:31,17,02:09:25
321086,12785,Juri,Ide,JPN,15,00:20:34,00:00:41,01:11:57,00:00:24,00:36:28,18,02:10:07
321086,83096,Summer,Rappaport,USA,20,00:19:40,00:00:38,01:11:41,00:00:29,00:37:38,19,02:10:08
321086,11879,Lisa,Perterer,AUT,26,00:21:23,00:00:55,01:10:54,00:00:25,00:36:59,20,02:10:39
321086,5576,Ai,Ueda,JPN,10,00:21:25,00:00:38,01:11:09,00:00:23,00:37:03,21,02:10:40
321086,47782,Luisa,Baptista,BRA,27,00:20:37,00:00:38,01:11:59,00:00:23,00:37:02,22,02:10:41
321086,80643,Taylor,Knibb,USA,23,00:20:34,00:00:40,01:10:58,00:00:27,00:39:24,23,02:12:06
321086,25176,Cecilia,Perez,MEX,28,00:20:35,00:00:54,01:11:44,00:00:24,00:38:38,24,02:12:18
321086,22340,Michelle,Flipo,MEX,29,00:20:02,00:00:37,01:09:50,00:00:25,00:42:08,25,02:13:05
321086,94265,Valerie,Barthelemy,BEL,32,00:20:01,00:00:40,01:12:30,00:00:21,00:40:01,26,02:13:36
321086,17348,Yun-Jung,Jang,KOR,33,00:20:06,00:00:41,00:00:00,00:00:00,00:00:00,LAP,LAP
321086,25161,Paola,Diaz,MEX,31,00:20:59,00:00:40,00:00:00,00:00:00,00:00:00,LAP,LAP
321086,41158,Leonie,Periault,FRA,6,00:21:23,00:00:38,00:00:00,00:00:00,00:00:00,LAP,LAP
321086,45790,Jolanda,Annen,SUI,22,00:20:36,00:00:00,00:00:00,00:00:00,00:00:00,DNF,DNF
321086,47942,Melanie,Santos,POR,3,00:19:43,00:00:37,00:00:00,00:00:00,00:00:00,DNF,DNF
321086,16368,Zsanett,Bragmayer,HUN,16,00:20:01,00:00:38,00:00:00,00:00:00,00:00:00,DNF,DNF
