program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
321085,76434,Casper,Stornes,NOR,43,00:19:11,00:00:37,01:01:42,00:00:24,00:32:51,1,01:54:47
321085,41322,Kristian,Blummenfelt,NOR,24,00:19:05,00:00:35,01:03:08,00:00:21,00:31:55,2,01:55:08
321085,47630,Gustav,Iden,NOR,6,00:19:20,00:00:36,01:02:53,00:00:26,00:31:52,3,01:55:10
321085,11402,Mario,Mola,ESP,2,00:19:17,00:00:37,01:04:05,00:00:25,00:31:19,4,01:55:45
321085,12773,Rodrigo,Gonzalez,MEX,28,00:19:35,00:00:35,01:03:53,00:00:21,00:31:33,5,01:55:58
321085,29442,Fernando,Alarza,ESP,12,00:19:22,00:00:37,01:04:03,00:00:25,00:31:39,6,01:56:08
321085,49390,Dorian,Coninx,FRA,29,00:18:54,00:00:36,01:04:29,00:00:22,00:31:46,7,01:56:08
321085,30433,Henri,Schoeman,RSA,1,00:18:48,00:00:33,01:04:36,00:00:18,00:32:07,8,01:56:24
321085,28500,Ryan,Bailie,AUS,34,00:19:07,00:00:37,01:04:14,00:00:22,00:32:06,9,01:56:28
321085,7503,Crisanto,Grajales,MEX,26,00:19:24,00:00:37,01:03:59,00:00:21,00:32:07,10,01:56:29
321085,46198,Eli,Hemming,USA,38,00:19:08,00:00:36,01:04:16,00:00:21,00:32:10,11,01:56:33
321085,30249,Pierre,Le Corre,FRA,10,00:18:51,00:00:40,01:04:32,00:00:20,00:32:20,12,01:56:45
321085,39974,Jelle,Geens,BEL,31,00:19:17,00:00:34,01:04:08,00:00:21,00:32:30,13,01:56:52
321085,63162,Léo,Bergere,FRA,4,00:19:20,00:00:37,01:03:59,00:00:20,00:32:41,14,01:57:00
321085,30282,Uxio,Abuin Ares,ESP,23,00:19:24,00:00:39,01:03:55,00:00:21,00:32:47,15,01:57:07
321085,15838,Lukas,Hollaus,AUT,22,00:19:35,00:00:35,01:03:48,00:00:23,00:32:46,16,01:57:10
321085,30058,Andreas,Schilling,DEN,25,00:19:03,00:00:38,01:03:09,00:00:22,00:34:18,17,01:57:32
321085,18714,Kevin,McDowell,USA,27,00:18:58,00:00:35,01:04:23,00:00:24,00:33:13,18,01:57:35
321085,11092,Richard,Varga,SVK,18,00:19:10,00:00:38,01:04:10,00:00:23,00:33:28,19,01:57:51
321085,10539,Joao,Silva,POR,5,00:19:23,00:00:36,01:04:01,00:00:25,00:33:36,20,01:58:03
321085,40311,Marten,Van Riel,BEL,20,00:18:54,00:00:35,01:05:56,00:00:23,00:32:15,21,01:58:04
321085,11315,Andrea,Salvisberg,SUI,16,00:18:55,00:00:36,01:04:30,00:00:21,00:34:00,22,01:58:24
321085,40710,Russell,White,IRL,39,00:19:33,00:00:35,01:03:51,00:00:21,00:34:06,23,01:58:27
321085,49411,Tyler,Mislawchuk,CAN,8,00:19:05,00:00:35,01:04:20,00:00:24,00:34:02,24,01:58:28
321085,10141,Aaron,Royle,AUS,9,00:18:58,00:00:39,01:04:22,00:00:24,00:34:28,25,01:58:53
321085,41060,Justus,Nieschlag,GER,11,00:19:16,00:00:35,01:04:09,00:00:23,00:34:31,26,01:58:56
321085,55685,Itamar,Alster,ISR,51,00:19:32,00:00:38,01:03:51,00:00:25,00:34:37,27,01:59:05
321085,11535,Ognjen,Stojanovic,SRB,45,00:19:13,00:00:38,01:04:11,00:00:25,00:34:47,28,01:59:15
321085,6186,Irving,Perez,MEX,33,00:19:11,00:00:38,01:04:19,00:00:24,00:34:48,29,01:59:23
321085,41276,Marco,Van Der Stel,NED,19,00:18:56,00:00:36,01:04:27,00:00:26,00:35:01,30,01:59:28
321085,78904,Domen,Dornik,SLO,44,00:19:26,00:00:39,01:03:56,00:00:27,00:34:59,31,01:59:29
321085,10767,Jason,Wilson,BAR,47,00:19:26,00:00:36,01:04:02,00:00:24,00:35:05,32,01:59:33
321085,63982,Makoto,Odakura,JPN,36,00:19:06,00:00:37,01:04:19,00:00:25,00:35:33,33,02:00:01
321085,17043,Ben,Kanute,USA,15,00:18:52,00:00:38,01:04:17,00:00:23,00:36:10,34,02:00:22
321085,67535,Jonas,Schomburg,GER,30,00:19:09,00:00:36,01:04:15,00:00:23,00:36:15,35,02:00:40
321085,47012,Jørgen,Gundersen,NOR,46,00:19:02,00:00:38,01:04:18,00:00:24,00:36:36,36,02:00:59
321085,46216,Flavio,Morandini,ARG,48,00:19:20,00:00:42,01:04:00,00:00:23,00:38:01,37,02:02:27
321085,9919,Danilo,Pimentel,BRA,40,00:19:32,00:00:37,01:07:23,00:00:23,00:35:10,38,02:03:07
321085,69143,Manoel,Messias,BRA,37,00:20:19,00:00:39,01:06:34,00:00:30,00:35:03,39,02:03:07
321085,81259,Linus,Stimmel,GER,49,00:19:20,00:00:37,01:07:57,00:00:23,00:36:58,40,02:05:18
321085,18173,Ju Seok,Kim,KOR,52,00:19:29,00:00:38,00:00:00,00:00:00,00:00:00,LAP,LAP
321085,22522,David,Mendoza,MEX,42,00:19:07,00:00:36,01:04:19,00:00:21,00:35:47,DSQ,DSQ
321085,55886,Kauê,Willy,BRA,41,00:20:13,00:00:46,00:00:00,00:00:00,00:00:00,DSQ,DSQ
321085,11143,Vincent,Luis,FRA,3,00:19:03,00:00:35,00:00:00,00:00:00,00:00:00,DNF,DNF
321085,16392,Richard,Murray,RSA,7,00:19:06,00:00:33,01:04:20,00:00:23,00:00:00,DNF,DNF
321085,11060,Alessandro,Fabian,ITA,14,00:18:59,00:00:36,00:00:00,00:00:00,00:00:00,DNF,DNF
321085,30485,Bob,Haller,LUX,17,00:19:28,00:00:34,01:06:14,00:00:22,00:00:00,DNF,DNF
321085,39836,Simon,Viain,FRA,21,00:19:30,00:00:36,00:00:00,00:00:00,00:00:00,DNF,DNF
321085,31810,Jumpei,Furuya,JPN,32,00:18:56,00:00:35,00:00:00,00:00:00,00:00:00,DNF,DNF
321085,41870,Shachar,Sagiv,ISR,35,00:19:17,00:00:35,01:04:09,00:00:21,00:00:00,DNF,DNF
321085,31857,Kwang Hoon,Lee,KOR,50,00:20:17,00:00:37,00:00:00,00:00:00,00:00:00,DNF,DNF
