program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
321778,7795,Vicky,Holland,GBR,2,00:19:53,00:01:01,01:03:18,00:00:25,00:34:54,1,01:59:29
321778,68698,Katie,Zaferes,USA,1,00:19:09,00:00:57,01:04:09,00:00:27,00:35:12,2,01:59:51
321778,49545,Georgia,Taylor-Brown,GBR,6,00:20:12,00:00:59,01:03:01,00:00:27,00:35:48,3,02:00:23
321778,29235,Joanna,Brown,CAN,15,00:20:12,00:00:58,01:03:02,00:00:31,00:35:57,4,02:00:39
321778,5372,Nicola,Spirig,SUI,18,00:20:11,00:00:59,01:03:01,00:00:26,00:36:17,5,02:00:52
321778,11385,Jodie,Stimpson,GBR,8,00:20:09,00:00:58,01:03:03,00:00:27,00:36:32,6,02:01:07
321778,81334,Taylor,Spivey,USA,7,00:20:04,00:01:01,01:03:10,00:00:30,00:36:57,7,02:01:40
321778,78775,Jessica,Learmonth,GBR,5,00:19:03,00:01:02,01:04:06,00:00:28,00:37:17,8,02:01:53
321778,80643,Taylor,Knibb,USA,20,00:20:14,00:01:00,01:02:58,00:00:33,00:37:33,9,02:02:16
321778,47631,Lotte,Miller,NOR,14,00:20:08,00:01:03,01:03:02,00:00:33,00:38:16,10,02:03:01
321778,71982,Chelsea,Burns,USA,16,00:20:09,00:00:59,01:03:05,00:00:32,00:38:23,11,02:03:06
321778,39683,Alice,Betto,ITA,12,00:20:00,00:01:00,01:03:14,00:00:29,00:38:25,12,02:03:07
321778,15744,Ashleigh,Gentle,AUS,9,00:20:50,00:00:58,01:05:41,00:00:28,00:35:20,13,02:03:15
321778,5576,Ai,Ueda,JPN,19,00:20:54,00:00:59,01:05:37,00:00:29,00:35:34,14,02:03:32
321778,11879,Lisa,Perterer,AUT,21,00:20:52,00:00:57,01:05:42,00:00:34,00:36:32,15,02:04:36
321778,22170,Rachel,Klamer,NED,3,00:20:09,00:01:01,01:06:21,00:00:27,00:36:44,16,02:04:40
321778,45907,Natalie,Van Coevorden,AUS,10,00:20:05,00:01:02,01:06:24,00:00:30,00:37:04,17,02:05:03
321778,89532,Kirsten,Kasper,USA,4,00:20:10,00:01:01,01:06:20,00:00:29,00:38:02,18,02:05:58
321778,121455,Sophie,Watts,USA,34,00:20:10,00:00:58,01:06:23,00:00:32,00:38:33,19,02:06:34
321778,7646,Claudia,Rivas,MEX,35,00:20:14,00:01:01,01:06:19,00:00:31,00:38:50,20,02:06:52
321778,39450,Gillian,Backhouse,AUS,22,00:20:07,00:01:01,01:06:24,00:00:31,00:39:42,21,02:07:42
321778,69102,Kirsten,Nuyes,NED,29,00:20:46,00:01:02,01:05:41,00:00:29,00:39:54,22,02:07:51
321778,25176,Cecilia,Perez,MEX,31,00:20:12,00:01:02,01:06:21,00:00:29,00:40:33,23,02:08:34
321778,50760,Sophie,Coldwell,GBR,23,00:19:05,00:01:00,01:04:09,00:00:28,00:44:20,24,02:09:01
321778,83096,Summer,Rappaport,USA,11,00:19:08,00:01:00,01:07:29,00:00:32,00:41:25,25,02:09:32
321778,55701,Maya,Kingma,NED,24,00:19:13,00:01:04,01:07:17,00:00:37,00:43:14,26,02:11:24
321778,7730,Rebecca,Spence,NZL,17,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,DNS
321778,82885,Therese,Feuersinger,AUT,27,00:20:08,00:01:01,00:00:00,00:00:00,00:00:00,LAP,LAP
321778,81002,Kelly-Ann,Perkins,AUS,28,00:20:05,00:01:07,00:00:00,00:00:00,00:00:00,LAP,LAP
321778,9345,Gillian,Sanders,RSA,30,00:20:55,00:01:00,00:00:00,00:00:00,00:00:00,LAP,LAP
321778,49803,Diana,Castillo,COL,32,00:20:11,00:01:00,00:00:00,00:00:00,00:00:00,LAP,LAP
321778,81276,Rani,Skrabanja,NED,36,00:20:14,00:01:05,00:00:00,00:00:00,00:00:00,LAP,LAP
321778,16368,Zsanett,Bragmayer,HUN,25,00:20:05,00:01:01,01:06:29,00:00:32,00:00:00,DNF,DNF
321778,22340,Michelle,Flipo,MEX,33,00:20:13,00:01:03,00:00:00,00:00:00,00:00:00,DNF,DNF
