program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
321086,7776,Flora,Duffy,BER,18,1178,36,3992,23,00:34:29,1,7299
321086,7795,Vicky,Holland,GBR,7,1197,37,4057,26,00:34:46,2,7405
321086,68698,Katie,Zaferes,USA,19,1199,38,4052,22,00:34:52,3,7405
321086,89532,Kirsten,Kasper,USA,2,1181,36,4074,22,00:37:06,4,7540
321086,17285,Yuko,Takahashi,JPN,8,1196,36,4057,21,00:37:19,5,7551
321086,39683,Alice,Betto,ITA,24,1195,38,4057,23,00:37:30,6,7565
321086,18592,Yuka,Sato,JPN,5,1199,38,4055,23,00:37:47,7,7583
321086,11385,Jodie,Stimpson,GBR,25,1202,39,4051,25,00:37:59,8,7597
321086,81334,Taylor,Spivey,USA,12,1200,40,4050,26,00:38:23,9,7622
321086,29235,Joanna,Brown,CAN,21,1233,37,4157,25,00:36:43,10,7658
321086,5467,Vendula,Frintova,CZE,9,1233,39,4158,25,00:36:42,11,7659
321086,22170,Rachel,Klamer,NED,1,1200,39,4190,22,00:36:47,12,7660
321086,72769,Claire,Michel,BEL,14,1207,36,4187,25,00:36:47,13,7663
321086,49545,Georgia,Taylor-Brown,GBR,30,1204,51,4173,25,00:37:11,14,7686
321086,70413,Laura,Lindemann,GER,4,1232,36,4160,22,00:37:39,15,7712
321086,55701,Maya,Kingma,NED,17,1182,39,4069,25,00:40:09,16,7726
321086,71982,Chelsea,Burns,USA,11,1203,39,4187,23,00:38:31,17,7765
321086,12785,Juri,Ide,JPN,15,1234,41,4317,24,00:36:28,18,7807
321086,83096,Summer,Rappaport,USA,20,1180,38,4301,29,00:37:38,19,7808
321086,11879,Lisa,Perterer,AUT,26,1283,55,4254,25,00:36:59,20,7839
321086,5576,Ai,Ueda,JPN,10,1285,38,4269,23,00:37:03,21,7840
321086,47782,Luisa,Baptista,BRA,27,1237,38,4319,23,00:37:02,22,7841
321086,80643,Taylor,Knibb,USA,23,1234,40,4258,27,00:39:24,23,7926
321086,25176,Cecilia,Perez,MEX,28,1235,54,4304,24,00:38:38,24,7938
321086,22340,Michelle,Flipo,MEX,29,1202,37,4190,25,00:42:08,25,7985
321086,94265,Valerie,Barthelemy,BEL,32,1201,40,4350,21,00:40:01,26,8016
