program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
321965,11143,Vincent,Luis,FRA,3,1112,42,3313,25,00:29:44,1,6274
321965,11402,Mario,Mola,ESP,1,1152,39,3279,24,00:29:55,2,6288
321965,16392,Richard,Murray,RSA,4,1168,36,3263,23,00:30:08,3,6296
321965,30249,Pierre,Le Corre,FRA,11,1121,44,3304,21,00:30:14,4,6301
321965,41322,Kristian,Blummenfelt,NOR,5,1149,41,3243,23,00:30:51,5,6304
321965,30433,Henri,Schoeman,RSA,7,1113,40,3316,21,00:30:18,6,6306
321965,45915,Jacob,Birtwhistle,AUS,2,1144,35,3288,21,00:31:00,7,6346
321965,11378,Jonathan,Brownlee,GBR,14,1119,40,3309,21,00:31:03,8,6351
321965,40311,Marten,Van Riel,BEL,10,1123,38,3298,22,00:31:17,9,6356
321965,49411,Tyler,Mislawchuk,CAN,8,1134,39,3297,24,00:31:05,10,6357
321965,29442,Fernando,Alarza,ESP,6,1141,39,3293,22,00:31:04,11,6358
321965,7503,Crisanto,Grajales,MEX,32,1160,38,3274,23,00:31:09,12,6362
321965,46686,Sam,Ward,NZL,15,1139,42,3291,23,00:31:25,13,6378
321965,41870,Shachar,Sagiv,ISR,42,1151,40,3280,23,00:31:29,14,6381
321965,49390,Dorian,Coninx,FRA,16,1123,37,3310,21,00:31:33,15,6382
321965,46198,Eli,Hemming,USA,30,1150,40,3280,24,00:31:47,16,6398
321965,22327,Matthew,Sharpe,CAN,29,1130,44,3297,21,00:31:48,17,6398
321965,39908,Vicente,Hernandez,ESP,46,1144,39,3289,25,00:31:47,18,6401
321965,76434,Casper,Stornes,NOR,17,1151,45,3275,29,00:31:56,19,6413
321965,55495,Luke,Willian,AUS,24,1146,40,3287,27,00:32:06,20,6424
321965,21622,Alois,Knabl,AUT,21,1117,40,3316,24,00:32:15,21,6429
321965,10141,Aaron,Royle,AUS,18,1126,38,3307,23,00:32:20,22,6432
321965,18719,Thomas,Bishop,GBR,19,1136,40,3297,26,00:32:18,23,6436
321965,7747,Dmitry,Polyanskiy,RUS,48,1130,38,3306,26,00:32:24,24,6441
321965,10536,Joao,Pereira,POR,31,1172,40,3373,23,00:30:41,25,6445
321965,31810,Jumpei,Furuya,JPN,52,1137,38,3299,23,00:33:01,26,6475
321965,28201,Ryan,Fisher,AUS,49,1147,39,3283,23,00:33:09,27,6479
321965,39974,Jelle,Geens,BEL,23,1174,39,3370,22,00:31:22,28,6485
321965,58385,Sylvain,Fridelance,SUI,39,1149,39,3285,25,00:33:08,29,6485
321965,11162,Rostislav,Pevtsov,AZE,25,1167,38,3380,25,00:31:37,30,6505
321965,14181,Igor,Polyanskiy,RUS,47,1149,41,3283,22,00:33:38,31,6511
321965,11001,Gábor,Faldum,HUN,34,1164,43,3264,20,00:33:48,32,6518
321965,6186,Irving,Perez,MEX,36,1133,39,3301,27,00:33:55,33,6533
321965,11408,Tamás,Tóth,HUN,40,1170,37,3377,25,00:32:13,34,6540
321965,67535,Jonas,Schomburg,GER,50,1155,38,3276,22,00:34:14,35,6543
321965,11092,Richard,Varga,SVK,28,1112,41,3320,30,00:34:20,36,6561
321965,30058,Andreas,Schilling,DEN,9,1158,45,3283,25,00:34:43,37,6592
321965,56588,Frantisek,Linduska,CZE,59,1166,40,3377,23,00:33:34,38,6618
321965,41060,Justus,Nieschlag,GER,33,1173,40,3369,28,00:33:35,39,6623
321965,6707,Jan,Celustka,CZE,64,1171,40,3372,26,00:33:38,40,6625
321965,123392,Morgan,Pearson,USA,44,1169,38,3582,24,00:30:32,41,6644
321965,56550,Adrien,Briffod,SUI,38,1170,38,3374,22,00:34:02,42,6645
321965,41276,Marco,Van Der Stel,NED,35,1158,40,3276,27,00:35:47,43,6645
321965,30485,Bob,Haller,LUX,51,1165,38,3294,26,00:35:38,44,6660
321965,30282,Uxio,Abuin Ares,ESP,41,1163,26,3281,23,00:37:41,45,6754
321965,69143,Manoel,Messias,BRA,56,1187,42,3491,23,00:34:02,46,6783
321965,7742,Miguel,Arraiolos,POR,58,1197,39,3551,43,00:33:25,47,6833
321965,55645,Alexandre,Nobre,POR,61,1173,41,3574,29,00:33:38,48,6833
321965,39206,Benjamin,Shaw,IRL,65,1149,39,3392,28,00:37:27,49,6854
321965,10539,Joao,Silva,POR,12,1156,40,3615,27,00:34:42,50,6917
