program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
321783,7795,Vicky,Holland,GBR,3,585,55,1740,28,00:16:41,1,3411
321783,15744,Ashleigh,Gentle,AUS,17,613,55,1712,28,00:16:53,2,3422
321783,49545,Georgia,Taylor-Brown,GBR,11,587,53,1740,26,00:17:00,3,3428
321783,78775,Jessica,Learmonth,GBR,8,573,56,1751,29,00:17:02,4,3432
321783,11385,Jodie,Stimpson,GBR,12,602,53,1724,28,00:17:05,5,3434
321783,68698,Katie,Zaferes,USA,1,585,53,1742,29,00:17:19,6,3450
321783,6783,Andrea,Hewitt,NZL,16,603,58,1720,30,00:17:25,7,3458
321783,83096,Summer,Rappaport,USA,19,572,58,1753,28,00:17:26,8,3458
321783,58449,Verena,Steinhauser,ITA,31,609,57,1714,30,00:17:33,9,3464
321783,81334,Taylor,Spivey,USA,6,584,55,1742,30,00:17:37,10,3470
321783,22170,Rachel,Klamer,NED,2,597,58,1726,26,00:17:46,11,3476
321783,18592,Yuka,Sato,JPN,7,587,56,1736,27,00:17:51,12,3479
321783,89532,Kirsten,Kasper,USA,4,589,53,1739,28,00:17:54,13,3485
321783,17285,Yuko,Takahashi,JPN,5,588,54,1738,26,00:18:01,14,3490
321783,11879,Lisa,Perterer,AUT,30,606,57,1718,34,00:18:03,15,3500
321783,80643,Taylor,Knibb,USA,29,611,58,1709,35,00:18:09,16,3504
321783,39683,Alice,Betto,ITA,18,586,55,1740,28,00:18:24,17,3515
321783,80605,Mathilde,Gautier,FRA,36,605,57,1719,28,00:18:39,18,3531
321783,45907,Natalie,Van Coevorden,AUS,10,584,56,1741,32,00:18:48,19,3544
321783,72769,Claire,Michel,BEL,15,605,57,1823,29,00:17:23,20,3559
321783,81002,Kelly-Ann,Perkins,AUS,55,581,56,1847,27,00:17:50,21,3582
321783,85273,Sandra,Dodet,FRA,37,611,56,1859,26,00:17:18,22,3593
321783,29235,Joanna,Brown,CAN,22,609,52,1821,29,00:18:04,23,3598
321783,5467,Vendula,Frintova,CZE,14,606,55,1864,26,00:17:37,24,3610
321783,26478,Petra,Kurikova,CZE,41,621,54,1850,26,00:17:55,25,3629
321783,10077,Charlotte,McShane,AUS,24,602,56,1811,27,00:18:52,26,3631
321783,47942,Melanie,Santos,POR,21,600,53,1831,29,00:18:39,27,3634
321783,5576,Ai,Ueda,JPN,23,630,62,1888,28,00:17:14,28,3643
321783,12785,Juri,Ide,JPN,20,609,58,1858,30,00:18:30,29,3668
321783,40201,Mengying,Zhong,CHN,43,602,57,1827,29,00:19:16,30,3671
321783,58383,Lisa,Berger,SUI,49,622,53,1851,28,00:18:43,31,3679
321783,80806,Jessica,Romero Tinoco,MEX,45,609,57,1862,29,00:18:52,32,3689
321783,81882,Vittoria,Lopes,BRA,28,579,60,1845,31,00:19:49,33,3705
321783,94438,Anja,Knapp,GER,53,604,57,1865,28,00:19:40,34,3736
321783,8609,Anel,Radford,RSA,42,602,61,1864,30,00:19:53,35,3753
321783,82715,Helena,Carvalho,POR,51,598,62,1825,27,00:21:05,36,3779
321783,55701,Maya,Kingma,NED,27,576,60,1848,35,00:21:16,37,3796
321783,69102,Kirsten,Nuyes,NED,38,635,60,1957,28,00:19:10,38,3832
321783,104030,Ari,Graham,NZL,54,592,53,1907,37,00:20:51,39,3842
321783,94265,Valerie,Barthelemy,BEL,33,609,62,1910,30,00:20:46,40,3858
321783,17348,Yun-Jung,Jang,KOR,46,608,54,2018,31,00:19:15,41,3869
321783,80082,Erica,Hawley,BER,48,633,59,1959,33,00:20:00,42,3887
