program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
321778,7795,Vicky,Holland,GBR,2,1193,61,3798,25,00:34:54,1,7169
321778,68698,Katie,Zaferes,USA,1,1149,57,3849,27,00:35:12,2,7191
321778,49545,Georgia,Taylor-Brown,GBR,6,1212,59,3781,27,00:35:48,3,7223
321778,29235,Joanna,Brown,CAN,15,1212,58,3782,31,00:35:57,4,7239
321778,5372,Nicola,Spirig,SUI,18,1211,59,3781,26,00:36:17,5,7252
321778,11385,Jodie,Stimpson,GBR,8,1209,58,3783,27,00:36:32,6,7267
321778,81334,Taylor,Spivey,USA,7,1204,61,3790,30,00:36:57,7,7300
321778,78775,Jessica,Learmonth,GBR,5,1143,62,3846,28,00:37:17,8,7313
321778,80643,Taylor,Knibb,USA,20,1214,60,3778,33,00:37:33,9,7336
321778,47631,Lotte,Miller,NOR,14,1208,63,3782,33,00:38:16,10,7381
321778,71982,Chelsea,Burns,USA,16,1209,59,3785,32,00:38:23,11,7386
321778,39683,Alice,Betto,ITA,12,1200,60,3794,29,00:38:25,12,7387
321778,15744,Ashleigh,Gentle,AUS,9,1250,58,3941,28,00:35:20,13,7395
321778,5576,Ai,Ueda,JPN,19,1254,59,3937,29,00:35:34,14,7412
321778,11879,Lisa,Perterer,AUT,21,1252,57,3942,34,00:36:32,15,7476
321778,22170,Rachel,Klamer,NED,3,1209,61,3981,27,00:36:44,16,7480
321778,45907,Natalie,Van Coevorden,AUS,10,1205,62,3984,30,00:37:04,17,7503
321778,89532,Kirsten,Kasper,USA,4,1210,61,3980,29,00:38:02,18,7558
321778,121455,Sophie,Watts,USA,34,1210,58,3983,32,00:38:33,19,7594
321778,7646,Claudia,Rivas,MEX,35,1214,61,3979,31,00:38:50,20,7612
321778,39450,Gillian,Backhouse,AUS,22,1207,61,3984,31,00:39:42,21,7662
321778,69102,Kirsten,Nuyes,NED,29,1246,62,3941,29,00:39:54,22,7671
321778,25176,Cecilia,Perez,MEX,31,1212,62,3981,29,00:40:33,23,7714
321778,50760,Sophie,Coldwell,GBR,23,1145,60,3849,28,00:44:20,24,7741
321778,83096,Summer,Rappaport,USA,11,1148,60,4049,32,00:41:25,25,7772
321778,55701,Maya,Kingma,NED,24,1153,64,4037,37,00:43:14,26,7884
