program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
321777,11402,Mario,Mola,ESP,1,1055,54,3546,24,00:29:48,1,6466
321777,41322,Kristian,Blummenfelt,NOR,5,1050,55,3489,26,00:31:05,2,6482
321777,45915,Jacob,Birtwhistle,AUS,2,1063,54,3539,23,00:30:31,3,6508
321777,16392,Richard,Murray,RSA,3,1070,52,3537,23,00:30:36,4,6516
321777,30058,Andreas,Schilling,DEN,9,1058,56,3480,29,00:31:57,5,6537
321777,30433,Henri,Schoeman,RSA,8,1028,61,3573,27,00:31:03,6,6550
321777,10536,Joao,Pereira,POR,32,1065,58,3538,29,00:31:18,7,6565
321777,49411,Tyler,Mislawchuk,CAN,6,1052,55,3548,27,00:31:26,8,6566
321777,50700,Bence,Bicsák,HUN,18,1060,60,3544,29,00:31:18,9,6568
321777,63428,Antonio,Serrat Seoane,ESP,22,1051,59,3553,30,00:31:20,10,6571
321777,39836,Simon,Viain,FRA,17,1069,56,3537,30,00:31:24,11,6573
321777,70410,Lasse,Lührs,GER,34,1062,57,3540,25,00:31:32,12,6575
321777,46686,Sam,Ward,NZL,11,1048,57,3552,26,00:31:44,13,6586
321777,11060,Alessandro,Fabian,ITA,30,1044,61,3551,27,00:31:47,14,6588
321777,11001,Gábor,Faldum,HUN,29,1056,54,3549,24,00:31:56,15,6598
321777,10539,Joao,Silva,POR,7,1067,54,3542,37,00:31:47,16,6605
321777,76434,Casper,Stornes,NOR,14,1058,58,3478,27,00:33:11,17,6610
321777,21622,Alois,Knabl,AUT,16,1047,58,3556,34,00:32:02,18,6615
321777,22327,Matthew,Sharpe,CAN,23,1052,58,3551,27,00:32:10,19,6616
321777,10141,Aaron,Royle,AUS,10,1050,56,3553,27,00:32:29,20,6634
321777,97196,Matthew,McElroy,USA,21,1067,57,3539,26,00:32:42,21,6648
321777,40710,Russell,White,IRL,33,1063,55,3542,31,00:32:45,22,6654
321777,76425,Seth,Rider,USA,40,1032,58,3566,26,00:32:56,23,6657
321777,18719,Thomas,Bishop,GBR,15,1060,59,3539,28,00:33:10,24,6673
321777,41276,Marco,Van Der Stel,NED,24,1042,58,3560,30,00:33:12,25,6681
321777,6186,Irving,Perez,MEX,26,1045,56,3560,32,00:33:13,26,6685
321777,11408,Tamás,Tóth,HUN,28,1055,57,3548,27,00:33:21,27,6686
321777,46196,Tony,Smoragiewicz,USA,38,1066,56,3541,29,00:33:28,28,6697
321777,79706,Charles,Paquet,CAN,39,1048,54,3492,33,00:35:44,29,6769
321777,41060,Justus,Nieschlag,GER,25,1053,56,3551,32,00:34:48,30,6779
321777,41870,Shachar,Sagiv,ISR,27,1059,57,3546,26,00:35:32,31,6817
321777,7796,Francesc,Godoy Contreras,ESP,50,1042,58,3558,25,00:37:13,32,6915
321777,7503,Crisanto,Grajales,MEX,20,1060,57,3829,27,00:32:30,33,6922
321777,92397,Brandon,Copeland,AUS,37,1060,55,3743,27,00:34:10,34,6933
321777,64519,Henrik,Goesch,FIN,47,1066,59,3750,27,00:34:46,35,6986
321777,12773,Rodrigo,Gonzalez,MEX,19,1074,56,3857,26,00:33:11,36,7002
321777,55820,Alexis,Lepage,CAN,44,1051,56,3881,28,00:33:35,37,7028
321777,49022,Menno,Koolhaas,NED,49,1057,57,3874,24,00:33:46,38,7036
321777,49084,Lukas,Pertl,AUT,36,1126,51,3806,24,00:34:05,39,7050
321777,46857,John,Rasmussen,CAN,41,1093,53,3837,28,00:36:46,40,7216
321777,47838,Edson,Gomez Ruiz,MEX,42,1048,55,3799,28,00:39:14,41,7282
