time,player1,player2,result
1,31438,63163,1
1,31438,83096,1
1,31438,22170,1
1,31438,49545,1
1,31438,81334,1
1,31438,70413,1
1,31438,5372,1
1,31438,7795,1
1,31438,7773,1
1,31438,64750,1
1,31438,85273,1
1,31438,29235,1
1,31438,50760,1
1,31438,17285,1
1,31438,71982,1
1,31438,63164,1
1,31438,89532,1
1,31438,98269,1
1,31438,15747,1
1,31438,41158,1
1,31438,72769,1
1,31438,41079,1
1,31438,84816,1
1,31438,5467,1
1,31438,11879,1
1,31438,5576,1
1,31438,79066,1
1,31438,9345,1
1,31438,92305,1
1,31438,94265,1
1,31438,45907,1
1,31438,9852,1
1,31438,16368,1
1,31438,68698,1
1,31438,64952,1
1,31438,26478,1
1,31438,12785,1
1,31438,18592,1
1,31438,10077,1
1,31438,80643,1
1,31438,21841,1
1,31438,42267,1
1,31438,58383,1
1,31438,39687,1
1,31438,75945,1
1,31438,39450,1
1,31438,56518,1
1,31438,94438,1
1,31438,123606,1
1,31438,124359,1
1,31438,45790,1
1,31438,21847,1
1,63163,83096,1
1,63163,22170,1
1,63163,49545,1
1,63163,81334,1
1,63163,70413,1
1,63163,5372,1
1,63163,7795,1
1,63163,7773,1
1,63163,64750,1
1,63163,85273,1
1,63163,29235,1
1,63163,50760,1
1,63163,17285,1
1,63163,71982,1
1,63163,63164,1
1,63163,89532,1
1,63163,98269,1
1,63163,15747,1
1,63163,41158,1
1,63163,72769,1
1,63163,41079,1
1,63163,84816,1
1,63163,5467,1
1,63163,11879,1
1,63163,5576,1
1,63163,79066,1
1,63163,9345,1
1,63163,92305,1
1,63163,94265,1
1,63163,45907,1
1,63163,9852,1
1,63163,16368,1
1,63163,68698,1
1,63163,64952,1
1,63163,26478,1
1,63163,12785,1
1,63163,18592,1
1,63163,10077,1
1,63163,80643,1
1,63163,21841,1
1,63163,42267,1
1,63163,58383,1
1,63163,39687,1
1,63163,75945,1
1,63163,39450,1
1,63163,56518,1
1,63163,94438,1
1,63163,123606,1
1,63163,124359,1
1,63163,45790,1
1,63163,21847,1
1,83096,22170,1
1,83096,49545,1
1,83096,81334,1
1,83096,70413,1
1,83096,5372,1
1,83096,7795,1
1,83096,7773,1
1,83096,64750,1
1,83096,85273,1
1,83096,29235,1
1,83096,50760,1
1,83096,17285,1
1,83096,71982,1
1,83096,63164,1
1,83096,89532,1
1,83096,98269,1
1,83096,15747,1
1,83096,41158,1
1,83096,72769,1
1,83096,41079,1
1,83096,84816,1
1,83096,5467,1
1,83096,11879,1
1,83096,5576,1
1,83096,79066,1
1,83096,9345,1
1,83096,92305,1
1,83096,94265,1
1,83096,45907,1
1,83096,9852,1
1,83096,16368,1
1,83096,68698,1
1,83096,64952,1
1,83096,26478,1
1,83096,12785,1
1,83096,18592,1
1,83096,10077,1
1,83096,80643,1
1,83096,21841,1
1,83096,42267,1
1,83096,58383,1
1,83096,39687,1
1,83096,75945,1
1,83096,39450,1
1,83096,56518,1
1,83096,94438,1
1,83096,123606,1
1,83096,124359,1
1,83096,45790,1
1,83096,21847,1
1,22170,49545,1
1,22170,81334,1
1,22170,70413,1
1,22170,5372,1
1,22170,7795,1
1,22170,7773,1
1,22170,64750,1
1,22170,85273,1
1,22170,29235,1
1,22170,50760,1
1,22170,17285,1
1,22170,71982,1
1,22170,63164,1
1,22170,89532,1
1,22170,98269,1
1,22170,15747,1
1,22170,41158,1
1,22170,72769,1
1,22170,41079,1
1,22170,84816,1
1,22170,5467,1
1,22170,11879,1
1,22170,5576,1
1,22170,79066,1
1,22170,9345,1
1,22170,92305,1
1,22170,94265,1
1,22170,45907,1
1,22170,9852,1
1,22170,16368,1
1,22170,68698,1
1,22170,64952,1
1,22170,26478,1
1,22170,12785,1
1,22170,18592,1
1,22170,10077,1
1,22170,80643,1
1,22170,21841,1
1,22170,42267,1
1,22170,58383,1
1,22170,39687,1
1,22170,75945,1
1,22170,39450,1
1,22170,56518,1
1,22170,94438,1
1,22170,123606,1
1,22170,124359,1
1,22170,45790,1
1,22170,21847,1
1,49545,81334,1
1,49545,70413,1
1,49545,5372,1
1,49545,7795,1
1,49545,7773,1
1,49545,64750,1
1,49545,85273,1
1,49545,29235,1
1,49545,50760,1
1,49545,17285,1
1,49545,71982,1
1,49545,63164,1
1,49545,89532,1
1,49545,98269,1
1,49545,15747,1
1,49545,41158,1
1,49545,72769,1
1,49545,41079,1
1,49545,84816,1
1,49545,5467,1
1,49545,11879,1
1,49545,5576,1
1,49545,79066,1
1,49545,9345,1
1,49545,92305,1
1,49545,94265,1
1,49545,45907,1
1,49545,9852,1
1,49545,16368,1
1,49545,68698,1
1,49545,64952,1
1,49545,26478,1
1,49545,12785,1
1,49545,18592,1
1,49545,10077,1
1,49545,80643,1
1,49545,21841,1
1,49545,42267,1
1,49545,58383,1
1,49545,39687,1
1,49545,75945,1
1,49545,39450,1
1,49545,56518,1
1,49545,94438,1
1,49545,123606,1
1,49545,124359,1
1,49545,45790,1
1,49545,21847,1
