time,player1,player2,result
136,39974,11402,1
136,39974,49411,1
136,39974,16392,1
136,39974,41322,1
136,39974,29442,1
136,39974,80795,1
136,39974,50700,1
136,39974,5695,1
136,39974,45915,1
136,39974,67535,1
136,39974,76425,1
136,39974,41870,1
136,39974,47630,1
136,39974,63428,1
136,39974,18417,1
136,39974,46196,1
136,39974,39836,1
136,39974,11315,1
136,39974,30433,1
136,39974,10539,1
136,39974,11092,1
136,39974,17043,1
136,39974,70410,1
136,39974,58385,1
136,39974,6186,1
136,39974,39742,1
136,39974,30458,1
136,39974,18719,1
136,39974,9919,1
136,39974,17069,1
136,39974,76434,1
136,39974,5929,1
136,39974,92397,1
136,39974,44608,1
136,39974,55820,1
136,39974,22327,1
136,39974,11001,1
136,39974,12773,1
136,39974,7503,1
136,39974,18714,1
136,39974,23656,1
136,39974,69143,1
136,39974,85233,1
136,39974,40710,1
136,39974,9917,1
136,39974,55504,1
136,39974,69734,1
136,39974,39908,1
136,39974,80630,1
136,39974,30579,1
136,39974,28500,1
136,39974,55886,1
136,39974,47838,1
136,39974,39206,1
136,11402,49411,1
136,11402,16392,1
136,11402,41322,1
136,11402,29442,1
136,11402,80795,1
136,11402,50700,1
136,11402,5695,1
136,11402,45915,1
136,11402,67535,1
136,11402,76425,1
136,11402,41870,1
136,11402,47630,1
136,11402,63428,1
136,11402,18417,1
136,11402,46196,1
136,11402,39836,1
136,11402,11315,1
136,11402,30433,1
136,11402,10539,1
136,11402,11092,1
136,11402,17043,1
136,11402,70410,1
136,11402,58385,1
136,11402,6186,1
136,11402,39742,1
136,11402,30458,1
136,11402,18719,1
136,11402,9919,1
136,11402,17069,1
136,11402,76434,1
136,11402,5929,1
136,11402,92397,1
136,11402,44608,1
136,11402,55820,1
136,11402,22327,1
136,11402,11001,1
136,11402,12773,1
136,11402,7503,1
136,11402,18714,1
136,11402,23656,1
136,11402,69143,1
136,11402,85233,1
136,11402,40710,1
136,11402,9917,1
136,11402,55504,1
136,11402,69734,1
136,11402,39908,1
136,11402,80630,1
136,11402,30579,1
136,11402,28500,1
136,11402,55886,1
136,11402,47838,1
136,11402,39206,1
136,49411,16392,1
136,49411,41322,1
136,49411,29442,1
136,49411,80795,1
136,49411,50700,1
136,49411,5695,1
136,49411,45915,1
136,49411,67535,1
136,49411,76425,1
136,49411,41870,1
136,49411,47630,1
136,49411,63428,1
136,49411,18417,1
136,49411,46196,1
136,49411,39836,1
136,49411,11315,1
136,49411,30433,1
136,49411,10539,1
136,49411,11092,1
136,49411,17043,1
136,49411,70410,1
136,49411,58385,1
136,49411,6186,1
136,49411,39742,1
136,49411,30458,1
136,49411,18719,1
136,49411,9919,1
136,49411,17069,1
136,49411,76434,1
136,49411,5929,1
136,49411,92397,1
136,49411,44608,1
136,49411,55820,1
136,49411,22327,1
136,49411,11001,1
136,49411,12773,1
136,49411,7503,1
136,49411,18714,1
136,49411,23656,1
136,49411,69143,1
136,49411,85233,1
136,49411,40710,1
136,49411,9917,1
136,49411,55504,1
136,49411,69734,1
136,49411,39908,1
136,49411,80630,1
136,49411,30579,1
136,49411,28500,1
136,49411,55886,1
136,49411,47838,1
136,49411,39206,1
136,16392,41322,1
136,16392,29442,1
136,16392,80795,1
136,16392,50700,1
136,16392,5695,1
136,16392,45915,1
136,16392,67535,1
136,16392,76425,1
136,16392,41870,1
136,16392,47630,1
136,16392,63428,1
136,16392,18417,1
136,16392,46196,1
136,16392,39836,1
136,16392,11315,1
136,16392,30433,1
136,16392,10539,1
136,16392,11092,1
136,16392,17043,1
136,16392,70410,1
136,16392,58385,1
136,16392,6186,1
136,16392,39742,1
136,16392,30458,1
136,16392,18719,1
136,16392,9919,1
136,16392,17069,1
136,16392,76434,1
136,16392,5929,1
136,16392,92397,1
136,16392,44608,1
136,16392,55820,1
136,16392,22327,1
136,16392,11001,1
