program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
335270,68698,Katie,Zaferes,USA,2,00:09:08,00:00:55,00:28:55,00:00:25,00:16:09,1,00:55:31
335270,81334,Taylor,Spivey,USA,6,00:09:09,00:00:56,00:28:53,00:00:28,00:16:33,2,00:55:57
335270,78775,Jessica,Learmonth,GBR,4,00:09:06,00:00:59,00:28:52,00:00:26,00:16:44,3,00:56:06
335270,80643,Taylor,Knibb,USA,25,00:09:15,00:00:57,00:28:47,00:00:27,00:16:44,4,00:56:09
335270,31438,Non,Stanford,GBR,12,00:09:26,00:00:56,00:29:41,00:00:25,00:16:11,5,00:56:37
335270,47631,Lotte,Miller,NOR,15,00:09:12,00:00:57,00:28:49,00:00:26,00:17:20,6,00:56:42
335270,63163,Cassandre,Beaugrand,FRA,22,00:09:25,00:00:55,00:29:48,00:00:25,00:16:15,7,00:56:45
335270,7795,Vicky,Holland,GBR,1,00:09:23,00:00:55,00:29:45,00:00:24,00:16:25,8,00:56:50
335270,49545,Georgia,Taylor-Brown,GBR,3,00:09:34,00:01:02,00:29:28,00:00:27,00:16:25,9,00:56:53
335270,15744,Ashleigh,Gentle,AUS,5,00:09:39,00:00:55,00:29:31,00:00:25,00:16:28,10,00:56:57
335270,70413,Laura,Lindemann,GER,7,00:09:20,00:00:56,00:29:47,00:00:26,00:16:33,11,00:57:00
335270,41158,Leonie,Periault,FRA,14,00:09:31,00:00:58,00:29:41,00:00:29,00:16:26,12,00:57:03
335270,22170,Rachel,Klamer,NED,8,00:09:20,00:00:58,00:29:46,00:00:24,00:16:40,13,00:57:06
335270,45790,Jolanda,Annen,SUI,47,00:09:23,00:01:01,00:29:40,00:00:24,00:16:45,14,00:57:11
335270,5467,Vendula,Frintova,CZE,20,00:09:20,00:01:00,00:29:46,00:00:30,00:16:45,15,00:57:18
335270,71982,Chelsea,Burns,USA,19,00:09:19,00:00:57,00:29:55,00:00:35,00:16:37,16,00:57:21
335270,7773,Annamaria,Mazzetti,ITA,42,00:09:26,00:00:58,00:29:41,00:00:25,00:16:53,17,00:57:21
335270,58449,Verena,Steinhauser,ITA,30,00:09:27,00:00:56,00:29:39,00:00:27,00:17:02,18,00:57:28
335270,92305,Ainsley,Thorpe,NZL,51,00:09:34,00:00:54,00:29:42,00:00:26,00:16:57,19,00:57:31
335270,72769,Claire,Michel,BEL,17,00:09:34,00:00:58,00:29:40,00:00:28,00:16:59,20,00:57:37
335270,64952,Emma,Jeffcoat,AUS,31,00:09:11,00:00:57,00:29:39,00:00:24,00:17:46,21,00:57:55
335270,55701,Maya,Kingma,NED,32,00:09:13,00:00:58,00:28:49,00:00:26,00:18:34,22,00:57:58
335270,47942,Melanie,Santos,POR,18,00:09:28,00:00:56,00:29:48,00:00:28,00:17:21,23,00:57:59
335270,11879,Lisa,Perterer,AUT,23,00:09:38,00:00:57,00:29:35,00:00:29,00:17:25,24,00:58:01
335270,17285,Yuko,Takahashi,JPN,10,00:09:18,00:00:59,00:29:49,00:00:26,00:17:44,25,00:58:15
335270,70613,India,Lee,GBR,50,00:09:33,00:00:57,00:29:33,00:00:29,00:17:54,26,00:58:25
335270,39687,Carolina,Routier,ESP,38,00:09:11,00:00:59,00:30:00,00:00:28,00:17:52,27,00:58:28
335270,75945,Sara,Perez Sala,ESP,45,00:09:14,00:01:04,00:29:55,00:00:31,00:17:52,28,00:58:33
335270,85273,Sandra,Dodet,FRA,35,00:09:21,00:00:56,00:30:20,00:00:28,00:17:34,29,00:58:38
335270,64750,Nicole,Van Der Kaay,NZL,34,00:09:24,00:00:54,00:29:53,00:00:36,00:17:57,30,00:58:43
335270,57913,Romana,Gajdošová,SVK,39,00:09:36,00:00:56,00:29:36,00:00:27,00:18:16,31,00:58:49
335270,81882,Vittoria,Lopes,BRA,33,00:09:13,00:00:57,00:29:57,00:00:29,00:18:18,32,00:58:52
335270,30383,Miriam,Casillas García,ESP,48,00:09:31,00:00:57,00:29:40,00:00:25,00:18:24,33,00:58:55
335270,41079,Julia,Hauser,AUT,29,00:09:41,00:00:58,00:31:01,00:00:26,00:16:53,34,00:58:56
335270,83096,Summer,Rappaport,USA,21,00:09:08,00:00:57,00:30:49,00:00:30,00:17:55,35,00:59:17
335270,7757,Zsófia,Kovács,HUN,40,00:09:32,00:00:55,00:31:14,00:00:25,00:17:19,36,00:59:22
335270,94555,Anne,Holm,DEN,55,00:09:19,00:00:55,00:29:55,00:00:28,00:18:52,37,00:59:28
335270,5576,Ai,Ueda,JPN,24,00:09:45,00:00:59,00:31:28,00:00:25,00:16:55,38,00:59:31
335270,12785,Juri,Ide,JPN,26,00:09:33,00:01:04,00:31:37,00:00:26,00:17:01,39,00:59:38
335270,9345,Gillian,Sanders,RSA,44,00:09:38,00:00:59,00:31:37,00:00:23,00:17:05,40,00:59:41
335270,31827,Anna,Godoy Contreras,ESP,46,00:09:15,00:00:57,00:31:29,00:00:29,00:17:42,41,00:59:50
