program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
336782,49390,Dorian,Coninx,FRA,30,1084,45,3649,22,00:30:38,1,6636
336782,5695,Javier,Gomez Noya,ESP,47,1087,41,3652,21,00:30:39,2,6638
336782,47630,Gustav,Iden,NOR,19,1132,41,3604,23,00:30:41,3,6638
336782,11143,Vincent,Luis,FRA,4,1074,42,3660,19,00:30:54,4,6648
336782,41322,Kristian,Blummenfelt,NOR,26,1108,42,3627,27,00:31:02,5,6664
336782,30249,Pierre,Le Corre,FRA,33,1082,41,3656,19,00:31:14,6,6670
336782,50700,Bence,Bicsák,HUN,14,1123,39,3620,25,00:31:05,7,6671
336782,10536,Joao,Pereira,POR,9,1111,39,3631,25,00:31:09,8,6672
336782,29442,Fernando,Alarza,ESP,2,1112,41,3630,23,00:31:24,9,6689
336782,63162,Léo,Bergere,FRA,3,1085,42,3650,21,00:31:51,10,6707
336782,11378,Jonathan,Brownlee,GBR,34,1084,39,3658,22,00:31:54,11,6714
336782,30058,Andreas,Schilling,DEN,11,1131,42,3610,24,00:31:53,12,6718
336782,40311,Marten,Van Riel,BEL,31,1078,41,3658,20,00:32:03,13,6719
336782,10141,Aaron,Royle,AUS,29,1077,43,3660,23,00:32:07,14,6727
336782,30433,Henri,Schoeman,RSA,5,1080,37,3660,19,00:32:14,15,6729
336782,46196,Tony,Smoragiewicz,USA,43,1147,40,3595,23,00:32:12,16,6735
336782,21622,Alois,Knabl,AUT,24,1074,41,3662,23,00:32:17,17,6735
336782,67535,Jonas,Schomburg,GER,15,1081,40,3620,21,00:32:55,18,6735
336782,28201,Ryan,Fisher,AUS,54,1086,42,3651,19,00:32:23,19,6739
336782,63428,Antonio,Serrat Seoane,ESP,18,1092,40,3651,22,00:32:35,20,6758
336782,104034,Hayden,Wilde,NZL,7,1148,37,3593,21,00:32:53,21,6770
336782,39836,Simon,Viain,FRA,38,1143,41,3599,21,00:32:54,22,6776
336782,70410,Lasse,Lührs,GER,27,1126,43,3614,25,00:32:55,23,6780
336782,6186,Irving,Perez,MEX,23,1110,41,3631,24,00:33:11,24,6796
336782,39974,Jelle,Geens,BEL,36,1145,38,3733,20,00:31:10,25,6804
336782,11402,Mario,Mola,ESP,1,1146,38,3734,21,00:31:08,26,6805
336782,11060,Alessandro,Fabian,ITA,22,1084,39,3658,22,00:33:30,27,6811
336782,45915,Jacob,Birtwhistle,AUS,6,1141,39,3736,20,00:31:46,28,6839
336782,123392,Morgan,Pearson,USA,45,1090,41,3790,27,00:31:47,29,6852
336782,51350,Jorik,Van Egdom,NED,20,1143,41,3591,23,00:34:25,30,6862
336782,30579,Wian,Sullwald,RSA,53,1086,41,3792,22,00:32:36,31,6894
336782,97196,Matthew,McElroy,USA,17,1149,40,3728,20,00:32:45,32,6901
336782,11408,Tamás,Tóth,HUN,46,1115,40,3625,25,00:35:16,33,6919
336782,56550,Adrien,Briffod,SUI,21,1138,38,3603,20,00:35:44,34,6941
336782,39742,William,Huffman,USA,49,1084,40,3796,23,00:33:24,35,6947
336782,14181,Igor,Polyanskiy,RUS,44,1079,40,3798,22,00:33:38,36,6957
336782,92397,Brandon,Copeland,AUS,39,1123,40,3753,20,00:34:09,37,6984
336782,76434,Casper,Stornes,NOR,37,1135,47,3600,24,00:36:38,38,7002
336782,11001,Gábor,Faldum,HUN,28,1128,39,3752,19,00:34:46,39,7024
336782,39908,Vicente,Hernandez,ESP,16,1109,46,3624,27,00:37:12,40,7035
336782,7747,Dmitry,Polyanskiy,RUS,40,1085,42,3797,24,00:35:11,41,7056
336782,46791,Delian,Stateff,ITA,42,1102,42,3776,25,00:35:23,42,7066
336782,40710,Russell,White,IRL,32,1106,42,3774,23,00:36:01,43,7104
