program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
336921,45915,Jacob,Birtwhistle,AUS,15,1063,65,3339,25,00:30:21,1,6312
336921,97196,Matthew,McElroy,USA,28,1063,62,3343,26,00:30:26,2,6319
336921,5695,Javier,Gomez Noya,ESP,4,1056,60,3351,26,00:30:28,3,6321
336921,30433,Henri,Schoeman,RSA,3,1043,68,3355,25,00:30:40,4,6331
336921,46686,Sam,Ward,NZL,10,1065,62,3337,23,00:30:55,5,6342
336921,11143,Vincent,Luis,FRA,1,1049,62,3353,27,00:30:56,6,6346
336921,40311,Marten,Van Riel,BEL,11,1047,70,3348,25,00:30:57,7,6347
336921,30249,Pierre,Le Corre,FRA,21,1048,64,3351,23,00:31:02,8,6347
336921,29442,Fernando,Alarza,ESP,2,1060,64,3345,28,00:30:53,9,6349
336921,67535,Jonas,Schomburg,GER,12,1046,64,3352,22,00:31:08,10,6352
336921,10141,Aaron,Royle,AUS,22,1051,67,3351,25,00:31:07,11,6361
336921,49390,Dorian,Coninx,FRA,7,1052,63,3351,26,00:31:13,12,6363
336921,18719,Thomas,Bishop,GBR,20,1059,70,3335,27,00:31:18,13,6367
336921,39974,Jelle,Geens,BEL,36,1095,67,3361,22,00:30:30,14,6374
336921,96742,Alex,Yee,GBR,5,1106,61,3355,22,00:30:33,15,6376
336921,104034,Hayden,Wilde,NZL,14,1101,63,3360,24,00:30:45,16,6393
336921,16392,Richard,Murray,RSA,38,1098,64,3359,23,00:30:57,17,6400
336921,63428,Antonio,Serrat Seoane,ESP,23,1066,63,3341,25,00:31:54,18,6407
336921,39836,Simon,Viain,FRA,37,1106,70,3349,25,00:31:23,19,6432
336921,63162,Léo,Bergere,FRA,6,1058,64,3342,25,00:32:27,20,6435
336921,41060,Justus,Nieschlag,GER,44,1052,63,3352,24,00:32:26,21,6437
336921,39908,Vicente,Hernandez,ESP,25,1058,65,3337,27,00:32:33,22,6440
336921,72784,Gabriel,Sandör,SWE,53,1103,66,3354,25,00:31:38,23,6443
336921,56550,Adrien,Briffod,SUI,35,1104,67,3352,22,00:31:44,24,6448
336921,11818,Ryan,Sissons,NZL,24,1096,65,3363,24,00:31:45,25,6453
336921,10539,Joao,Silva,POR,32,1095,70,3360,27,00:31:46,26,6457
336921,41870,Shachar,Sagiv,ISR,40,1085,61,3378,25,00:31:55,27,6462
336921,21622,Alois,Knabl,AUT,18,1057,67,3343,29,00:32:56,28,6471
336921,11402,Mario,Mola,ESP,8,1091,67,3364,26,00:32:13,29,6482
336921,41276,Marco,Van Der Stel,NED,49,1053,66,3347,27,00:33:23,30,6496
336921,55495,Luke,Willian,AUS,19,1067,70,3385,24,00:32:39,31,6504
336921,41322,Kristian,Blummenfelt,NOR,16,1065,66,3336,25,00:33:43,32,6515
336921,28201,Ryan,Fisher,AUS,34,1057,67,3344,28,00:33:44,33,6520
336921,11315,Andrea,Salvisberg,SUI,48,1074,64,3386,25,00:33:09,34,6536
336921,11378,Jonathan,Brownlee,GBR,26,1052,61,3354,24,00:34:06,35,6537
336921,47630,Gustav,Iden,NOR,9,1140,67,3451,26,00:31:00,36,6543
336921,40710,Russell,White,IRL,42,1061,65,3343,27,00:34:12,37,6548
336921,28500,Ryan,Bailie,AUS,45,1063,69,3335,26,00:34:21,38,6553
336921,54985,Tayler,Reid,NZL,43,1044,68,3355,24,00:34:37,39,6567
336921,41831,Gregor,Payet,LUX,52,1098,65,3359,26,00:33:47,40,6575
336921,5929,Reinaldo,Colucci,BRA,50,1092,81,3353,26,00:33:51,41,6583
336921,11001,Gábor,Faldum,HUN,41,1097,73,3392,24,00:33:24,42,6589
336921,11060,Alessandro,Fabian,ITA,33,1060,68,3397,25,00:34:17,43,6607
336921,7788,Alistair,Brownlee,GBR,47,1050,64,3353,25,00:35:43,44,6634
336921,76434,Casper,Stornes,NOR,39,1096,78,3487,30,00:32:49,45,6659
336921,64519,Henrik,Goesch,FIN,51,1104,75,3482,28,00:34:10,46,6738
336921,83421,Endre,Espedal,NOR,56,1145,66,3449,24,00:35:40,47,6823
