PROG ID,ATHLETE ID,ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
4846,28282,Maddie,Dillon,NZL,0,00:11:57,00:01:20,00:33:02,00:00:37,00:19:48,1,01:06:41,16-19 Female AG Sprint
4846,28595,Amy,Roberts,AUS,0,00:11:18,00:01:29,00:34:16,00:00:34,00:19:45,2,01:07:20,16-19 Female AG Sprint
4846,23895,Sarah,Wigmore,GBR,0,00:12:56,00:01:35,00:33:32,00:00:38,00:19:04,3,01:07:43,16-19 Female AG Sprint
4846,39260,Miriam,Smith,AUS,0,00:12:33,00:01:30,00:34:23,00:00:54,00:19:01,4,01:08:22,16-19 Female AG Sprint
4846,21841,Simone,Ackermann,RSA,0,00:11:20,00:01:22,00:35:54,00:00:51,00:19:46,5,01:09:13,16-19 Female AG Sprint
4846,23905,Alexandra,Weber,USA,0,00:11:48,00:01:35,00:35:09,00:00:40,00:20:09,6,01:09:18,16-19 Female AG Sprint
4846,32669,Carina,Rodd,GBR,0,00:12:37,00:01:41,00:34:19,00:00:47,00:20:06,7,01:09:28,16-19 Female AG Sprint
4846,39278,Elkie,Belcher,AUS,0,00:12:39,00:01:29,00:34:23,00:00:47,00:20:15,8,01:09:30,16-19 Female AG Sprint
4846,11274,Amanda,Bott,AUS,0,00:12:40,00:01:37,00:34:13,00:00:38,00:20:30,9,01:09:37,16-19 Female AG Sprint
4846,21852,Deborah,Lynch,NZL,0,00:11:57,00:01:29,00:35:02,00:00:38,00:20:32,10,01:09:37,16-19 Female AG Sprint
4846,32259,Cassandra,Dodd,AUS,0,00:13:27,00:01:30,00:34:44,00:00:38,00:19:51,11,01:10:08,16-19 Female AG Sprint
4846,32307,Georgia,Lloyd,NZL,0,00:11:50,00:01:30,00:35:09,00:00:43,00:21:08,12,01:10:22,16-19 Female AG Sprint
4846,65489,Amelia,Kinnaird,NZL,0,00:12:41,00:01:28,00:34:22,00:00:38,00:21:36,13,01:10:43,16-19 Female AG Sprint
4846,21853,Cati,Pearson,NZL,0,00:12:50,00:01:29,00:34:10,00:00:39,00:22:10,14,01:11:18,16-19 Female AG Sprint
4846,32264,Ella,Trimboli,AUS,0,00:13:00,00:01:29,00:37:35,00:00:38,00:19:28,15,01:12:08,16-19 Female AG Sprint
4846,32668,Rebecca,Copson,GBR,0,00:12:11,00:01:35,00:37:05,00:00:48,00:20:50,16,01:12:28,16-19 Female AG Sprint
4846,32261,Caitlyn,Quinn,AUS,0,00:11:16,00:01:37,00:35:44,00:00:37,00:23:20,17,01:12:33,16-19 Female AG Sprint
4846,21854,Shea,Reardon,NZL,0,00:12:01,00:01:37,00:34:51,00:00:35,00:23:36,18,01:12:38,16-19 Female AG Sprint
4846,32302,Rebecca,Burridge,NZL,0,00:13:58,00:01:37,00:35:21,00:00:40,00:21:15,19,01:12:50,16-19 Female AG Sprint
4846,32304,Brigitte,Hicks,NZL,0,00:13:13,00:01:39,00:36:07,00:00:43,00:21:11,20,01:12:51,16-19 Female AG Sprint
4846,32260,Audrey,Hall,AUS,0,00:14:10,00:02:07,00:35:05,00:00:56,00:20:47,21,01:13:03,16-19 Female AG Sprint
4846,23555,Jasmine,Frankel,AUS,0,00:11:57,00:01:31,00:37:17,00:00:43,00:21:40,22,01:13:08,16-19 Female AG Sprint
4846,5342,Sasha,Frankel,AUS,0,00:11:36,00:01:33,00:37:34,00:00:39,00:22:18,23,01:13:39,16-19 Female AG Sprint
4846,32308,Kate,Mclaughlin,NZL,0,00:13:32,00:01:30,00:36:21,00:00:41,00:21:53,24,01:13:57,16-19 Female AG Sprint
4846,32262,Adele,Richards,AUS,0,00:13:13,00:01:42,00:34:45,00:01:00,00:23:48,25,01:14:28,16-19 Female AG Sprint
4846,32310,Kelsey,Sabine,NZL,0,00:13:56,00:01:36,00:35:47,00:00:51,00:22:22,26,01:14:31,16-19 Female AG Sprint
4846,32258,Emily,Bevan,AUS,0,00:12:50,00:01:43,00:37:30,00:00:53,00:22:21,27,01:15:15,16-19 Female AG Sprint
4846,21849,Michaela,Guy,NZL,0,00:12:46,00:01:39,00:37:01,00:00:41,00:23:25,28,01:15:32,16-19 Female AG Sprint
4846,32305,Jessica,Jones-Romero,NZL,0,00:13:33,00:01:31,00:37:34,00:00:41,00:22:51,29,01:16:10,16-19 Female AG Sprint
4846,31696,Brittany,Dunbar,CAN,0,00:15:14,00:01:44,00:36:21,00:00:45,00:23:18,30,01:17:20,16-19 Female AG Sprint
