PROG ID,ATHLETE ID,ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
4535,7788,Alistair,Brownlee,GBR,7,00:20:06,00:00:33,00:57:01,00:00:20,00:31:00,1,01:48:58,Elite Men
4535,5695,Javier,Gomez Noya,ESP,9,00:20:08,00:00:33,00:56:59,00:00:20,00:31:12,2,01:49:11,Elite Men
4535,5332,Maik,Petzold,GER,10,00:20:04,00:00:38,00:56:57,00:00:20,00:31:26,3,01:49:24,Elite Men
4535,5300,Andy,Potts,USA,47,00:20:04,00:00:39,00:56:56,00:00:23,00:31:50,4,01:49:51,Elite Men
4535,5325,Hunter,Kemper,USA,43,00:20:06,00:00:36,00:56:55,00:00:19,00:32:29,5,01:50:24,Elite Men
4535,5692,Jan,Frodeno,GER,18,00:20:19,00:00:35,00:58:56,00:00:19,00:30:26,6,01:50:32,Elite Men
4535,5662,Laurent,Vidal,FRA,8,00:20:30,00:00:37,00:58:43,00:00:19,00:30:29,7,01:50:36,Elite Men
4535,6442,Jarrod,Shoemaker,USA,4,00:20:20,00:00:38,00:58:54,00:00:21,00:30:29,8,01:50:41,Elite Men
4535,5747,Steffen,Justus,GER,11,00:20:54,00:00:36,00:58:21,00:00:22,00:30:41,9,01:50:52,Elite Men
4535,6560,William,Clarke,GBR,24,00:20:51,00:00:36,00:58:24,00:00:21,00:30:48,10,01:50:59,Elite Men
4535,5711,Brad,Kahlefeldt,AUS,2,00:20:37,00:00:34,00:58:39,00:00:18,00:31:11,11,01:51:18,Elite Men
4535,5348,Brent,Mcmahon,CAN,20,00:20:55,00:00:35,00:58:20,00:00:20,00:31:10,12,01:51:19,Elite Men
4535,5718,David,Hauss,FRA,15,00:20:35,00:00:38,00:58:39,00:00:08,00:31:20,13,01:51:20,Elite Men
4535,5687,Mark,Fretta,USA,35,00:20:39,00:00:39,00:58:24,00:00:10,00:31:28,14,01:51:20,Elite Men
4535,5638,Daniel,Unger,GER,44,00:20:55,00:00:36,00:58:20,00:00:18,00:31:14,15,01:51:21,Elite Men
4535,5654,Ryosuke,Yamamoto,JPN,31,00:20:46,00:00:37,00:58:31,00:00:22,00:31:10,16,01:51:24,Elite Men
4535,5359,Stuart,Hayes,GBR,45,00:20:43,00:00:37,00:58:31,00:00:06,00:31:58,17,01:51:52,Elite Men
4535,5305,Tim,Don,GBR,17,00:20:39,00:00:37,00:58:36,00:00:06,00:32:17,18,01:52:13,Elite Men
4535,5929,Reinaldo,Colucci,BRA,46,00:20:52,00:00:39,00:58:22,00:00:19,00:32:10,19,01:52:21,Elite Men
4535,5624,Peter,Croes,BEL,22,00:20:45,00:00:38,00:58:20,00:00:07,00:32:38,20,01:52:27,Elite Men
4535,5331,Danylo,Sapunov,UKR,28,00:20:40,00:00:40,00:58:33,00:00:21,00:32:21,21,01:52:34,Elite Men
4535,5635,Joe,Umphenour,USA,37,00:20:33,00:00:38,00:58:44,00:00:19,00:32:34,22,01:52:46,Elite Men
4535,5327,Hirokatsu,Tayama,JPN,25,00:20:53,00:00:30,00:58:30,00:00:11,00:32:59,23,01:53:02,Elite Men
4535,5620,Leonardo,Chacon,CRC,29,00:20:40,00:00:37,00:58:35,00:00:22,00:32:54,24,01:53:07,Elite Men
4535,5942,Gavin,Noble,IRL,54,00:20:37,00:00:40,00:58:36,00:00:23,00:33:20,25,01:53:34,Elite Men
