PROG ID,ATHLETE ID,ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
4544,7788,Alistair,Brownlee,GBR,2,00:16:15,00:00:53,00:55:07,00:00:24,00:30:36,1,01:43:13,Elite Men
4544,5695,Javier,Gomez Noya,ESP,1,00:16:11,00:00:55,00:55:08,00:00:27,00:30:43,2,01:43:21,Elite Men
4544,5662,Laurent,Vidal,FRA,7,00:16:50,00:00:54,00:54:31,00:00:24,00:30:46,3,01:43:24,Elite Men
4544,5332,Maik,Petzold,GER,6,00:16:16,00:00:56,00:55:01,00:00:25,00:30:59,4,01:43:36,Elite Men
4544,5638,Daniel,Unger,GER,25,00:16:45,00:00:55,00:54:36,00:00:23,00:31:14,5,01:43:51,Elite Men
4544,5320,Sven,Riederer,SUI,29,00:16:20,00:00:58,00:54:56,00:00:29,00:31:20,6,01:44:01,Elite Men
4544,6560,William,Clarke,GBR,11,00:16:32,00:00:54,00:54:53,00:00:27,00:31:21,7,01:44:05,Elite Men
4544,5755,Yulian,Malyshev,RUS,57,00:16:23,00:00:57,00:55:03,00:00:28,00:31:16,8,01:44:05,Elite Men
4544,5296,Kris,Gemmell,NZL,32,00:16:38,00:00:50,00:54:47,00:00:34,00:31:24,9,01:44:11,Elite Men
4544,7747,Dmitry,Polyanskiy,RUS,9,00:16:22,00:00:57,00:55:02,00:00:28,00:31:26,10,01:44:13,Elite Men
4544,5823,Bruno,Pais,POR,21,00:16:48,00:00:55,00:54:01,00:00:28,00:32:09,11,01:44:18,Elite Men
4544,5591,Courtney,Atkinson,AUS,4,00:16:14,00:00:50,00:55:12,00:00:26,00:31:51,12,01:44:32,Elite Men
4544,11378,Jonathan,Brownlee,GBR,60,00:16:18,00:00:53,00:55:07,00:00:24,00:31:53,13,01:44:34,Elite Men
4544,5713,Gareth,Halverson,AUS,20,00:16:22,00:00:57,00:55:02,00:00:27,00:31:59,14,01:44:44,Elite Men
4544,5683,Clark,Ellice,NZL,36,00:16:41,00:00:53,00:54:44,00:00:27,00:32:20,15,01:45:03,Elite Men
4544,5348,Brent,Mcmahon,CAN,15,00:16:36,00:00:52,00:54:46,00:00:28,00:32:27,16,01:45:08,Elite Men
4544,12431,David,Mcnamee,GBR,65,00:16:40,00:00:56,00:54:44,00:00:32,00:32:21,17,01:45:11,Elite Men
4544,6110,James,Seear,AUS,16,00:16:23,00:00:58,00:54:53,00:00:25,00:32:43,18,01:45:20,Elite Men
4544,5881,Duarte Silva,Marques,POR,48,00:16:19,00:00:54,00:55:10,00:00:26,00:32:35,19,01:45:22,Elite Men
4544,5629,Paul,Tichelaar,CAN,46,00:16:39,00:00:56,00:54:08,00:00:33,00:33:15,20,01:45:29,Elite Men
4544,5624,Peter,Croes,BEL,19,00:16:44,00:00:56,00:54:36,00:00:28,00:32:49,21,01:45:31,Elite Men
4544,5321,Frederic,Belaubre,FRA,34,00:16:13,00:00:58,00:55:13,00:00:36,00:32:36,22,01:45:34,Elite Men
4544,6202,Kyle,Jones,CAN,23,00:16:38,00:00:54,00:54:48,00:00:25,00:32:53,23,01:45:36,Elite Men
4544,5679,Cedric,Fleureton,FRA,24,00:16:39,00:00:57,00:54:44,00:00:29,00:32:52,24,01:45:39,Elite Men
4544,5664,Emilio,D'Aquino,ITA,33,00:16:45,00:00:57,00:54:36,00:00:33,00:32:57,25,01:45:47,Elite Men
4544,11060,Alessandro,Fabian,ITA,58,00:16:18,00:00:58,00:55:43,00:00:29,00:32:30,26,01:45:57,Elite Men
4544,5297,Bevan,Docherty,NZL,14,00:16:47,00:00:55,00:55:37,00:00:29,00:32:43,27,01:46:29,Elite Men
4544,5605,Sander,Berk,NED,38,00:16:40,00:00:56,00:54:46,00:00:30,00:33:47,28,01:46:37,Elite Men
4544,6131,Hendrik,De Villiers,RSA,44,00:16:41,00:00:56,00:54:44,00:00:30,00:34:06,29,01:46:55,Elite Men
4544,6899,Ákos,Vanek,HUN,27,00:16:17,00:00:56,00:55:06,00:00:31,00:34:22,30,01:47:10,Elite Men
4544,6707,Jan,Celustka,CZE,43,00:16:39,00:00:59,00:54:42,00:00:28,00:34:32,31,01:47:17,Elite Men
4544,9887,Callum,Millward,NZL,51,00:16:46,00:01:00,00:56:37,00:00:27,00:32:39,32,01:47:27,Elite Men
4544,5711,Brad,Kahlefeldt,AUS,3,00:16:46,00:00:53,00:54:39,00:00:24,00:34:50,33,01:47:30,Elite Men
4544,5331,Danylo,Sapunov,UKR,17,00:16:37,00:01:00,00:54:45,00:00:28,00:35:30,34,01:48:17,Elite Men
