PROG ID,ATHLETE ID,ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
4541,7788,Alistair,Brownlee,GBR,1,00:18:04,00:00:31,00:53:52,00:00:41,00:28:43,1,01:41:50,Elite Men
4541,5747,Steffen,Justus,GER,10,00:18:38,00:00:35,00:53:15,00:00:39,00:28:54,2,01:41:58,Elite Men
4541,5296,Kris,Gemmell,NZL,8,00:18:40,00:00:31,00:53:16,00:00:32,00:29:04,3,01:42:01,Elite Men
4541,6226,Sebastian,Rank,GER,26,00:18:48,00:00:33,00:53:08,00:00:34,00:29:01,4,01:42:01,Elite Men
4541,5662,Laurent,Vidal,FRA,7,00:18:12,00:00:32,00:53:43,00:00:38,00:29:12,5,01:42:16,Elite Men
4541,5718,David,Hauss,FRA,18,00:18:12,00:00:34,00:53:43,00:00:36,00:29:15,6,01:42:17,Elite Men
4541,5591,Courtney,Atkinson,AUS,9,00:18:56,00:00:33,00:52:59,00:00:34,00:29:25,7,01:42:24,Elite Men
4541,5851,Tony,Moulai,FRA,38,00:19:14,00:00:36,00:52:37,00:00:40,00:29:24,8,01:42:29,Elite Men
4541,5305,Tim,Don,GBR,19,00:19:10,00:00:34,00:52:46,00:00:36,00:29:27,9,01:42:31,Elite Men
4541,7778,Jonathan,Zipf,GER,32,00:19:08,00:00:35,00:52:46,00:00:38,00:29:27,10,01:42:32,Elite Men
4541,5320,Sven,Riederer,SUI,14,00:18:20,00:00:34,00:53:34,00:00:36,00:29:40,11,01:42:41,Elite Men
4541,7747,Dmitry,Polyanskiy,RUS,5,00:18:06,00:00:34,00:53:50,00:00:38,00:29:44,12,01:42:49,Elite Men
4541,6192,Yohann,Vincent,FRA,46,00:19:09,00:00:32,00:52:48,00:00:36,00:29:48,13,01:42:51,Elite Men
4541,6560,William,Clarke,GBR,11,00:18:46,00:00:32,00:53:08,00:00:35,00:29:55,14,01:42:55,Elite Men
4541,7743,Alexander,Bryukhankov,RUS,6,00:18:14,00:00:33,00:53:43,00:00:42,00:29:48,15,01:42:58,Elite Men
4541,5638,Daniel,Unger,GER,17,00:18:29,00:00:33,00:53:26,00:00:35,00:30:19,16,01:43:20,Elite Men
4541,7744,Ivan,Tutukin,RUS,27,00:18:59,00:00:35,00:52:54,00:00:37,00:30:17,17,01:43:20,Elite Men
4541,10575,Jan,Van Berkel,SUI,45,00:19:12,00:00:36,00:52:41,00:00:37,00:30:18,18,01:43:22,Elite Men
4541,5669,Claude,Eksteen,RSA,43,00:18:57,00:00:34,00:52:57,00:00:37,00:30:20,19,01:43:24,Elite Men
4541,5942,Gavin,Noble,IRL,52,00:19:12,00:00:34,00:52:46,00:00:36,00:30:23,20,01:43:28,Elite Men
4541,5620,Leonardo,Chacon,CRC,25,00:18:48,00:00:36,00:53:06,00:00:38,00:30:24,21,01:43:30,Elite Men
4541,5654,Ryosuke,Yamamoto,JPN,24,00:19:00,00:00:36,00:52:53,00:00:36,00:30:27,22,01:43:31,Elite Men
4541,5683,Clark,Ellice,NZL,29,00:19:04,00:00:40,00:52:47,00:00:37,00:30:32,23,01:43:37,Elite Men
4541,5651,Ivan,Vasiliev,RUS,12,00:18:01,00:00:36,00:53:52,00:00:38,00:30:37,24,01:43:41,Elite Men
4541,6087,James,Elvery,NZL,58,00:19:05,00:00:36,00:52:47,00:00:37,00:30:42,25,01:43:45,Elite Men
4541,11378,Jonathan,Brownlee,GBR,33,00:18:05,00:00:31,00:53:53,00:00:35,00:30:46,26,01:43:48,Elite Men
4541,6084,Dan,Wilson,AUS,23,00:19:09,00:00:33,00:52:48,00:00:37,00:30:50,27,01:43:56,Elite Men
4541,10857,Nils,Frommhold,GER,42,00:18:41,00:00:34,00:53:14,00:00:34,00:31:01,28,01:44:02,Elite Men
4541,5931,Andreas,Giglmayr,AUT,53,00:19:11,00:00:32,00:52:46,00:00:43,00:30:55,29,01:44:04,Elite Men
4541,11818,Ryan,Sissons,NZL,60,00:18:59,00:00:32,00:52:59,00:00:36,00:31:06,30,01:44:11,Elite Men
4541,5624,Peter,Croes,BEL,22,00:18:57,00:00:32,00:52:59,00:00:33,00:31:16,31,01:44:16,Elite Men
4541,5327,Hirokatsu,Tayama,JPN,31,00:18:06,00:00:34,00:53:50,00:00:38,00:31:14,32,01:44:21,Elite Men
4541,5349,Juraci,Moreira,BRA,57,00:19:02,00:00:35,00:52:53,00:00:36,00:31:28,33,01:44:33,Elite Men
4541,6110,James,Seear,AUS,15,00:18:40,00:00:32,00:53:18,00:00:39,00:31:30,34,01:44:36,Elite Men
4541,5824,Christian,Prochnow,GER,16,00:19:04,00:00:33,00:52:52,00:00:37,00:31:32,35,01:44:36,Elite Men
4541,5802,Matthew,Reed,USA,51,00:18:56,00:00:37,00:52:54,00:00:39,00:31:43,36,01:44:48,Elite Men
4541,5713,Gareth,Halverson,AUS,21,00:18:52,00:00:34,00:53:04,00:00:40,00:31:47,37,01:44:54,Elite Men
4541,5679,Cedric,Fleureton,FRA,28,00:19:10,00:00:35,00:52:45,00:00:40,00:32:04,38,01:45:13,Elite Men
4541,5703,Brian,Fleischmann,USA,59,00:18:10,00:00:35,00:53:47,00:00:40,00:32:15,39,01:45:24,Elite Men
4541,9887,Callum,Millward,NZL,56,00:19:16,00:00:33,00:52:43,00:00:38,00:32:27,40,01:45:35,Elite Men
